Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Phil Forte,32,31,1078,19.7,0.596,0.53,0.561,0.476,429,0.3,6.9,3.8,11.6,3.4,0.2,13,23.4,,2.8,1.6,4.4,0.162,,6,0.6,6.6
2,Le'Bryan Nash,31,31,982,21.4,0.543,0.465,0.052,0.571,509,4.7,16.5,10.8,16.3,1.5,3.4,17,32.7,,1.9,1.7,3.6,0.145,,0.7,2.1,2.8
3,Anthony Hickey,32,31,954,18.4,0.529,0.534,0.53,0.102,327,2.4,14.2,8.5,25.9,4.2,0.7,14.4,19.8,,1.6,1.9,3.5,0.149,,5.2,3.4,8.6
4,Michael Cobbins,29,29,792,16.5,0.586,0.582,0,0.537,197,7.7,18,13,4.3,1.6,7.6,16.4,13.9,,1.1,1.6,2.7,0.136,,0.6,5.9,6.5
5,Jeff Newberry,32,20,672,15.7,0.546,0.497,0.467,0.337,216,4.3,8.7,6.6,14.4,2.7,2,14.4,18.6,,1.2,1,2.2,0.131,,3.4,2,5.4
6,Mitchell Solomon,32,2,348,10.7,0.499,0.483,0.067,0.567,63,15.1,14.8,14.9,6,2,6.2,29.6,8.5,,0.3,0.7,1,0.111,,0.5,6,6.6
7,Tavarius Shine,32,0,420,10.5,0.546,0.534,0.742,0.236,102,4.8,10,7.5,5,2.4,2.2,19.5,16,,0.2,0.6,0.9,0.084,,1.5,1.6,3.1
8,Jeffrey Carroll,22,9,250,14.9,0.504,0.494,0.695,0.085,78,4.5,14.5,9.7,6.4,1.2,2.3,6.6,19.9,,0.4,0.4,0.7,0.117,,2.5,-0.4,2
9,Tyree Griffin,32,1,330,7.6,0.442,0.35,0.4,0.575,64,3.4,13.1,8.4,19.4,2.1,0.3,30.2,12.1,,0,0.5,0.5,0.06,,-1.5,1.8,0.4
10,Anthony Allen,25,2,179,14.3,0.658,0.762,0,1.095,44,11.2,29.4,20.6,4.7,1,12.1,40.8,16.4,,-0.1,0.5,0.4,0.094,,-4.1,7.6,3.5
11,Leyton Hammonds,28,2,276,6,0.461,0.464,0.696,0.043,63,5.4,6.4,5.9,5.3,1.1,0.8,14.6,16.3,,0,0.3,0.3,0.049,,0.1,-0.9,-0.7
12,Christien Sager,23,1,98,4.9,0.337,0.3,0.933,0.6,15,3.8,10.7,7.4,7.6,2.5,0,9.4,11.8,,0,0.1,0.1,0.049,,-0.4,0.9,0.5
13,Ford Stuen,5,0,10,30.3,1.212,1.25,0.5,0.5,5,0,0,0,27.2,0,0,28.8,19,,0.1,0,0.1,0.265,,10.6,-9.4,1.2
14,Alex Budke,6,0,11,15.7,0.75,0.75,0.5,0,3,11.3,31.9,21.9,19,5.6,0,50,19.8,,0,0,0,0.115,,0.1,5.9,6
15,Joe Burton,9,0,32,10.5,0.409,0.367,0.467,0.467,15,15.6,3.7,9.4,0,0,0,9.8,34.6,,0,0,0,0.021,,-3.1,-10,-13.1
16,Marek Soucek,7,1,18,0,0.5,0.5,0.667,0,2,0,6.5,3.4,0,0,0,25,12.1,,0,0,0,-0.002,,-3.9,-2.6,-6.5
