Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Buddy Hield,37,37,1309,28.2,0.665,0.623,0.536,0.333,803,4,13,8.8,12.7,1.8,1.4,14,30.2,,5.6,2,7.6,0.232,,10.3,1.2,11.5
2,Jordan Woodard,37,37,1102,19.4,0.571,0.526,0.485,0.339,492,3.4,7.3,5.5,20.7,3,0.6,12.5,21.4,,3.2,1.6,4.8,0.174,,6.1,2.3,8.4
3,Ryan Spangler,37,37,1217,16.9,0.61,0.607,0.33,0.326,398,8.8,20.3,14.9,10.5,0.7,1.7,16.7,14.9,,2.5,2,4.5,0.148,,4,3.8,7.8
4,Isaiah Cousins,37,37,1232,15.8,0.506,0.484,0.38,0.233,508,2.1,11.8,7.3,25.1,2.3,0.8,16,21.8,,1.9,1.9,3.8,0.122,,2.7,2.9,5.6
5,Khadeem Lattin,37,37,815,17.7,0.559,0.557,0.006,0.348,224,10.7,15.1,13,4.9,2.2,9.5,14,12.9,,1.3,1.7,3,0.149,,1.5,8.7,10.2
6,Christian James,35,0,333,13,0.603,0.551,0.5,0.515,103,4.8,14.2,9.8,9.6,2,0.9,22.8,16.1,,0.4,0.5,1,0.116,,1.6,2.5,4.2
7,Dante Buford,36,0,442,9.5,0.467,0.406,0.357,0.429,131,5.2,10.5,8,7.6,1.1,2.3,16.2,17.8,,0.2,0.6,0.8,0.07,,-1.2,2,0.9
8,Akolda Manyang,25,0,199,16.5,0.505,0.471,0,0.471,62,9.8,17.6,13.9,0,0.6,16.6,17.2,18.5,,0.1,0.4,0.6,0.111,,-5.2,6.7,1.5
9,Dinjiyl Walker,37,0,437,8.1,0.454,0.452,0.616,0.16,125,3.4,9.4,6.6,11.4,2.2,0.2,16.7,18.1,,0,0.6,0.6,0.058,,0,1.5,1.5
10,Jamuni McNeace,27,0,207,6.7,0.516,0.545,0,0.955,36,7.8,11.4,9.7,0.8,0.5,3.9,20,9.4,,0.1,0.3,0.4,0.07,,-1.8,2.8,1
11,Rashard Odomes,18,0,109,8.2,0.515,0.479,0.125,0.875,36,5.3,9.4,7.5,9.5,1,0.9,26.1,20.6,,0,0.1,0.1,0.04,,-3.1,0.9,-2.2
12,C.J. Cole,11,0,27,-2.4,0.463,0.5,0.333,0.167,5,0,15.2,8,0,0,0,31.7,17.2,,-0.1,0,0,-0.048,,-8.3,-2.1,-10.4
13,Daniel Harper,5,0,14,2.4,0,0,0.333,0,1,8.2,0,3.9,0,12,0,25,14,,-0.1,0,0,-0.064,,-6.6,9.7,3.1
14,Austin Mankin,8,0,17,4.2,0.38,0.333,0.333,0.667,4,13.5,12.1,12.7,0,0,0,20.2,14.2,,0,0,0,0.024,,-4.1,-3,-7.1
15,Bola Alade,7,0,16,-16.4,0.167,0.167,0.5,0,2,0,12.8,6.8,0,0,0,33.3,27.5,,-0.1,0,-0.1,-0.287,,-19.1,-3.7,-22.8
