Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jeffrey Carroll,33,21,960,26.6,0.654,0.617,0.36,0.407,511,7.4,19,13,8,1.7,0.6,10.6,23.7,,4.2,0.7,5,0.207,,8.5,-0.1,8.4
2,Jawun Evans,32,32,936,27.3,0.535,0.475,0.197,0.396,659,2.8,10.9,6.8,43.6,3.3,0.5,13.6,32.7,,4,0.8,4.8,0.206,,7.7,1.4,9.1
3,Phil Forte,33,32,1028,17.4,0.613,0.562,0.646,0.278,391,2.5,7.2,4.7,8,2,0.2,8.4,17.6,,3.2,0.4,3.6,0.142,,7.5,-0.1,7.4
4,Leyton Hammonds,33,33,739,14.4,0.555,0.521,0.495,0.216,252,6.8,18.8,12.6,5.2,1.6,2.1,12.4,17.2,,1.4,0.6,2.1,0.112,,3.7,1.2,4.9
5,Mitchell Solomon,33,22,662,16.3,0.567,0.496,0.033,0.61,225,17.1,13.1,15.2,6.9,1.1,6.4,19.7,13.8,,1.5,0.5,2,0.12,,4.2,4.6,8.8
6,Davon Dillard,25,0,324,19.3,0.614,0.597,0.276,0.378,136,10.3,18.7,14.4,7.7,2.4,1.3,20.1,20.6,,0.7,0.3,1,0.124,,3.8,1.3,5.1
7,Cameron McGriff,32,1,502,10.5,0.55,0.446,0.284,1,135,8.4,14.2,11.2,6,1.8,1.7,24.3,13.3,,0.5,0.4,0.9,0.069,,2,2.2,4.2
8,Lindy Waters,23,12,367,14.1,0.616,0.597,0.462,0.301,124,5.8,7.5,6.6,8.6,2.1,0.3,18.4,16.4,,0.7,0.2,0.9,0.097,,4.7,0.3,5
9,Brandon Averette,33,1,488,12.1,0.529,0.482,0.161,0.38,178,0.7,11.2,5.8,20.5,3,0,24,20.1,,0.4,0.4,0.8,0.062,,0.3,0.9,1.2
10,Thomas Dziagwa,26,0,176,20,0.624,0.592,0.815,0.154,79,3.8,6.1,4.9,12.9,2.8,0,9.1,20.2,,0.7,0.1,0.8,0.175,,8.8,-1.4,7.4
11,Lucas N'Guessan,28,10,240,11.1,0.629,0.674,0,0.465,67,10.2,12.9,11.5,4.8,1.4,6.8,28.6,14.2,,0.2,0.2,0.4,0.065,,1.1,4.3,5.4
12,Tavarius Shine,6,1,104,14.4,0.505,0.5,0.682,0.455,29,6.4,4.6,5.5,9,3.7,3.1,7,12.8,,0.2,0.1,0.3,0.109,,5.5,3.2,8.8
13,Will Lienhard,12,0,33,8.6,0.339,0.5,0,1,3,6.7,28.8,17.4,4.4,0,9.9,25.3,5.5,,0,0,0,0.038,,-2.5,6.8,4.2
14,Trey Reeves,8,0,12,-11.5,0,0,0.75,0,0,0,29.7,14.4,0,0,0,0,15.4,,-0.1,0,0,-0.161,,-12.6,-5.2,-17.7
15,Tyler Underwood,11,0,30,7.3,0.707,0.75,1,0.5,6,0,7.9,3.8,5.1,3.7,3.6,44.7,13.8,,0,0,0,0,,0.4,3.6,4
