Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Ahmad Caver,34,34,1276,18.9,0.488,0.448,0.449,0.348,587,1.5,11.2,6.3,33.6,2.3,0.8,11.4,26.3,,2.8,2.6,5.4,0.169,,3.7,0.9,4.6
2,B.J. Stith,34,34,1168,19.2,0.527,0.486,0.393,0.237,502,4.3,19.7,11.9,7.3,1.6,1,10.1,26.7,,2.3,2.6,4.9,0.167,,1,0,1
3,Xavier Green,34,34,1040,10.9,0.511,0.492,0.429,0.193,306,1.6,12,6.7,13.3,1.4,0.7,16.3,19.2,,0.7,1.9,2.6,0.101,,-1.1,0.9,-0.2
4,Jason Wade,34,1,648,13.4,0.469,0.463,0.131,0.303,166,10.3,10.2,10.2,16.7,3,2.3,22.3,14.3,,0.4,1.5,1.9,0.115,,-1.1,4.3,3.2
5,Aaron Carver,34,34,738,9.7,0.374,0.364,0.098,0.435,124,11.7,18.8,15.2,7.2,1.3,2.7,21.3,9.9,,0,1.7,1.7,0.092,,-3.6,4.2,0.6
6,Dajour Dickens,34,6,570,12.8,0.51,0.477,0.023,0.5,116,7.9,15.9,11.8,3,0.6,12.8,20.5,12.4,,0.2,1.4,1.7,0.118,,-4.9,7.7,2.8
7,Justice Kithcart,28,0,410,16.8,0.567,0.563,0.669,0.205,145,2.4,9,5.6,17.5,1.9,0.3,10.9,19.7,,0.9,0.8,1.7,0.163,,3,-0.8,2.3
8,Kalu Ezikpe,33,1,349,21.5,0.582,0.544,0,0.567,135,16.1,14.4,15.2,4.4,1.6,9.2,18.5,20.7,,0.7,0.9,1.6,0.183,,-1.1,4.6,3.5
10,Elbert Robinson,32,26,282,10.8,0.53,0.544,0,0.509,75,10.3,16.2,13.2,4.4,1.7,6.1,29.1,18.3,,-0.1,0.7,0.6,0.081,,-5.7,4,-1.8
11,Quishon Harris,3,0,5,-19.4,0,0,0,2,0,0,0,0,0,0,0,0,20.1,,0,0,0,-0.27,,-19.4,-4.1,-23.6
12,Loren Brill,7,0,11,-13.2,0.127,0,0.667,0.667,1,9.8,0,5,0,5.6,0,33.6,27.9,,-0.1,0,-0.1,-0.238,,-16.1,-0.3,-16.4
13,Joseph Reece,6,0,15,0,0.154,0.167,0.167,0.167,3,21.6,7.4,14.6,0,0,24.8,23.6,29.2,,-0.1,0,-0.1,-0.156,,-18.7,7.2,-11.6
