Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Max Abmas,25,25,912,28.1,0.641,0.595,0.502,0.312,574,1.2,8,4.8,21,2.2,0.5,10.2,28.4,,4.6,0.8,5.4,0.236,,7.1,-1.1,6
2,Kevin Obanor,25,25,769,25.9,0.627,0.577,0.316,0.352,430,7.9,24.6,16.6,7.5,0.7,2.3,12.8,26.4,,3,1,4,0.211,,4.1,-2.1,2
3,Kareem Thompson,26,25,728,13.8,0.531,0.51,0.418,0.189,241,4.8,9.2,7.1,11.1,1.9,1.8,14.8,16.8,,1.1,0.6,1.7,0.095,,0.2,-1.2,-1
4,Carlos Jurgens,26,10,602,11.5,0.544,0.486,0.468,0.423,155,1.3,11.3,6.5,11.1,2.2,2.2,17.4,13.1,,0.7,0.7,1.3,0.088,,-1.8,0.4,-1.4
5,DeShang Weaver,26,5,486,13.7,0.59,0.583,0.616,0.065,149,2.8,12.1,7.7,3.9,0.8,3.7,9.5,15.8,,0.9,0.4,1.3,0.108,,-0.8,-0.4,-1.2
6,RJ Glasper,18,18,524,13.6,0.566,0.513,0.458,0.271,194,1.7,9.3,5.7,11.9,1.5,0,16.7,19.6,,0.8,0.4,1.2,0.092,,-0.7,-2.1,-2.8
7,Francis Lacis,26,22,536,9.2,0.461,0.455,0.697,0.202,125,5.9,12.7,9.5,9.9,1.5,3.9,18.1,12.1,,0.3,0.6,0.9,0.071,,-2.5,0.4,-2.2
8,D'Mauria Jones,17,0,141,25.7,0.544,0.543,0.191,0.489,71,13.6,23.4,18.7,14.6,5,0.7,13.4,23.2,,0.4,0.3,0.7,0.207,,-0.9,2.7,1.9
9,Jonathan Alexandre,5,0,32,25.3,0.589,0.538,0.538,0.231,16,3.5,12.9,8.4,12.1,3.4,2.9,6.5,23.6,,0.1,0,0.2,0.206,,12.3,6.4,18.6
10,Justin Lovvorn,7,0,49,27.3,0.857,0.857,1,0,25,0,6.3,3.3,4.4,1.1,0,16,25,,0.2,0,0.2,0.194,,-14.1,-5.5,-19.5
11,Sheldon Stevens,17,0,196,10.5,0.449,0.434,0.639,0.049,58,1.7,10.5,6.3,11.9,2.8,0,13.8,18.1,,0,0.2,0.2,0.05,,-1.4,-1,-2.4
12,Nate Clover,15,0,96,10.7,0.503,0.476,0,0.286,26,9.4,21.5,15.7,1.7,1.1,10.8,31.6,17.8,,-0.1,0.2,0.1,0.043,,-11.6,0.2,-11.4
13,Ismael Plet,12,0,55,10,0.473,0.455,0,0.727,14,6.2,28.1,17.7,0,3.9,0,21.3,16.7,,0,0.1,0.1,0.071,,-10.7,-2.1,-12.8
14,Jamie Bergens,9,0,69,0.2,0.385,0.3,0.533,0.267,16,0,6,3.1,15.7,0.8,0,29.3,16.9,,-0.1,0,-0.1,-0.041,,-8.2,-2.9,-11.2
15,Lorenz Ross,1,0,5,-25,0.168,0,0.8,0.4,2,0,0,0,0,10.9,0,14.4,68,,-0.1,0,-0.1,-0.563,,,,
