Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Chris Boucher,38,35,981,27.9,0.627,0.605,0.39,0.505,432,12.5,20.3,16.5,2.9,1.8,11.8,10.5,20.6,,3.4,2.2,5.6,0.23,,5.5,6,11.5
2,Dillon Brooks,38,38,1247,21.7,0.561,0.518,0.289,0.315,636,7.3,11.7,9.5,19.2,1.8,1.3,13.6,25.9,,3.7,1.7,5.5,0.175,,5.8,1.6,7.3
3,Elgin Cook,38,38,1213,20.2,0.559,0.498,0.156,0.511,554,5.8,12.6,9.3,13.8,2.6,1.1,13.7,23.7,,3.1,1.9,5,0.165,,3.8,2.3,6.1
4,Tyler Dorsey,36,35,1083,17.8,0.575,0.537,0.476,0.45,463,5.3,11.1,8.3,12.1,1.5,0.7,14.1,22.3,,2.6,1.4,4,0.148,,5,0.5,5.6
5,Casey Benson,38,38,1091,11.7,0.551,0.52,0.531,0.356,262,1.7,7.2,4.6,17.5,1.4,0.1,10.4,10.4,,2,1.1,3.2,0.117,,3.7,0.8,4.6
6,Jordan Bell,31,4,636,20,0.572,0.576,0.013,0.342,215,8.6,20.7,14.8,11.1,3.1,8.6,21.4,18.1,,0.8,1.5,2.3,0.143,,1,8.4,9.4
7,Dwayne Benjamin,38,2,826,14,0.515,0.49,0.559,0.268,270,3,12.5,7.9,7.1,2.7,1.3,12,19.4,,1,1.3,2.3,0.112,,2.2,1.6,3.9
8,Kendall Small,36,0,281,9.3,0.479,0.411,0.178,0.822,65,0.4,10,5.3,13.2,3.9,0.4,20.4,13.8,,0.1,0.5,0.6,0.081,,-1,2.9,1.9
9,Roman Sorkin,22,0,124,14.1,0.565,0.531,0.469,0.281,40,6.7,12.7,9.8,7.2,0.5,2.6,12.1,16.4,,0.2,0.2,0.4,0.127,,2.2,0.3,2.5
10,Dylan Ennis,3,0,21,0.2,0.25,0.25,0.5,0,3,5.7,10.7,8.3,15,0,0,33.3,14.1,,0,0,0,-0.051,,-5.3,-0.3,-5.6
11,Max Heller,13,0,27,-2.4,0,0,0,0,2,8.8,8.3,8.6,5.4,0,0,25,7.3,,0,0,0,-0.034,,-5.3,1.1,-4.2
12,Trevor Manuel,9,0,64,5.3,0.306,0.308,0.462,0.538,11,1.9,14.1,8.1,7.6,0.9,14.8,15.9,14.5,,-0.1,0.1,0,0.025,,-5,8.7,3.7
13,Charlie Noebel,10,0,16,-1.2,0.375,0.375,1,0,3,7.4,7,7.2,0,0,0,20,15.4,,0,0,0,-0.009,,-2.8,-4.2,-6.9
14,Phil Richmond,4,0,5,-3.2,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.021,,-2.2,1.8,-0.4
15,Troy Norris,5,0,11,-6.4,0,0,0,2,1,0,0,0,26.6,5.2,0,50.6,17.7,,-0.1,0,-0.1,-0.188,,-14.9,-1.6,-16.4
