Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Jackson Shelstad,G,33,33,1089,15.0,0.558,0.463,0.223,411.0,1.4,8.6,5.2,15.5,1.8,0.1,11.1,20.7,2.0,1.3,3.2,0.119,3.6,1.8,5.4,
2.0,TJ Bamba,G,33,33,925,14.7,0.486,0.319,0.414,356.0,2.4,11.9,7.3,19.5,3.6,0.6,12.6,22.3,1.0,1.6,2.6,0.111,0.5,4.0,4.5,
3.0,Nathan Bittle,C,33,33,915,25.4,0.601,0.303,0.318,444.0,7.9,22.7,15.6,14.5,1.6,8.6,11.6,24.5,2.7,1.9,4.7,0.204,6.4,4.9,11.3,
4.0,Keeshawn Barthelemy,G,33,12,913,15.7,0.56,0.522,0.156,326.0,2.4,7.4,5.0,17.8,2.3,0.6,9.5,18.3,1.9,1.1,3.1,0.134,4.3,2.7,7.1,
5.0,Brandon Angel,F,33,33,768,14.9,0.64,0.344,0.371,264.0,5.8,13.5,9.8,8.8,1.1,1.3,17.4,17.6,1.5,1.0,2.4,0.128,2.2,1.9,4.1,
6.0,Jadrian Tracey,F,33,16,708,14.3,0.593,0.517,0.241,229.0,4.3,10.5,7.5,14.9,2.5,0.8,16.4,16.7,1.1,1.0,2.1,0.12,2.5,3.2,5.7,
7.0,Kwame Evans Jr.,F,33,3,531,17.9,0.583,0.379,0.659,211.0,11.9,19.6,15.9,7.9,1.4,3.8,16.8,20.0,1.1,0.9,2.0,0.15,2.3,2.4,4.7,
8.0,Supreme Cook,F,30,0,333,16.0,0.555,0.0,0.649,136.0,11.6,15.6,13.7,3.6,1.8,1.0,14.8,22.8,0.5,0.5,1.0,0.119,-0.2,0.7,0.5,
9.0,Ra'Heim Moss,G,28,2,296,5.3,0.408,0.364,0.477,51.0,3.3,13.7,8.7,8.2,2.2,0.4,20.6,11.7,-0.1,0.4,0.3,0.041,-3.8,3.2,-0.6,
10.0,Mookie Cook,F,22,0,96,11.6,0.588,0.467,0.4,20.0,5.0,8.2,6.7,3.6,1.8,4.5,5.3,10.0,0.1,0.1,0.3,0.116,0.6,4.2,4.8,
11.0,Jamari Phillips,G,13,0,67,0.4,0.407,0.7,0.35,18.0,1.8,11.8,7.0,7.6,0.9,0.0,20.5,22.4,-0.1,0.1,0.0,-0.018,-7.2,0.2,-7.1,
12.0,James Cooper,F,5,0,10,18.2,,,,2.0,12.1,11.3,11.7,45.3,5.8,0.0,,0.0,0.0,0.0,0.1,0.233,3.8,13.1,16.9,
13.0,Jayson Williams-Johnson,G,6,0,9,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.8,6.5,0.0,33.3,17.0,-0.1,0.0,0.0,-0.153,-13.2,4.8,-8.4,
14.0,Oleksandr Kobzystyi,F,2,0,8,-24.3,0.0,0.5,0.0,1.0,15.1,0.0,7.3,0.0,0.0,0.0,50.0,25.5,-0.1,0.0,-0.1,-0.357,-21.5,-7.5,-29.0,
15.0,Drew Carter,G,3,0,4,-14.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,-0.151,-16.9,-1.8,-18.7,
16.0,Luke Johnson,F,2,0,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.018,-0.4,1.4,1.0,
,Team Totals,,33,33,6674,,0.561,0.386,0.334,,,,,,,,,,11.6,10.0,21.6,0.129,2.5,2.9,5.4,
