Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Gary Payton,32,32,1096,25.9,0.532,0.512,0.166,0.291,558,7.8,18,12.8,32.9,4.3,1.7,13.3,25.6,,3,2.1,5,0.184,,6.8,5.7,12.5
2,Tres Tinkle,27,11,748,20.8,0.561,0.5,0.327,0.6,329,5.9,16.1,10.9,8.2,2.5,2.2,10.8,23.9,,1.8,1.1,2.9,0.157,,3.6,1.8,5.4
3,Stephen Thompson Jr.,32,5,694,18.3,0.516,0.488,0.44,0.278,301,4.2,5.7,4.9,8.1,3.1,1.9,7.6,26,,1.2,0.8,2,0.118,,3.3,0.3,3.6
4,Drew Eubanks,32,30,685,16.9,0.593,0.58,0,0.362,223,7.3,16.7,12,3.9,1.2,6.7,17,18.3,,0.9,1,1.9,0.112,,-0.5,4,3.4
5,Olaf Schaftenaar,32,32,759,11.3,0.551,0.518,0.675,0.253,205,3.2,10.6,6.9,12.3,1,0.8,12.3,14.1,,1.1,0.7,1.8,0.095,,2.8,0.7,3.5
6,Langston Morris-Walker,32,16,539,12.3,0.481,0.449,0.486,0.37,161,4.1,12,8,9.7,2.2,0.2,10,17.8,,0.5,0.6,1.1,0.083,,1,0.7,1.7
7,Derrick Bruce,28,0,342,12,0.529,0.495,0.462,0.527,122,0.3,8.9,4.6,21.5,1.2,0.3,16.6,20.6,,0.4,0.3,0.7,0.081,,0.8,-1.5,-0.7
8,Malcolm Duvivier,32,32,809,7.7,0.485,0.463,0.474,0.303,203,1.6,9,5.3,15.5,0.9,0.7,20.6,15.8,,0.1,0.6,0.7,0.034,,-0.8,0.5,-0.3
9,Cheikh N'diaye,25,0,131,10.2,0.745,0.818,0,1.364,24,4.2,14.7,9.4,0,1.8,7.2,33.2,10.5,,0.1,0.2,0.3,0.079,,-3.1,3.5,0.4
10,Gligorije Rakocevic,27,0,190,7.3,0.511,0.469,0,0.469,42,7.6,13.7,10.6,2.8,1.2,0,20.4,13.1,,0.1,0.2,0.3,0.057,,-2.8,0.2,-2.6
11,Jarmal Reid,21,0,311,6.9,0.449,0.39,0,0.545,87,5,10.9,7.9,6.6,2.3,1.9,20.5,19.9,,-0.2,0.4,0.2,0.024,,-4.5,2,-2.4
12,Daniel Gomis,11,2,78,1.7,0.639,0.6,0,0.2,13,4.3,5.8,5,0,0.7,1.5,31.3,10.4,,0,0.1,0.1,0.03,,-3.4,-0.2,-3.6
13,Matt Dahlen,9,0,10,2.8,0.256,0,0,2,1,0,11.3,5.6,15.8,0,0,0,9.9,,0,0,0,0.016,,-5.1,-0.7,-5.8
14,Justin Stangel,4,0,4,-15.5,,,,,0,0,0,0,0,0,0,100,12.7,,0,0,0,-0.25,,-15.5,1.8,-13.7
15,Noah Togiai,2,0,3,5.7,,,,,0,0,37.8,18.7,0,0,0,,0,,0,0,0,0.069,,-7.8,0,-7.7
