Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Ryan Betley,32,31,1072,16.2,0.579,0.543,0.61,0.327,409,2.3,13.9,8.2,7.5,1.4,1.3,10.7,21.3,,1.9,2.1,4,0.149,,1.2,0.5,1.7
2,AJ Brodeur,32,32,989,19.8,0.582,0.572,0.213,0.27,418,6.4,19.2,12.9,16.8,1.6,4.1,17.2,22.5,,1.7,2.3,4,0.162,,0,4.1,4.1
3,Darnell Foreman,32,32,952,16.7,0.549,0.494,0.328,0.486,364,1.7,14.9,8.4,22.2,2.2,0.6,14.3,19.5,,1.8,2,3.7,0.157,,0.1,2,2.1
4,Caleb Wood,32,1,615,19.5,0.619,0.6,0.668,0.226,272,2.4,9.1,5.8,10.1,1,0.5,7.5,23.4,,1.7,1,2.8,0.179,,3.9,-2.1,1.8
5,Max Rothschild,32,31,728,15.6,0.538,0.51,0,0.422,287,8.9,19.5,14.2,19.5,2,1.8,23.6,21.2,,0.7,1.7,2.3,0.128,,-2.8,3.7,0.8
6,Antonio Woods,32,31,895,10.6,0.518,0.497,0.434,0.399,251,2.5,12,7.4,12.6,1.2,0.5,14.5,15.7,,0.7,1.6,2.3,0.104,,-1.8,1.2,-0.6
7,Devon Goodman,24,0,339,9.4,0.456,0.441,0.419,0.28,104,1.7,9.1,5.4,18.6,2.5,0.6,17.3,19.2,,0,0.7,0.6,0.076,,-3.9,0.7,-3.2
8,Jake Silpe,20,0,157,13.3,0.523,0.544,0.559,0.265,43,2.9,11.9,7.5,15.7,2.2,0,5,13.1,,0.3,0.3,0.6,0.145,,-0.2,0.7,0.5
9,Jarrod Simmons,24,0,147,17.8,0.568,0.512,0.357,0.452,60,10,20.2,15.2,8.9,1.6,4.2,16.4,21.2,,0.3,0.3,0.6,0.169,,-1.5,2.2,0.7
10,Jackson Donahue,22,0,240,9.7,0.528,0.535,0.792,0.167,74,2.8,7.3,5.1,7.6,0.9,0,12.4,18.9,,0.2,0.4,0.5,0.088,,-1.1,-2,-3.2
11,Matt MacDonald,20,1,105,16.6,0.62,0.679,0.214,0.929,28,8.6,7.3,8,8.3,4.3,1,12.9,11.3,,0.2,0.2,0.5,0.173,,0.6,3.6,4.2
12,Sam Jones,24,1,111,15.6,0.584,0.585,0.976,0.049,37,1,19.8,10.6,1.7,1,0,2.3,19.8,,0.2,0.2,0.4,0.151,,0.9,-3.8,-2.8
13,Eddie Scott,9,0,100,11.2,0.506,0.56,0.24,0.64,34,11.3,18.7,15.1,3.8,1.1,0,17.7,20.2,,0,0.2,0.2,0.091,,-4.6,-1.3,-5.9
14,Ray Jerome,2,0,13,32.6,0.505,0.375,0.75,0.5,7,0,16.9,8.6,52.6,8.8,0,0,19.4,,0.1,0,0.1,0.337,,8.5,4.8,13.3
15,Collin McManus,8,0,21,20.9,1,1,0,0,5,10.8,10.5,10.6,16.8,0,4.9,0,4.9,,0.1,0,0.1,0.224,,3.2,2.4,5.6
16,Dan Dwyer,7,0,37,4.3,0.576,0.667,0,0.333,7,6.1,14.8,10.6,17.8,1.5,0,53.5,10.3,,0,0.1,0,0.054,,-6.1,2.1,-4.1
17,Jakub Mijakowski,7,0,39,4.6,0.344,0.344,0.75,0,11,5.8,11.3,8.6,4.6,1.5,0,5.9,22.3,,-0.1,0.1,0,0.018,,-5.4,-2.7,-8.1
18,Zack Kaminsky,4,0,12,-15.9,0.101,0,0.75,0.5,1,0,9.1,4.6,0,0,0,16.8,25.3,,-0.1,0,-0.1,-0.254,,-19.1,-5.8,-24.8
