Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Michael Young,33,32,971,24.1,0.595,0.543,0.034,0.497,492,9.2,18.1,13.7,17,0.7,2,15.7,26.9,,3.1,1.4,4.4,0.183,,4.4,2.6,7
2,Jamel Artis,33,33,991,19.7,0.58,0.54,0.385,0.35,448,4.9,13.9,9.4,20,1.2,0.9,16.3,25,,2.5,1.3,3.8,0.152,,5.2,1.7,6.8
3,James Robinson,33,33,1055,15.9,0.484,0.437,0.396,0.314,375,1.6,10,5.8,28.5,2.2,0.8,10.8,18.7,,2.2,1.4,3.7,0.139,,3.5,2,5.5
4,Sheldon Jeter,32,4,595,23.2,0.585,0.546,0.118,0.277,237,10.7,19,14.9,7.6,2.1,4.4,9.8,20.8,,1.7,1.1,2.9,0.193,,3.6,4.1,7.8
5,Chris Jones,33,9,628,13.4,0.522,0.488,0.437,0.335,201,5.4,7.6,6.5,14,1.3,1.9,12.6,17.9,,1.1,0.7,1.8,0.116,,2.8,1.8,4.5
6,Sterling Smith,33,23,573,13.1,0.559,0.517,0.75,0.217,142,2.5,17.6,10.1,11.1,1.3,1,12,13.3,,1,0.8,1.8,0.125,,2.9,2.4,5.3
7,Ryan Luther,32,0,421,19.1,0.632,0.62,0.167,0.361,149,12.3,13.5,12.9,6.5,1.9,2.9,18.6,18.7,,0.9,0.7,1.6,0.148,,3.3,3,6.3
8,Cameron Johnson,32,1,373,15.7,0.541,0.511,0.611,0.198,134,4.1,14.3,9.2,8.2,1.6,1.5,9.5,21.5,,0.8,0.5,1.3,0.14,,3.2,0.7,3.9
9,Rafael Maia,33,25,397,13.3,0.495,0.462,0.019,0.596,90,14.5,20.1,17.3,7.6,2.3,1.7,18.4,10.4,,0.5,0.7,1.3,0.126,,1.3,4.8,6.2
10,Damon Wilson,30,0,324,11.2,0.467,0.399,0.321,0.524,107,1.5,10.4,5.9,23.3,1.5,0.7,16.7,19.7,,0.3,0.4,0.7,0.09,,-0.4,0.6,0.3
11,Alonzo Nelson-Ododa,31,5,251,9.5,0.453,0.459,0,0.405,47,11.7,10.6,11.2,2.7,0.2,10,20,11.1,,0.1,0.4,0.5,0.074,,-2.1,6.4,4.3
12,Jonathan Milligan,4,0,39,11.8,0.818,0.786,0.571,0.286,11,0,3,1.5,13.8,0,0,20.1,12.9,,0.1,0,0.1,0.136,,3.8,-2.5,1.3
13,Ryan Seelye,8,0,12,6.4,0.4,0.4,0.2,0,4,9.8,0,4.9,0,0,0,0,21.1,,0,0,0,0.052,,-2.5,-5,-7.4
14,Mike Lecak,11,0,21,-18.7,0.143,0.143,0.714,0,2,0,0,0,7.8,0,0,30,24.1,,-0.1,0,-0.1,-0.241,,-14.3,-4.3,-18.6
