Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Steven Cook,30,30,907,22.5,0.593,0.575,0.415,0.354,385,5.8,14.7,10.2,11.9,3.2,1.1,10.9,23.2,,2.5,2.1,4.6,0.201,,4.1,2.2,6.3
2,Devin Cannady,30,24,944,19.2,0.602,0.552,0.669,0.274,362,1.1,12.6,6.8,11.2,2.1,1,9.5,21.3,,2.5,1.9,4.3,0.184,,4.2,0.7,4.8
3,Spencer Weisz,30,30,994,17.1,0.512,0.495,0.601,0.16,354,2.9,16.7,9.7,23.8,2.8,1.1,13.4,19.6,,1.7,2.3,3.9,0.158,,2.2,3,5.2
4,Myles Stephens,30,21,830,20.5,0.586,0.572,0.302,0.26,342,5.9,14.2,10,8.8,1.5,3.3,12.8,24.1,,1.8,1.7,3.4,0.165,,1.2,1.6,2.8
5,Amir Bell,30,5,707,12.6,0.539,0.515,0.4,0.236,205,1.9,10.3,6,16.1,1.6,1.7,14.8,16.6,,0.9,1.3,2.2,0.126,,-0.4,1.4,1
6,Pete Miller,30,25,443,14.8,0.59,0.562,0.015,0.338,118,9.7,18.9,14.2,14.5,1,2.8,19.3,11.5,,0.9,0.9,1.8,0.165,,-0.3,3.5,3.2
7,Alec Brennan,25,0,192,16.5,0.613,0.602,0.386,0.159,58,8.1,15.1,11.6,7,1.3,5.1,12.9,15.4,,0.4,0.4,0.8,0.17,,0.4,2.8,3.2
8,Henry Caruso,8,8,178,18.8,0.573,0.556,0.286,0.111,68,6,17.7,11.8,7.3,3.1,0,17.4,24.6,,0.2,0.4,0.6,0.13,,-1.1,0.7,-0.4
9,Aaron Young,27,0,123,13.7,0.556,0.529,0.941,0.176,36,2.9,10.8,6.8,4.5,1.5,0,2.6,16.8,,0.3,0.2,0.5,0.151,,2.3,-2,0.2
10,Will Gladson,29,0,302,6.5,0.423,0.399,0.527,0.149,70,3.6,9.6,6.6,8.3,0.8,5.3,15.9,17,,-0.1,0.6,0.4,0.057,,-4.5,2.2,-2.3
11,Hans Brase,5,5,78,17,0.656,0.614,0.455,0.227,32,4.6,17.1,10.8,18,0,0,19.8,21.2,,0.2,0.1,0.3,0.17,,1.5,-1.3,0.2
12,Richmond Aririguzoh,13,0,66,15,0.447,0.412,0,0.529,20,3.6,20.2,11.8,11.3,2.8,7.4,12.4,20,,0,0.2,0.2,0.12,,-5.6,5.8,0.2
13,Vittorio Reynoso-Avila,9,0,31,28.5,0.625,0.625,0,0,13,11.5,19.5,15.5,33.6,2,0,0,14.1,,0.2,0.1,0.2,0.29,,6,1.9,7.9
14,Jackson Forbes,8,0,21,11.7,0.5,0.5,0.5,0,7,5.7,11.5,8.6,19.1,0,0,14.3,18.2,,0,0,0.1,0.104,,-0.9,-1.9,-2.9
15,Mike LeBlanc,18,0,57,9.7,0.439,0.433,0.733,0.133,14,2.1,10.6,6.3,9.5,2.2,2.2,5.9,16.2,,0,0.1,0.1,0.099,,-1.5,0.8,-0.7
16,Khyan Rayner,13,1,38,6.2,0.6,0.6,0.8,0,6,0,12.7,6.3,9,0,0,16.7,8.6,,0,0.1,0.1,0.092,,-2.1,-0.8,-2.9
17,Noah Bramlage,10,0,27,3.3,0.7,0.7,0.4,0,7,0,22.4,11.1,21,0,0,50,20.2,,0,0.1,0,0.008,,-7.7,-0.3,-8.1
18,Alexander Lee,4,1,15,17.4,0.429,0.429,0,0,6,15.9,24.2,20,0,0,0,0,25.4,,0,0,0,0.123,,-7.2,-8.4,-15.7
19,Jose Morales,16,0,64,5.8,0.441,0.421,0.211,0.158,20,0,13.2,6.6,24.2,1.9,0,28.1,24.2,,-0.1,0.1,0,0.009,,-7.8,-0.4,-8.2
20,Elias Berbari,4,0,8,-21.6,0,0,0.75,0,0,0,15.1,7.5,0,0,0,0,27.2,,-0.1,0,-0.1,-0.336,,-21.3,-8,-29.3
