Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Noah Horchler,30,30,994,16.4,0.596,0.573,0.619,0.229,283,6.1,21.7,14.2,10.1,1.5,2.6,16.6,15.3,,1.8,1.8,3.5,0.142,,3.5,2.9,6.4
2,Nate Watson,30,30,859,21.3,0.569,0.558,0,0.429,367,8.1,13.2,10.8,4.6,0.7,2.9,8.5,24.4,,2.4,1.1,3.5,0.161,,3,0.7,3.7
3,Jared Bynum,26,10,729,20.1,0.547,0.504,0.375,0.383,339,1,11.1,6.2,33.6,2.3,0.7,15.6,25.8,,1.8,1,2.8,0.156,,4.4,1.9,6.3
4,Aljami Durham,28,28,972,13.3,0.506,0.382,0.357,0.675,381,1.1,8.6,5,19.2,0.9,1.1,15.5,23.7,,1.5,1,2.5,0.103,,0.5,0.7,1.2
5,Justin Minaya,29,22,958,11.6,0.509,0.503,0.57,0.236,207,7.3,12.3,9.9,8.3,1.6,2.8,16.8,12.1,,0.9,1.3,2.2,0.093,,1.4,2.8,4.2
6,A.J. Reeves,25,22,631,15.4,0.528,0.507,0.67,0.179,234,3.2,9.3,6.4,15.6,1.1,0.7,8.2,21.4,,1.4,0.7,2.1,0.132,,4,1.1,5.1
7,Ed Croswell,30,0,431,22.4,0.649,0.667,0.01,0.392,154,14.8,20.5,17.8,5.3,2.1,5,18.2,18,,1.1,0.9,1.9,0.181,,1.9,3,4.9
8,Alyn Breed,30,8,401,5.9,0.418,0.32,0.402,0.464,104,2.4,8.4,5.5,12.2,2.4,0.3,19.7,19.3,,-0.2,0.5,0.3,0.032,,-5.1,1.8,-3.2
9,Brycen Goodine,19,0,121,11.5,0.538,0.452,0.806,0.419,35,2,9.9,6.1,3.2,3.5,0.9,13.9,18.7,,0.1,0.2,0.3,0.113,,-2.2,3.7,1.5
10,Andrew Fonts,10,0,24,16.2,0.909,1,0.75,0.5,7,0,13.6,7.1,8.8,0,0,16.8,13,,0.1,0,0.1,0.161,,1.3,1.4,2.7
11,Matteus Case,3,0,5,41,0.808,1,0,0.5,2,0,21.8,11.4,0,0,0,0,26,,0,0,0,0.204,,4.6,1.3,5.9
12,Luke Fonts,1,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
