Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Trevion Williams,27,25,673,28.9,0.528,0.527,0.009,0.301,415,16.8,25.1,21,23.8,1.6,3.1,13.6,35.5,,2,1.3,3.3,0.196,,6.7,2.2,8.9
2,Sasha Stefanovic,24,20,716,15.1,0.615,0.574,0.782,0.34,213,0.3,10,5.3,16.2,1.5,0.6,12.1,14.9,,1.8,0.8,2.7,0.149,,3.8,2.7,6.5
3,Zach Edey,27,2,396,29.9,0.639,0.605,0,0.619,217,14.4,21.1,17.8,5.5,0.6,9.3,16.3,29.7,,1.5,0.7,2.3,0.229,,4.8,2.7,7.5
4,Mason Gillis,27,22,587,12.9,0.621,0.57,0.559,0.43,152,7.9,12.8,10.4,10.6,1.2,0.4,20.6,12.4,,1.1,0.7,1.9,0.126,,2.3,2.3,4.6
5,Jaden Ivey,22,11,515,18,0.495,0.45,0.427,0.352,223,4.2,12.4,8.4,17.3,2,3.6,11.8,26.4,,1,0.8,1.7,0.135,,4,2.7,6.7
6,Brandon Newman,27,23,650,13.3,0.538,0.503,0.521,0.165,205,1.8,15.1,8.6,11.1,1.9,2.2,16.7,20,,0.7,1,1.7,0.107,,1.8,2.9,4.7
7,Eric Hunter,23,22,700,11,0.483,0.439,0.412,0.251,209,1.9,6.2,4.1,17.1,2.1,0.8,16,18.4,,0.6,0.8,1.5,0.084,,0.5,2.4,2.9
8,Aaron Wheeler,27,5,502,12,0.491,0.485,0.633,0.214,115,5.9,22.3,14.3,10.4,2,3.4,19.4,13.8,,0.3,1,1.3,0.101,,0.8,4.3,5
9,Isaiah Thompson,27,5,469,9.8,0.576,0.532,0.671,0.392,107,2.8,6.1,4.5,9.8,0.6,0,13,11.9,,0.8,0.4,1.2,0.1,,1.9,1.7,3.6
10,Matt Frost,2,0,5,63.9,1.25,1.25,0.5,0,3,0,0,0,85.1,0,0,0,20.7,,0.1,0,0.1,0.505,,32.3,10.1,42.4
11,Carson Barrett,1,0,2,25.3,0.526,,,,1,0,57.1,29.1,0,0,0,0,24.5,,0,0,0,0.246,,0.2,5.6,5.8
12,Chase Martin,2,0,5,6.8,0,0,1,0,0,0,22.8,11.6,0,12,0,0,10.3,,0,0,0,0.017,,-10.2,12.7,2.5
13,Ethan Morton,23,0,200,1.9,0.35,0.35,0.7,0,24,1.2,9.1,5.2,16.4,0.6,0.7,41.2,8.8,,-0.2,0.2,0,0,,-2.4,2.2,-0.2
14,Jared Wulbrun,2,0,5,33,0.75,0.75,1,0,3,0,0,0,46,0,0,0,20.7,,0,0,0,0.352,,16.8,2.7,19.5
