Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,"Ed Polite, Jr.",34,32,1087,23.9,0.564,0.518,0.233,0.497,438,7.9,22.3,14.9,10,3.8,3.7,13.6,23.4,,2.5,2.5,5.1,0.187,,1.2,3.6,4.8
2,Carlik Jones,34,24,1023,17.9,0.525,0.474,0.35,0.378,399,2.1,13.5,7.7,22.3,2.3,1,12.8,23,,2.1,1.6,3.7,0.144,,0.9,0.2,1.1
3,Randy Phillips,34,32,777,17.9,0.57,0.552,0,0.571,254,15.4,15.4,15.4,6.9,1.4,5.3,21.3,18.2,,1.2,1.3,2.4,0.126,,-1.3,2.6,1.3
4,Donald Hicks,34,33,922,10.9,0.505,0.484,0.596,0.104,259,5.5,10.1,7.7,10.4,1.1,0,12.4,17.5,,1.2,1,2.2,0.095,,-0.1,-1.5,-1.5
5,Caleb Tanner,34,1,453,19,0.635,0.598,0.867,0.203,178,0.5,3.6,2,7.6,0.8,0,4.4,21.5,,1.7,0.4,2.1,0.186,,5.3,-5.5,-0.1
6,Travis Fields,33,1,662,13.6,0.484,0.452,0.423,0.196,214,2.7,10.7,6.6,23.8,3.2,0.8,17.9,20.5,,0.6,1.1,1.6,0.098,,-1.3,0.3,-1
7,Christian Bradford,34,33,748,8.2,0.463,0.429,0.593,0.2,158,1.4,8.7,5,17.1,1.7,0.3,18.6,13.6,,0.3,0.9,1.2,0.065,,-2.5,-0.8,-3.3
8,Devonnte Holland,34,4,506,12.8,0.539,0.516,0.008,0.398,164,12.3,16.1,14.1,5.3,0.9,3.5,22.8,21,,0.3,0.7,1,0.081,,-4.5,0,-4.5
9,Leroy Butts IV,32,1,245,14.7,0.543,0.557,0.295,0.246,69,7.8,19.7,13.6,6.3,2.1,0.5,17,18,,0.2,0.4,0.6,0.102,,-2.7,-0.7,-3.4
10,Justin Cousin,33,8,351,3.8,0.423,0.408,0.804,0.087,75,1.4,8.3,4.7,6.8,0.5,0.4,12.8,16.8,,-0.1,0.3,0.3,0.03,,-4,-3.1,-7.1
11,Darius Bolstad,13,0,58,15.6,0.594,0.588,0,0.294,21,12.4,17.5,14.9,4.2,0,10.8,23.6,23.6,,0,0.1,0.1,0.1,,-5.4,2.2,-3.3
12,Anias Saunders,10,0,15,27.7,1.013,1,1,0.667,7,8,16.9,12.3,15,0,0,33.6,21.4,,0.1,0,0.1,0.217,,7.3,-3.7,3.5
13,Devin Cooper,6,0,22,5,0.375,0.375,0.5,0,6,0,17.3,8.4,18.6,0,0,11.1,22,,0,0,0,0.028,,-6,-3.7,-9.7
14,Tristan Owens,15,1,56,-1.8,0.263,0.25,0.65,0.1,13,4.3,15.9,9.9,17.6,1.1,0,19.3,24.9,,-0.2,0.1,-0.1,-0.077,,-9.2,-2.6,-11.8
