Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Hassan Martin,30,30,784,28.1,0.612,0.595,0.014,0.421,364,9.1,19.8,14.5,6.4,1.6,9.6,11.7,24.3,,2.4,1.9,4.3,0.218,,2.7,5.9,8.7
2,Jared Terrell,35,34,1074,16,0.539,0.487,0.392,0.437,421,3.6,6.8,5.2,12.7,2,0.6,11.6,21.8,,2.2,1.6,3.8,0.14,,3.4,0.8,4.2
3,E.C. Matthews,35,34,1024,18.1,0.546,0.506,0.471,0.382,461,2.3,13.9,8.1,10.7,1.1,1.3,12.2,26.7,,2.1,1.6,3.7,0.144,,3,0,3
4,Kuran Iverson,35,35,910,19.2,0.534,0.519,0.305,0.376,345,9.5,21.9,15.8,12.8,1.4,5.4,16.6,20.8,,1.4,2,3.4,0.152,,1.9,5.1,7
5,Stanford Robinson,35,0,636,17.7,0.525,0.503,0.308,0.374,230,4.6,11,7.8,18,3.5,1.7,12.3,19.4,,1.2,1.3,2.5,0.156,,3,3.4,6.4
6,Nicola Akele,35,1,443,15.5,0.599,0.567,0.36,0.307,114,7.1,14,10.6,11.5,2.1,3.4,14,11.4,,0.9,0.9,1.8,0.159,,2.7,4.4,7.1
7,Jeff Dowtin,32,19,711,11.1,0.499,0.484,0.373,0.32,190,2.5,5,3.8,17.3,1.4,1.1,12.4,14.3,,0.9,0.9,1.8,0.103,,1.2,0.8,2
8,Cyril Langevine,35,6,463,16.5,0.478,0.467,0,0.598,139,16.6,21.1,18.8,3.9,2,6,15.6,15.4,,0.6,1.1,1.7,0.145,,-0.7,4.8,4.1
9,Jarvis Garrett,27,16,601,12.3,0.504,0.456,0.445,0.38,183,1.5,7.2,4.4,23.3,2.3,0.5,19,16.8,,0.6,0.9,1.6,0.103,,1.1,0.9,1.9
10,Christion Thompson,26,0,268,12,0.467,0.431,0.655,0.379,67,5.5,11.6,8.6,7.8,3.5,3.6,10.5,14.4,,0.3,0.6,0.8,0.125,,1.5,4.5,5.9
11,Andre Berry,14,0,69,10.8,0.513,0.5,0,0.15,22,11.4,4.8,8.1,2.9,0.9,3.1,18.9,19.3,,0,0.1,0.1,0.073,,-2.3,0.5,-1.8
12,Eric Dadika,7,0,9,-5.8,0.5,0.5,1,0,2,0,0,0,0,0,0,40,28,,0,0,0,-0.15,,-8.6,-4.3,-12.8
13,Will Leviton,7,0,10,17.4,0.333,0.333,0.333,0,2,0,22.2,11.2,0,11.9,0,0,15.1,,0,0,0,0.128,,-3.4,6.9,3.5
14,Mike Layssard,8,0,23,-2.1,0.111,0.111,0.111,0,5,19.6,28.9,24.3,7.1,0,4.7,18.2,24.1,,-0.1,0,-0.1,-0.109,,-13.2,1.4,-11.8
