Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Rodney Pryor,35,28,1028,24.4,0.596,0.578,0.452,0.201,487,4.8,13.6,9.3,14.7,2.4,1.2,9.8,25.6,,3.5,1.3,4.8,0.187,,5.7,-1.3,4.4
2,Marcquise Reed,35,28,973,22.1,0.57,0.531,0.199,0.326,481,2.4,7.9,5.3,18.6,4.1,0.1,16.2,29.6,,2.1,1.3,3.4,0.139,,1.9,-1.1,0.8
3,Lucky Jones,31,19,924,19.3,0.535,0.477,0.523,0.41,413,5.5,17.3,11.6,10.1,2.7,1.5,15,27.3,,1.7,1.4,3.1,0.132,,1.4,-1,0.4
4,Elijah Minnie,32,21,699,18.8,0.643,0.623,0.347,0.253,200,8,17.7,13,3.8,2.7,5.9,19.2,15.4,,1.2,1.2,2.4,0.138,,0.3,2.6,2.9
5,Kavon Stewart,34,32,964,11.2,0.445,0.377,0.257,0.659,275,1.9,8,5,29.8,3.5,0.1,26.6,17.2,,0.1,1.1,1.2,0.052,,-2.8,-0.7,-3.5
6,Aaron Tate,33,30,791,9,0.501,0.5,0,0.3,140,8.6,12.6,10.7,3.1,1.1,1.3,18.7,10.1,,0.4,0.7,1.2,0.059,,-2.7,-0.2,-2.9
7,David Appolon,21,9,460,13.4,0.508,0.427,0.146,0.615,142,7.5,11.1,9.4,14.2,2.9,0,19.5,17.4,,0.5,0.5,1.1,0.094,,-1,0,-1
8,Stephan Bennett,32,7,589,7.4,0.45,0.421,0.075,0.323,137,5.5,7.1,6.3,5,1.2,2.7,15,15.9,,0.1,0.5,0.5,0.036,,-4.4,-0.7,-5.2
9,Andre Frederick,24,0,179,11.9,0.546,0.538,0,0.192,32,8,12.1,10.1,2.1,1.7,8.9,22,10.5,,0.1,0.2,0.3,0.074,,-4,3.6,-0.4
10,Lionel Gomis,27,1,259,0.9,0.341,0.303,0,0.515,35,6.9,11.8,9.4,3.4,0.9,0.9,22.6,10.6,,-0.2,0.2,0,0.004,,-6.5,-1,-7.5
11,Charles Oliver,2,0,19,12.8,0.34,0,0.571,1.429,9,12.5,12,12.2,8.7,3.2,0,0,32.1,,0,0,0,0.103,,-0.7,-5.3,-6
12,Ryan Skovranko,1,0,3,35.4,1,1,0,0,1,0,0,0,0,0,0,0,17.3,,0,0,0,0.195,,8.1,-6.9,1.2
13,Conrad Stephens,4,0,5,-12.9,0,0,0.5,0,1,0,0,0,33,0,0,0,20.8,,0,0,0,-0.203,,-14.6,-11.8,-26.5
14,Jafar Kinsey,11,0,157,-2.7,0.261,0.283,0.565,0.174,17,1.5,7.2,4.4,11.1,1.1,0,34.3,12.5,,-0.4,0.1,-0.3,-0.07,,-8,-1.8,-9.8
