Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Kam Woods,G,29,27,1044,13.9,0.458,0.353,0.331,469.0,4.1,10.9,7.5,28.5,2.8,0.3,15.4,26.8,0.7,1.7,2.4,0.094,-1.6,-0.3,-1.9,
2.0,Alvaro Folgueiras,F,34,34,991,26.5,0.653,0.337,0.398,473.0,8.9,27.3,18.1,22.5,2.8,4.4,17.3,22.1,3.2,2.4,5.6,0.226,4.6,3.2,7.8,
3.0,Josh Omojafo,G,33,32,991,13.5,0.58,0.293,0.627,351.0,4.2,10.5,7.4,8.6,1.0,1.1,13.6,18.6,1.9,1.3,3.2,0.129,-1.0,-0.6,-1.6,
4.0,Amarion Dickerson,F,34,30,983,22.0,0.599,0.23,0.507,408.0,8.5,15.1,11.8,9.6,2.0,8.8,11.6,20.8,2.6,2.0,4.6,0.187,1.5,2.6,4.1,
5.0,D.J. Smith,G,34,31,958,10.3,0.55,0.571,0.275,314.0,2.2,6.9,4.6,20.4,1.3,0.1,20.5,18.1,1.0,1.1,2.1,0.088,-1.6,-0.9,-2.5,
6.0,Ryan Prather Jr.,G,34,12,814,13.4,0.585,0.597,0.19,256.0,5.9,8.9,7.4,8.1,0.7,0.7,9.7,16.2,1.6,0.9,2.6,0.126,0.9,-1.2,-0.3,
7.0,Ismael Plet,F,33,4,540,13.5,0.521,0.016,0.468,171.0,13.8,13.0,13.4,7.3,0.8,2.2,13.7,16.0,0.8,0.8,1.5,0.113,-1.7,-0.6,-2.3,
8.0,Dilen Miller,G,25,0,300,5.9,0.384,0.703,0.23,68.0,0.8,9.3,5.1,14.1,3.9,0.0,16.3,16.1,-0.1,0.5,0.4,0.053,-8.3,2.2,-6.1,
9.0,Chris Ford,F,26,0,201,9.5,0.469,0.0,0.25,31.0,9.9,12.2,11.0,7.5,2.3,1.6,18.3,6.7,0.1,0.3,0.5,0.093,-3.2,1.8,-1.4,
10.0,Antallah Sandlin'El,F,9,0,78,17.8,0.551,0.406,0.281,34.0,11.9,15.0,13.5,0.0,1.5,1.4,12.1,26.1,0.1,0.1,0.3,0.128,0.3,-1.2,-0.9,
11.0,Maurio Hanson Jr.,F,4,0,17,-27.6,0.167,0.182,0.182,5.0,20.6,20.6,20.6,0.0,0.0,0.0,29.5,49.2,-0.2,0.0,-0.2,-0.425,-24.1,-12.1,-36.2,
12.0,Tanner O'Grady,G,4,0,7,31.1,0.667,0.333,0.0,2.0,0.0,33.4,16.7,0.0,8.3,0.0,0.0,21.2,0.0,0.0,0.0,0.253,-3.7,12.6,8.8,
,Team Totals,,34,34,6924,,0.553,0.367,0.384,,,,,,,,,,11.8,11.3,23.0,0.133,-0.3,0.5,0.2,
