Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Ron Harper,31,31,1052,20.3,0.563,0.52,0.44,0.327,439,4.4,15.9,10.2,11.3,1.9,2.2,10.4,24.1,,2.7,1.5,4.2,0.158,,4.6,1.8,6.3
2,Clifford Omoruyi,31,31,884,22.4,0.623,0.62,0.024,0.386,318,9,23.2,16.1,2.2,1.2,5.3,12,20,,2.2,1.5,3.7,0.168,,2.8,1.6,4.4
3,Paul Mulcahy,31,31,983,15,0.522,0.494,0.286,0.2,337,4.3,10.7,7.5,32,2.2,1,23,18.7,,1.2,1.2,2.5,0.1,,0.9,1.7,2.5
4,Geo Baker,27,26,919,15.2,0.501,0.479,0.481,0.165,331,1.5,5.3,3.4,22.5,2.2,1.4,11.2,21.6,,1.4,0.9,2.4,0.103,,2.6,1.5,4.1
5,Caleb McConnell,31,30,908,12.2,0.437,0.406,0.271,0.256,220,4,16.5,10.3,13.1,4.6,1.9,18,16.5,,0,1.9,1.8,0.08,,-2.3,5.1,2.8
6,Aundre Hyatt,31,1,394,12.6,0.443,0.411,0.341,0.304,137,7.7,17.7,12.7,9.5,1.1,2.1,12,23.5,,0.2,0.5,0.7,0.07,,-0.6,0.6,0
7,Dean Reiber,27,0,205,18.7,0.588,0.586,0.188,0.188,73,5.7,13.1,9.4,11.5,2.4,6.5,15.7,21.3,,0.3,0.3,0.7,0.132,,0.9,3.6,4.5
8,Mawot Mag,27,2,319,10.9,0.489,0.452,0.205,0.315,86,8.8,9.9,9.3,7,1.5,2.3,16,16.5,,0.2,0.4,0.6,0.075,,-1.9,0.9,-1
9,Jaden Jones,17,3,176,11.7,0.438,0.417,0.455,0.152,57,7.3,6,6.6,3.4,0.7,1.4,2.7,21.8,,0.2,0.1,0.3,0.069,,-0.2,-1.3,-1.5
10,Ralph Agee,17,0,123,9.3,0.505,0.462,0,0.538,34,8.5,8.5,8.5,6.1,1,2,21.6,17.9,,0,0.1,0.2,0.05,,-3.4,0.1,-3.3
11,Oskar Palmquist,15,0,90,11,0.554,0.559,0.647,0.353,23,6.5,6.5,6.5,12,1.4,0,13.1,13.4,,0.2,0.1,0.2,0.101,,0,0.7,0.7
12,Jalen Miller,23,0,182,2.5,0.397,0.353,0.059,0.235,19,2.6,6.4,4.5,7.3,2.3,1.3,29.7,7.8,,-0.1,0.2,0.1,0.024,,-6.2,3.5,-2.8
13,Luke Nathan,4,0,10,8.8,0.333,0.333,0,0,3,11.7,11.6,11.7,37.6,0,12.1,25,21.1,,0,0,0,0.029,,-7.8,4.2,-3.6
14,Aiden Terry,3,0,5,-20.3,,,,,1,0,93.1,46.6,31.6,0,0,100,31.7,,-0.1,0,-0.1,-0.409,,-28.7,0.5,-28.1
