Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,Riley Parker,G,33,33,1048,15.7,0.602,0.469,0.19,428,1.2,11.5,6.5,21.3,1.6,0.3,18.6,22.8,1.7,1.2,2.8,0.108,-0.4,-2.3,-2.6,
2,Daemar Kelly,F,33,33,987,9.7,0.525,0.485,0.159,261,1.9,10.8,6.5,10.3,1.6,2.2,18.1,16.9,0.2,1.2,1.4,0.056,-3,-1.5,-4.5,
3,Juan Cranford Jr.,G,33,21,908,15.9,0.591,0.549,0.192,316,3.5,13.8,8.9,13,2.2,0.1,13.1,18.7,1.6,1.2,2.8,0.125,0,-1.2,-1.2,
4,Valentino Pinedo,F,28,25,779,17.5,0.581,0.015,0.452,289,10.8,17,14,9.4,1.7,2.9,15.4,19.4,1.4,1.1,2.5,0.131,-1.5,-1.2,-2.7,
5,Bobby Rosenberger,G,33,23,733,12.7,0.473,0.418,0.179,279,5.7,14,10,12.4,1.5,1.8,11.9,24.3,0.3,0.9,1.2,0.067,-3.5,-2.9,-6.4,
6,Jeremy Clayville,G,31,7,605,14.3,0.558,0.74,0.063,224,2.2,6.1,4.2,15.8,2.9,0.2,14,21.8,0.7,0.7,1.4,0.095,-1.3,-2.3,-3.6,
7,Chris Moncrief,G,31,10,538,16.2,0.568,0.169,0.373,186,4.1,13.9,9.2,13.8,2.3,1.3,16.1,19.6,0.7,0.7,1.4,0.105,-1.2,-0.7,-2,
8,Miles Webb,F,29,7,312,18.3,0.627,0.167,0.389,118,9.9,21,15.7,17.3,1.1,3.5,20.5,18.2,0.7,0.5,1.1,0.146,-3.7,-2,-5.7,
9,Aidan Harris,F,30,1,278,10.3,0.586,0.139,0.389,60,9.8,17,13.5,6.8,1.9,3,27.3,11.2,0.2,0.4,0.6,0.088,-4.7,-0.2,-4.9,
10,Victor Payne,G,25,0,208,9,0.489,0.545,0.341,51,3.6,16.6,10.3,7.6,0.9,1.2,13.5,15.1,0.1,0.2,0.3,0.066,-5.7,-2.8,-8.5,
11,Aaron Talbert,G,5,5,140,7.5,0.475,0.604,0.25,48,0.9,10.7,6,12.1,1.3,0.9,17,24.5,-0.1,0.1,0.1,0.017,-2.5,-1.7,-4.2,
12,Wisler Sanon,G,13,0,108,7.8,0.44,0.304,0.391,28,6.9,17,12.1,9.6,3.9,0,22.7,17.3,-0.1,0.2,0.1,0.051,-8.8,1.5,-7.3,
13,KJ Swain,G,7,0,22,18.8,0.576,0.556,0.333,11,0,15.7,8.1,19.3,2.7,0,16.1,29.9,0,0,0.1,0.116,-9.4,-7.1,-16.5,
14,Trey Weiand,G,3,0,15,28.8,0.602,0.714,0.143,8,0,23,11.9,14.7,4,0,0,26.4,0.1,0,0.1,0.24,,,,
15,Blaze Angellotti,G,4,0,14,-2.9,0.169,0,1,1,0,32.9,17,0,0,8.6,25.3,15,-0.1,0,0,-0.085,-4.9,-2.8,-7.7,
16,Zachary Jones,G,4,0,11,-6.9,0.4,0.6,0,3,0,10.5,5.4,0,0,0,28.6,33.7,-0.1,0,-0.1,-0.195,-5.9,-2.8,-8.7,
17,Brendan Scanlon,G,1,0,10,42.2,0.75,0.25,0,7,0,0,0,85,6,0,0,21.2,0.1,0,0.1,0.41,,,,
18,Carson Rhodes,G,3,0,9,24.8,1,0,0,3,27.5,12.8,19.9,20.5,0,0,0,5.9,0.1,0,0.1,0.26,,,,
,Team Totals,,33,33,6725,,0.555,0.42,0.231,,,,,,,,,,7.5,8.7,16.2,0.096,-2.1,-1.7,-3.8,
