Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Langston Galloway,34,34,1231,21.5,0.61,0.57,0.57,0.322,523,2.8,10.5,6.9,9.3,1.8,1.5,5.4,22.4,,4.2,1.6,5.8,0.19,,7,-0.1,6.9
2,Ronald Roberts,32,32,1065,21.3,0.606,0.6,0,0.655,445,10.7,15.2,13,8.5,0.6,4.3,14.2,22,,2.7,1.5,4.2,0.159,,2.4,1.9,4.3
3,Halil Kanacevic,34,34,1091,19.5,0.577,0.57,0.194,0.481,428,7.6,23.4,15.9,27.9,1.3,5,23.4,20.1,,1.9,2.1,4.1,0.149,,2.4,5.2,7.6
4,DeAndre Bembry,34,34,1107,14.6,0.535,0.516,0.333,0.5,414,4.1,11.6,8.1,17.1,1.8,1.8,18.2,22.6,,1.1,1.5,2.7,0.096,,1,1.4,2.4
5,Chris Wilson,34,34,1152,10.7,0.515,0.488,0.523,0.331,316,1.5,10.6,6.3,15.2,1.3,0.6,17.3,16.7,,0.8,1.3,2.1,0.074,,0.6,0.6,1.1
6,Papa Ndao,31,2,361,9.5,0.616,0.578,0.724,0.224,79,3.1,9.5,6.5,9.6,1.5,1.2,20.9,11.9,,0.4,0.4,0.8,0.092,,1,0.6,1.6
7,Isaiah Miles,28,0,260,12.1,0.538,0.493,0.638,0.275,84,9.5,11.5,10.5,6,0.9,3.7,19.6,19.7,,0.2,0.3,0.6,0.087,,0.2,0,0.2
8,Javon Baumann,15,0,88,12.8,0.507,0.588,0,0.706,26,15.4,20.1,17.9,6.8,0.7,2.4,23.6,17.9,,0,0.1,0.2,0.071,,-2.7,0.5,-2.2
9,Daryus Quarles,24,0,275,5.6,0.427,0.397,0.483,0.362,57,3.1,7.6,5.5,5.4,1.8,0.4,15,15.4,,-0.1,0.3,0.2,0.03,,-2.8,-0.3,-3.1
10,Brendan Casper,8,0,15,17.6,0.393,0.286,0,0.571,8,16.5,0,7.8,13.8,4,0,0,31.4,,0,0,0.1,0.14,,0.2,-1.9,-1.7
11,Colin Kelly,11,0,19,4.3,0.38,0.333,0.333,0.667,4,13,5.8,9.2,0,0,5.6,20.2,13.8,,0,0,0,0.02,,-5,-1.1,-6.1
12,Eric Kindler,6,0,11,-14.5,0,0,0.5,0.5,1,11.2,30.1,21.2,14.8,0,0,54.8,26.3,,-0.1,0,-0.1,-0.321,,-20.5,0.7,-19.7
13,Evan Maschmeyer,23,0,122,0.9,0.4,0.327,0.385,0.423,29,4,6.3,5.3,11.8,0.5,0,29.4,19.2,,-0.2,0.1,-0.1,-0.037,,-6.3,-2,-8.3
14,Kyle Molock,8,0,28,-11.7,0.412,0,0,3,2,0,0,0,5.8,0,0,71.2,15.9,,-0.1,0,-0.1,-0.188,,-14.1,-2.2,-16.3
