Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Dwayne Evans,34,34,1005,19.6,0.559,0.501,0.053,0.526,445,7.7,17.2,12.6,9.6,2.4,2,16.2,26.1,,1.6,2.7,4.3,0.17,,0,3.9,3.9
2,Jordair Jett,34,33,1073,19.7,0.53,0.5,0.107,0.609,499,3.5,10.9,7.3,34.3,2.8,1.7,17.9,26.1,,1.6,2.7,4.3,0.16,,2,4.1,6.1
3,Rob Loe,34,34,941,18.6,0.562,0.524,0.464,0.348,345,6.4,16.9,11.7,15,1.9,4.3,13.8,19.9,,1.7,2.5,4.3,0.181,,2.8,5.5,8.3
4,Mike McCall,34,34,1022,14.9,0.514,0.476,0.458,0.287,334,4,10.3,7.2,16,2.7,0.3,11.7,18.6,,1.4,2.4,3.8,0.148,,2,3.4,5.3
5,Austin McBroom,34,1,730,11.7,0.518,0.457,0.6,0.295,242,2.6,7.4,5.1,15.3,1.9,0.1,15.8,20.2,,0.7,1.5,2.2,0.119,,0.7,1.2,2
6,Jake Barnett,34,26,822,6.8,0.473,0.457,0.822,0.237,154,1.4,11.6,6.7,8.5,2,1,17.1,12.8,,-0.1,1.9,1.9,0.091,,-1.1,3.7,2.6
7,Grandy Glaze,34,6,439,15.6,0.515,0.482,0,0.309,133,11.2,28,19.9,5.2,1.9,2.2,18.7,18.3,,0.3,1.3,1.6,0.144,,-3.7,3.8,0
8,John Manning,32,0,382,10.8,0.528,0.524,0.065,0.5,79,5.8,9,7.5,3.5,1.6,8.5,19,12.8,,0.1,1,1.1,0.113,,-3.4,7.3,3.9
9,Tanner Lancona,21,0,178,11.7,0.574,0.542,0.389,0.389,45,5.3,13.1,9.3,4.4,1.3,1.7,14.1,14.4,,0.2,0.4,0.6,0.139,,-1,2.3,1.3
10,Mike Crawford,24,0,180,7.1,0.518,0.5,0.488,0.163,44,0.7,8,4.4,10.9,1.3,0,19.2,16.5,,0,0.4,0.4,0.081,,-2.7,0.7,-2
11,Reggie Agbeko,17,2,94,14.4,0.689,0.765,0,0.412,24,7.5,21.2,14.5,4.6,0.6,1,22.8,14.5,,0.1,0.2,0.3,0.136,,-2.1,1.8,-0.2
12,Austin Eagleton,5,0,6,-20.5,,,,,0,0,0,0,0,0,0,100,17.2,,-0.1,0,0,-0.291,,-21.1,3.4,-17.7
13,Joey Lepak,3,0,2,-1.8,0,0,1,0,1,0,0,0,82.9,0,0,0,25.9,,0,0,0,-0.134,,-7.3,-14.1,-21.4
14,Royce Simpson,3,0,1,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.054,,-5.1,3.2,-1.9
