Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Logan Johnson,33,33,1137,20.6,0.536,0.504,0.29,0.381,486,2,15.7,8.8,22.1,2.8,1.2,11.9,24.3,,2.9,2.5,5.4,0.192,,3.4,4.3,7.7
2,Mitchell Saxen,33,33,1031,21.1,0.565,0.546,0.004,0.412,405,12.6,18.9,15.7,11.2,1.5,4.1,15.2,20.9,,2.6,2.3,4.9,0.189,,2.5,3.4,5.9
3,Alex Ducas,33,33,1042,18.1,0.592,0.563,0.628,0.191,365,4.2,12.8,8.5,5.9,1.7,1.4,9.4,19.9,,2.8,2,4.8,0.183,,5.3,2.5,7.8
4,Kyle Bowen,33,33,1100,13.8,0.545,0.538,0.559,0.214,213,8.2,19.2,13.6,8.6,2.3,3,12.6,8.9,,1.8,2.6,4.3,0.158,,1.7,5,6.7
5,Aidan Mahaney,33,24,1013,17.3,0.546,0.527,0.437,0.17,427,0.9,8.5,4.7,14.3,1.9,0.2,10.3,25.9,,2.4,1.8,4.2,0.165,,2.9,2,5
6,Augustas Marciulionis,33,9,500,15.1,0.522,0.454,0.404,0.539,191,2,7.9,4.9,19.9,2.4,1.1,15.3,22.5,,0.9,1,1.9,0.151,,-0.2,3.1,2.9
7,Joshua Jefferson,32,0,266,14.6,0.568,0.539,0.549,0.51,75,5.2,15.8,10.4,11.6,3.5,2.2,22.1,16.5,,0.3,0.7,1,0.146,,0.7,5.6,6.2
8,Harry Wessels,33,0,219,19.6,0.597,0.589,0,0.571,91,17.7,15.7,16.7,8.5,1.1,2.6,20.2,21.9,,0.5,0.4,1,0.177,,-0.5,1.7,1.2
9,Luke Barrett,26,0,255,13.1,0.584,0.576,0.522,0.326,59,7.4,19.5,13.4,2.1,1.5,2.2,14.5,13.1,,0.4,0.5,0.9,0.144,,-0.7,3.4,2.8
10,Chris Howell,26,0,113,1.3,0.329,0.283,0.391,0.261,16,0,12.4,6.1,4.6,3.3,2,21.3,15.6,,-0.2,0.3,0,0.014,,-9,5,-4
