Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Luke Barrett,G,33,33,1203,13.7,0.543,0.458,0.194,318.0,8.2,13.4,10.7,6.6,1.2,1.1,9.4,14.1,2.2,2.4,4.6,0.152,1.8,2.9,4.7,
2.0,Augustas Marciulionis,G,33,33,1153,19.5,0.554,0.371,0.304,500.0,1.3,8.8,5.0,33.2,2.5,0.3,13.8,22.1,3.4,2.3,5.7,0.199,3.9,3.4,7.3,
3.0,Mitchell Saxen,C,33,33,975,22.5,0.543,0.004,0.492,377.0,16.0,15.4,15.7,11.7,2.8,4.7,12.7,19.6,2.3,2.5,4.9,0.2,3.7,4.7,8.3,
4.0,Paulius Murauskas,F,33,33,902,21.3,0.547,0.322,0.328,388.0,10.1,24.4,17.2,9.9,1.5,1.5,10.0,24.0,2.5,2.2,4.7,0.209,3.4,2.7,6.1,
5.0,Jordan Ross,G,33,33,868,13.1,0.465,0.304,0.324,271.0,1.3,12.3,6.7,17.6,1.8,1.1,8.3,18.7,1.3,1.8,3.1,0.141,-0.2,3.7,3.5,
6.0,Mikey Lewis,G,33,0,534,18.0,0.543,0.602,0.119,227.0,2.4,10.2,6.2,8.1,2.6,1.4,9.5,27.5,1.1,1.2,2.3,0.171,4.6,3.3,7.9,
7.0,Harry Wessels,C,32,0,403,20.9,0.638,0.0,0.673,157.0,12.1,19.1,15.5,4.6,1.1,7.6,21.8,21.2,0.8,1.0,1.9,0.186,-0.1,4.7,4.6,
8.0,Ashton Hardaway,F,31,0,311,10.3,0.502,0.656,0.188,68.0,4.1,11.4,7.7,7.0,1.8,2.7,11.4,13.1,0.3,0.7,1.0,0.131,-1.0,3.9,2.9,
9.0,Andrew McKeever,C,19,0,115,25.7,0.597,0.0,0.382,44.0,20.1,20.6,20.4,1.8,1.6,4.6,9.1,19.8,0.3,0.3,0.6,0.212,3.4,1.7,5.1,
10.0,Joshua Dent,G,22,0,83,4.0,0.39,0.647,0.118,15.0,0.0,5.7,2.8,13.8,2.3,0.0,21.8,14.3,-0.1,0.2,0.1,0.046,-3.9,3.3,-0.6,
11.0,Cade Bennett,G,22,0,72,7.6,0.306,0.615,0.538,18.0,0.0,9.9,4.9,37.4,3.5,0.0,26.9,16.0,-0.1,0.2,0.1,0.058,-9.3,1.4,-7.9,
12.0,Kevin Gad,F,14,0,32,15.9,0.6,0.6,0.0,11.0,0.0,18.5,9.1,24.2,0.0,0.0,9.1,17.7,0.1,0.1,0.2,0.191,6.9,5.4,12.3,
,Team Totals,,33,33,6651,,0.538,0.336,0.312,,,,,,,,,,14.3,14.8,29.1,0.175,2.2,3.5,5.7,
