Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Corey Washington,25,22,711,26.1,0.569,0.507,0.257,0.507,363,8,19.4,13.5,5.1,2.6,3.4,7.4,28.1,,2.5,1.6,4.1,0.23,,3.9,1,4.9
2,Latrell Reid,32,32,1050,11.7,0.441,0.388,0.131,0.471,392,2.9,13.5,8,32.1,1.7,0.2,17.8,23.8,,0.2,1.8,2,0.077,,-2.7,-0.7,-3.4
3,Mouhamed Sow,32,25,725,13.5,0.492,0.448,0.2,0.335,185,10.3,15.2,12.7,5.1,2.3,5.8,17.5,15.4,,0.4,1.6,2,0.11,,-2.5,1.7,-0.8
4,Brent Bland,32,20,756,8.4,0.45,0.424,0.735,0.165,163,3.1,11.3,7,10,3.3,0.6,14.1,14.4,,0.2,1.5,1.7,0.09,,-4.2,2.2,-2
5,Armoni Zeigler,32,10,609,14.7,0.473,0.451,0.339,0.26,202,6.2,9.8,8,14.7,2.9,3.1,12.6,20.7,,0.5,1.2,1.7,0.111,,0.5,1.8,2.3
6,Michael Houge,24,10,418,19.7,0.511,0.467,0.195,0.367,183,11.5,24.9,17.9,0.6,1,4.3,10,27,,0.7,0.9,1.6,0.156,,0.6,-0.3,0.4
7,Stephon Roberts,31,7,406,14.3,0.664,0.643,0.057,1.429,86,11.9,14.2,13,2.5,2.3,9.4,24.4,9.8,,0.5,0.9,1.5,0.148,,-5.1,3.4,-1.7
8,Marcus Randolph,31,18,630,8.6,0.544,0.519,0.615,0.286,175,1.8,5.8,3.7,7.8,1.2,0.4,15.7,17.6,,0.5,0.8,1.4,0.087,,-2.2,-0.6,-2.7
9,Roy Clarke,31,13,784,9.5,0.461,0.388,0.28,0.45,232,4.4,10.4,7.3,15.5,1.8,1.1,19.8,19.7,,0,1.3,1.3,0.066,,-3.2,-0.3,-3.5
10,Elijah Wood,24,0,174,12.6,0.535,0.535,0.791,0.047,43,5.1,10.5,7.7,7.7,3.9,1.4,12,14.7,,0.2,0.4,0.6,0.131,,-1.7,2.4,0.7
11,Elijah Perkins,20,3,162,2.1,0.394,0.31,0.103,0.379,28,2.1,9.8,5.8,8.8,2.3,0.7,24.3,14.3,,-0.2,0.3,0.1,0.024,,-10,1.2,-8.8
