Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Achor Achor,32,32,718,31.2,0.663,0.64,0.184,0.543,465,11.4,18.6,15.1,13.4,2,9.3,14.1,29.3,,3.1,1.5,4.6,0.256,,5.1,2,7.1
2,Rylan Jones,34,33,878,18.1,0.578,0.554,0.581,0.25,374,2.1,10.6,6.6,29.9,3.2,0.4,15.5,17.7,,2.4,1.4,3.8,0.173,,2.9,1.2,4.1
3,Jaden Campbell,32,24,726,20.4,0.693,0.657,0.505,0.407,300,2.9,12.7,8,7,2.1,2.6,11.1,18.7,,2.3,1.2,3.4,0.189,,5.2,0.8,6
4,A.J. Staton-McCray,30,27,633,20.7,0.561,0.513,0.326,0.315,317,4.8,18.8,12.1,10.4,4.2,2.5,13.4,26.7,,1.2,1.5,2.7,0.17,,0.6,1.2,1.7
5,Garrett Hicks,34,1,636,14.7,0.569,0.54,0.486,0.226,219,2.8,8.3,5.6,13.1,2.6,1.1,10.5,16.3,,1.2,0.9,2.2,0.137,,0.8,0.6,1.3
6,Dallas Graziani,34,34,634,13.4,0.6,0.592,0.515,0.262,173,2.6,5.4,4.1,20.4,4.3,0,23.2,11.2,,0.9,1,2,0.126,,-0.4,2.1,1.7
7,Jermaine Marshall,21,16,389,23.4,0.6,0.584,0.447,0.391,219,10.2,20.4,15.6,14.2,3.9,2,16.2,27.7,,1,0.9,1.9,0.197,,2.4,1.1,3.5
8,Nathan Johnson,34,0,575,11.9,0.605,0.574,0.582,0.631,171,1.6,12.7,7.4,5.6,1.5,0.6,13.1,15,,0.9,0.8,1.7,0.117,,0,-0.5,-0.5
9,Riley Allenspach,33,2,401,18.2,0.575,0.556,0.185,0.296,173,12.6,15.8,14.2,5.7,1.3,1.4,9.9,20.1,,1,0.6,1.6,0.162,,0.5,-2.3,-1.8
10,Chandler Leopard,30,0,234,13,0.703,0.692,0.967,0.117,72,2.5,6,4.3,4.7,0.9,0,10,14.2,,0.6,0.2,0.8,0.133,,0.1,-2.3,-2.3
11,Lukas Walls,34,1,314,11.7,0.607,0.585,0.366,0.244,101,3,10.6,7,8.2,2.2,1.1,19.4,17.1,,0.3,0.5,0.8,0.103,,-1.6,-0.8,-2.4
12,Josh Holloway,34,0,439,9.4,0.463,0.437,0.326,0.37,174,2.4,8.6,5.6,25.9,3.2,0,26.4,23.2,,-0.2,0.7,0.5,0.044,,-4,-1.7,-5.7
13,Zach Loveday,22,0,148,17.9,0.65,0.648,0.136,0.25,59,10.3,18.1,14.4,7.2,0.4,9.9,19.6,19.5,,0.3,0.3,0.5,0.148,,-4,0.1,-3.9
14,Paulie Stramaglia,6,0,33,25.8,0.51,0.333,0,1.333,17,28.4,13,20.4,46.1,3.3,0,16.9,8.4,,0.2,0.1,0.2,0.301,,1.5,-2.3,-0.8
15,Grayson Walters,7,0,14,33.7,0.559,0.563,0.375,0.25,10,33.4,0,16,0,7.7,0,10.1,33.6,,0.1,0,0.1,0.229,,-13.1,-12.5,-25.7
16,Joshua Hughes,6,0,8,0.6,1,1,0,0,2,0,0,0,19.9,0,0,50,11.8,,0,0,0,0.052,,-18.5,-6.3,-24.8
17,Owen LaRocca,7,0,14,-1.5,0.36,0.25,1,0.333,4,0,0,0,0,0,0,12.6,26.8,,0,0,0,-0.064,,-6.8,-8.6,-15.4
18,Thomas Kizer,5,0,7,-39.3,0,0,0.333,0,0,0,0,0,0,0,0,0,40.5,,-0.1,0,-0.1,-0.518,,-10.3,-1.4,-11.7
