Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jordan Schakel,27,26,781,23.7,0.664,0.629,0.645,0.251,325,3.4,14.4,9,6.9,2.1,0.7,6.8,20.7,,3.2,1.7,4.9,0.251,,7.6,2.3,9.9
2,Matt Mitchell,24,23,710,22.6,0.579,0.498,0.336,0.611,346,3.4,18.3,10.9,13,3,1.2,14.9,27.5,,2,1.8,3.9,0.218,,4.4,3.1,7.6
3,Nathan Mensah,27,26,577,22.2,0.591,0.577,0.02,0.55,218,11,22.7,16.9,5.6,1.5,9.3,14.5,19.8,,1.5,1.6,3.1,0.212,,1.6,3.7,5.3
4,Terell Gomez,27,15,660,16.4,0.581,0.566,0.612,0.087,224,0.2,7.1,3.7,18.7,2.3,0,11.3,18.1,,1.6,1.3,2.8,0.171,,3.2,2.1,5.4
5,Trey Pulliam,27,26,704,13.1,0.455,0.438,0.225,0.15,226,2.2,11.3,6.8,25.2,3,0,16.1,18.9,,0.6,1.6,2.2,0.126,,-0.9,2.9,2
6,Joshua Tomaic,27,2,422,16,0.562,0.532,0.242,0.379,136,11.4,14.4,12.9,7.2,2.4,4,16.4,16.5,,0.8,1,1.9,0.177,,-0.2,3.1,2.8
7,Adam Seiko,26,7,523,9.6,0.533,0.5,0.832,0.242,116,1.4,10.5,6,12,1.7,0,15.2,12.4,,0.6,1,1.6,0.122,,0.3,2.4,2.7
8,Keshad Johnson,23,0,314,17.3,0.52,0.507,0.3,0.557,100,9.2,22,15.7,9.5,0.9,5.8,11.1,16.5,,0.6,0.8,1.4,0.178,,1.5,2.2,3.7
9,Lamont Butler,27,2,336,13.8,0.509,0.464,0.292,0.479,127,1.4,14.6,8.1,23.4,4.1,0.4,22.9,23.7,,0.2,0.9,1.1,0.13,,-3.5,3.6,0.1
10,Aguek Arop,20,8,277,13.7,0.502,0.5,0.191,0.456,94,13,6.8,9.8,9,3,1.5,17.9,18.9,,0.4,0.6,1,0.137,,-1.2,2.4,1.2
11,Keith Dinwiddie,6,0,43,31,0.589,0.589,0.75,0,26,2.8,2.7,2.8,19.3,2.8,0,3.4,35.1,,0.2,0.1,0.3,0.253,,11.8,2.2,14.1
12,Cade Alger,7,0,16,39,0.776,0.833,0,0.833,9,15,0,7.4,0,0,0,10.7,30.5,,0.1,0,0.1,0.29,,12.4,-1.5,10.9
13,Jared Barnett,7,0,16,19.3,0.667,0.667,0,0,5,0,14.6,7.4,36.4,11.2,0,50,19.5,,0,0.1,0.1,0.136,,-3.1,16.4,13.3
14,Triston Broughton,4,0,3,14.1,,,,,1,0,0,0,52,0,0,,0,,0,0,0,0.181,,7.8,4.5,12.3
15,Tyler Broughton,4,0,3,-15.8,0,0,0,0,0,0,0,0,0,0,0,0,17.4,,0,0,0,-0.202,,-21.9,-8.8,-30.7
16,Che Evans,9,0,40,-2.2,0.236,0.219,0.5,0.125,9,3,11.7,7.4,8.8,4.5,0,15,26,,-0.2,0.1,-0.1,-0.065,,-11.9,0.7,-11.3
