Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM,Player-additional
1,Jaedon Ledee,33,33,1081,29.7,0.624,0.576,0.092,0.678,648,11.6,17.5,14.6,10,2.1,2,12.1,29.8,,4.6,2.2,6.8,0.252,,8.3,2.5,10.8,jaedon-ledee-1
2,Micah Parrish,34,33,939,14.9,0.505,0.472,0.526,0.261,319,4.1,12.6,8.4,12.8,2.4,2.1,7.7,18.9,,1.6,1.8,3.4,0.145,,2.1,3.5,5.7,micah-parrish-1
3,Reese Dixon-Waters,34,23,894,14.4,0.544,0.495,0.43,0.246,310,1.9,14.1,8.1,9.1,1.3,1.1,9.9,20,,1.6,1.5,3,0.135,,1.8,1.7,3.5,reese-waters-1
4,Lamont Butler,34,34,935,13.6,0.488,0.472,0.351,0.298,323,2.3,8.4,5.4,20.8,3.2,0.9,13.7,20.3,,0.9,1.7,2.6,0.113,,0,3.6,3.6,lamont-butler-1
5,Darrion Trammell,32,15,884,13,0.503,0.456,0.491,0.275,272,2,7.9,5,22.1,2.6,0.4,14.6,16.6,,1.2,1.4,2.6,0.118,,0.6,2.9,3.5,darrion-trammell-1
6,Elijah Saunders,34,21,679,13.6,0.542,0.514,0.605,0.13,206,6.5,14.6,10.6,8.2,1.5,1.8,12.1,16.7,,1,1.2,2.2,0.131,,1.7,2.2,3.8,elijah-saunders-1
7,Jay Pal,34,10,587,15.3,0.557,0.504,0.264,0.616,191,9.6,18,13.9,8.9,1,6.8,20.2,17.5,,0.7,1.2,1.9,0.132,,0.2,3.5,3.7,jay-pal-1
8,Miles Byrd,31,0,435,13.8,0.499,0.455,0.613,0.234,123,3.2,17.6,10.5,12.3,3.4,5.3,18,17.6,,0.2,1.1,1.3,0.118,,1,6,7,miles-byrd-1
9,Miles Heide,34,1,298,15.1,0.605,0.646,0.063,0.396,77,15.5,14.3,14.9,1.9,1.4,7.3,20.8,12.3,,0.4,0.6,1,0.134,,-1.5,2.9,1.5,miles-heide-1
10,Demarshay Johnson,14,0,72,5.4,0.32,0.429,0,0.714,8,8,14,11.1,2.3,2.5,6.7,24.2,8.7,,-0.1,0.2,0.1,0.049,,-7.3,2.2,-5.1,demarshay-johnsonjr-1
11,Cam Lawin,7,0,18,9.2,0.432,0.417,0.667,0.333,5,0,6.2,3.2,10.6,0,0,0,19.6,,0,0,0,0.082,,-8.2,0,-8.2,cam-lawin-1
12,Desai Lopez,3,0,8,-11.2,0,0,0,0,0,0,14,7.1,0,0,0,50,12.7,,0,0,0,-0.163,,-2.4,2.5,0.1,desai-lopez-1
13,Cade Alger,7,0,17,-8.2,0.168,0,0.4,0.4,3,6.8,13.2,10,9.3,0,0,25.2,23.8,,-0.1,0,-0.1,-0.152,,-15.7,-1.1,-16.8,cade-alger-1
14,BJ Davis,10,0,62,-5.2,0.245,0.115,0.846,0.538,8,0,9.1,4.6,2.6,1.9,2,19.7,16.7,,-0.2,0.1,-0.1,-0.053,,-16.1,-1.1,-17.2,bj-davis-1
15,Ryan Schwarz,5,0,16,-22.5,0,0,0.8,0,0,0,21.1,10.7,0,0,0,37.5,25.4,,-0.2,0,-0.1,-0.343,,-15.6,-1.4,-16.9,ryan-schwarz-1
