Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Nick Boyd,G,30,30,897,18.4,0.543,0.449,0.394,412.0,1.8,12.4,7.3,27.2,2.0,0.0,12.7,24.8,2.0,1.7,3.7,0.167,4.1,2.3,6.4,
2.0,Miles Byrd,G,29,29,878,20.0,0.521,0.564,0.305,364.0,3.6,13.1,8.5,18.5,4.3,4.9,11.2,23.4,1.6,2.3,3.9,0.176,4.5,5.9,10.3,
3.0,BJ Davis,G,30,30,718,15.5,0.552,0.521,0.247,245.0,2.3,11.7,7.1,9.7,3.9,0.8,10.6,19.9,1.1,1.7,2.7,0.153,0.7,4.4,5.1,
4.0,Jared Coleman-Jones,F,28,27,717,12.7,0.507,0.286,0.326,205.0,6.4,16.1,11.5,7.4,1.4,3.7,13.3,17.0,0.6,1.5,2.1,0.116,0.5,2.7,3.2,
5.0,Magoon Gwath,F,25,25,622,18.6,0.577,0.265,0.284,205.0,8.9,14.9,12.0,5.8,1.0,14.7,16.8,18.6,0.8,1.5,2.2,0.144,1.1,4.4,5.5,
6.0,Taj DeGourville,G,30,0,571,11.6,0.488,0.476,0.294,173.0,3.3,13.9,8.8,18.2,2.0,2.4,18.5,18.3,0.3,1.2,1.4,0.101,-0.9,2.7,1.8,
7.0,Wayne McKinney III,G,30,1,555,9.2,0.464,0.378,0.239,169.0,2.1,6.9,4.6,7.1,1.4,1.5,7.8,20.5,0.2,0.9,1.1,0.08,-2.8,1.2,-1.5,
8.0,Miles Heide,F,29,8,479,14.0,0.674,0.068,0.365,123.0,11.8,13.1,12.5,6.4,1.3,2.3,21.7,12.1,0.7,0.9,1.6,0.137,-0.3,2.4,2.1,
9.0,Pharaoh Compton,F,29,0,388,17.3,0.603,0.0,0.462,136.0,6.4,14.5,10.6,6.8,2.8,5.3,16.2,20.8,0.5,0.9,1.4,0.145,-1.2,4.4,3.2,
10.0,Kimo Ferrari,G,20,0,120,15.7,0.668,0.826,0.087,33.0,7.9,9.2,8.6,10.8,2.0,0.0,4.0,10.9,0.3,0.2,0.6,0.186,0.7,2.1,2.8,
11.0,Demarshay Johnson Jr.,F,14,0,65,12.5,0.684,0.0,0.273,16.0,10.9,6.8,8.8,0.0,0.9,10.6,24.4,13.2,0.1,0.1,0.2,0.112,-5.3,4.4,-0.9,
12.0,Ryan Schwarz,G,6,0,14,9.8,0.404,1.0,0.5,5.0,8.4,0.0,4.1,12.7,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.088,1.3,1.4,2.7,
13.0,Cam Lawin,G,5,0,13,-28.3,0.0,0.75,0.125,1.0,18.2,17.0,17.5,0.0,0.0,0.0,10.6,38.1,-0.2,0.0,-0.1,-0.428,-29.6,-7.2,-36.8,
14.0,Desai Lopez,G,5,0,12,-11.1,0.0,0.25,0.0,1.0,9.8,9.2,9.5,0.0,0.0,0.0,0.0,17.4,-0.1,0.0,0.0,-0.155,-14.5,-2.3,-16.8,
,Team Totals,,30,30,6049,,0.535,0.4,0.314,,,,,,,,,,7.9,12.9,20.9,0.138,0.9,3.4,4.3,
