Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jamaree Bouyea,33,33,1185,21.6,0.568,0.545,0.418,0.214,545,1.5,14.3,8,21.5,2.9,2.4,13.7,23.2,,3.2,2.4,5.6,0.189,,5.1,3.7,8.8
2,Yauhen Massalski,32,32,600,26.4,0.59,0.599,0.029,0.401,439,14.3,24.8,19.6,12.2,1.1,8.1,17.4,24.9,,2.4,2,4.4,0.205,,4,3.4,7.3
3,Khalil Shabazz,33,33,977,17.5,0.524,0.488,0.555,0.209,435,1.9,10.2,6.1,13.7,3.4,0,10.9,24.9,,2.1,1.8,3.9,0.158,,2.2,2.8,5
4,Patrick Tape,33,33,670,16.2,0.651,0.6,0.078,0.822,197,11.2,13.4,12.3,9,2.2,2.8,22.3,11.8,,1.5,1.3,2.8,0.167,,1,3.3,4.3
5,Julian Rishwain,33,0,629,15.9,0.625,0.603,0.701,0.247,217,3.3,14.3,8.8,6.7,1.7,0.3,12.6,17.3,,1.5,1,2.6,0.163,,3.2,1.7,4.9
6,Gabe Stefanini,33,33,812,13.9,0.559,0.527,0.537,0.227,308,2,10,6,15.1,2.5,0.1,19.6,21.2,,1.1,1.3,2.5,0.121,,0.2,1.7,1.9
7,Josh Kunen,33,1,643,9.7,0.526,0.513,0.684,0.298,142,4.4,14.1,9.3,6.3,1.8,1.7,15.6,11.7,,0.6,1.1,1.7,0.109,,-0.7,2.9,2.3
8,Zane Meeks,26,0,356,12.1,0.475,0.455,0.793,0.149,125,7.1,10.7,8.9,8.3,0.5,2.5,7.2,19.2,,0.6,0.5,1.1,0.125,,1.1,0,1.1
9,Volodymyr Markovetskyy,25,0,164,11.9,0.63,0.63,0,0.741,44,7.7,16.4,12.1,1,1,3.7,23.2,14.2,,0.2,0.3,0.5,0.118,,-2.6,1.9,-0.7
10,Ndewedo Newbury,11,0,23,46.4,0.925,1.083,0.167,1.5,15,9.9,14.6,12.3,10.1,2.5,8.7,22.6,28.3,,0.1,0.1,0.2,0.348,,9,5.5,14.6
11,Justin Bieker,10,0,36,8.8,0.427,0.5,0.429,0.714,8,3.2,18.7,11,9.1,1.6,0,9.6,14.1,,0,0.1,0.1,0.082,,-8.8,-2.3,-11.2
12,Dzmitry Ryuny,19,0,186,3.4,0.357,0.31,0.786,0.214,32,3.1,15.1,9.1,0.8,2.1,1.1,17.8,14.8,,-0.2,0.3,0.1,0.022,,-4.6,1.4,-3.2
13,Isaiah Hawthorne,7,0,37,6.7,0.336,0.333,0.667,0.333,9,6.2,6.1,6.1,13.3,0,5.4,8.8,15.1,,0,0.1,0,0.053,,-2.5,1,-1.5
14,Jonas Visser,5,0,10,12.8,1,1,0,0,3,22.8,22.4,22.6,0,0,0,50,9.8,,0,0,0,0.123,,-6.6,-3.2,-9.8
15,Bryce Whitaker,2,0,3,35.9,0.256,0,0,2,1,0,0,0,0,37.6,0,0,31.8,,0,0,0,0.213,,-6.4,34.5,28
