Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jared Rhoden,30,29,1008,18.4,0.492,0.437,0.266,0.321,443,4.1,17.5,10.8,7.8,2.1,2,9.8,26.3,,1.8,1.9,3.7,0.145,,2.9,2.1,5.1
2,Myles Cale,28,28,802,15.5,0.519,0.498,0.376,0.314,259,4.5,10.4,7.4,7,3.1,0.3,9.6,17.9,,1.4,1.3,2.7,0.135,,1.3,3.9,5.2
3,Alexis Yetna,30,17,725,17.5,0.498,0.449,0.361,0.352,266,12,22.5,17.3,6.4,1.4,1.4,13.4,19.8,,1.3,1.4,2.6,0.145,,2.8,1.2,4.1
4,Kadary Richmond,31,25,802,16.4,0.48,0.438,0.214,0.276,320,2.7,12.4,7.6,31.4,3.6,1.4,20.7,22.5,,0.8,1.5,2.3,0.117,,0.8,3.5,4.4
5,Bryce Aiken,15,6,300,24.7,0.602,0.531,0.476,0.559,209,1.7,7.1,4.4,22,3,0,12.1,25.8,,1.6,0.6,2.2,0.224,,6.6,3.1,9.6
6,Tray Jackson,31,17,555,16,0.617,0.583,0.522,0.242,193,4.5,16.7,10.7,4.3,1.3,1.3,16.3,18.6,,1.2,0.9,2.1,0.148,,1,1.6,2.6
7,Tyrese Samuel,28,2,527,19,0.535,0.506,0.175,0.361,204,12.3,18,15.2,1.6,1.7,4.7,16.7,21.8,,0.8,1,1.8,0.137,,-0.1,1.6,1.4
8,Jamir Harris,31,3,693,10.7,0.529,0.512,0.715,0.136,217,1.4,4.2,2.8,7.8,1.3,0.1,12.7,18.6,,0.9,0.7,1.6,0.094,,0.6,0.8,1.4
9,Ike Obiagu,28,26,589,14.3,0.586,0.549,0,0.431,93,10.9,9.8,10.3,1.4,0.4,15.9,27.2,7.1,,0.5,1.1,1.6,0.11,,-0.7,6.1,5.4
10,Jo Smith,10,0,18,41.9,0.719,0.667,0,0.333,9,18.1,17.8,17.9,0,0,17.1,0,19,,0.1,0,0.2,0.348,,8.6,2.9,11.5
11,Sylwester Granda,5,0,0,25.9,0.719,0.667,0,0.333,5,0,8.2,4.1,15.9,8.9,0,0,13.2,,0.1,0,0.1,0.294,,-2.4,16.8,14.3
12,Tyler Powell,11,0,38,10.3,1,1,1,0,5,0,19.7,9.9,4.5,1.5,0,25,5.2,,0.1,0.1,0.1,0.125,,-0.8,4.4,3.7
13,Jahari Long,5,2,0,3.5,0.237,0.214,0.714,0.429,10,3.5,5.2,4.3,28.6,1.9,0,37.2,10.7,,-0.1,0.1,0,0.005,,-4.8,-0.3,-5.2
14,Brandon Weston,1,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
