Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Sindarius Thornwell,31,31,1051,30.3,0.59,0.51,0.337,0.59,637,8.1,16.1,12,19.3,3.6,3.4,11.9,29.5,,4.4,2.8,7.2,0.274,,9.5,6.7,16.2
2,Duane Notice,37,37,1210,12.5,0.529,0.503,0.65,0.305,368,2.8,6.1,4.4,13.9,1.7,0.7,12.7,16.4,,1.7,2.1,3.9,0.128,,3.5,3.1,6.5
3,Chris Silva,37,37,775,22.5,0.594,0.524,0.004,0.768,362,12,21.3,16.5,3.7,1.6,7.7,17.8,24.3,,1.8,2.1,3.9,0.202,,0.4,6,6.4
4,PJ Dozier,36,36,1033,17.5,0.472,0.452,0.301,0.275,488,4.1,15.3,9.5,22.8,3.3,1.1,12.8,28.7,,1,2.6,3.6,0.139,,2.2,4.9,7.2
5,Maik Kotsar,37,33,886,10.5,0.482,0.49,0,0.268,223,8.9,13.8,11.3,5.8,1.7,1.9,16.5,14.7,,0.4,1.9,2.3,0.104,,-1.1,5.2,4.1
6,Justin McKie,37,7,615,11.2,0.486,0.473,0.49,0.161,162,4.1,10.2,7,14.4,1.9,0.6,12.1,14.4,,0.6,1.2,1.9,0.121,,1.3,3.6,4.9
7,Rakym Felder,36,1,538,12.4,0.549,0.52,0.533,0.441,192,1.4,10.1,5.6,17.5,2.2,0.9,21.2,20.9,,0.4,1.1,1.5,0.115,,1,2.8,3.8
8,Hassani Gravett,35,3,594,4.7,0.382,0.35,0.519,0.233,131,3,8.1,5.4,15.1,1.3,0.2,19.9,15.2,,-0.4,1,0.7,0.046,,-2.3,2.6,0.3
9,TeMarcus Blanton,21,0,123,9.5,0.47,0.462,0.462,0.308,28,7.1,13.4,10.2,3.1,2.8,0,16.8,14.2,,0,0.3,0.3,0.098,,-1.2,3.3,2.1
10,Sedee Keita,29,0,279,3.5,0.304,0.273,0.023,0.409,40,7.9,16.1,11.8,1.9,1.4,4.6,22.2,11.8,,-0.4,0.6,0.3,0.039,,-6.3,5.9,-0.4
11,Khadim Gueye,28,0,208,0.2,0.348,0.25,0,0.667,15,4.2,10.2,7.1,2.4,0.5,4,38.8,6,,-0.2,0.4,0.2,0.041,,-5,6.1,1.1
12,Jarrell Holliman,15,0,89,2.1,0.447,0.375,0,0.25,10,4.9,7.9,6.4,3.9,0,1.3,18.3,6,,0,0.1,0.2,0.073,,-2.8,3.6,0.8
13,Ran Tut,12,0,73,11.7,0.4,0.4,0.067,0,13,6,17.8,11.7,5.2,2.3,4.8,6.3,10.7,,0,0.2,0.2,0.114,,-2.7,7.1,4.3
14,Evan Hinson,8,0,33,15.2,0.503,0.438,0.625,0.25,9,6.6,10.7,8.6,5.8,3.5,0,0,13.2,,0.1,0.1,0.1,0.176,,3.1,3.6,6.7
15,Tommy Corchiani,5,0,11,-10,,,,,0,0,10.7,5.2,0,0,0,100,4.4,,0,0,0,-0.023,,-9,3.7,-5.4
16,Christian Schmitt,5,0,7,-26.1,0,0,1,0,0,0,0,0,0,0,0,66.7,20.9,,-0.1,0,-0.1,-0.331,,-19.5,1.5,-17.9
