Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Mike Daum,34,3,706,34.5,0.656,0.6,0.209,0.566,476,11.7,21.6,16.7,9.5,1.4,1.7,12.4,31.9,,3.9,1.3,5.2,0.292,,7,-0.8,6.2
2,Deondre Parks,33,33,1069,17.3,0.542,0.488,0.387,0.358,454,2.7,13.3,8.1,9.5,1.4,0.7,11,23.9,,2.3,1.6,3.9,0.146,,1.5,-0.2,1.3
3,George Marshall,28,27,956,16.7,0.537,0.497,0.506,0.308,391,0.2,11,5.7,16,1.3,0.2,8.7,22.2,,2.3,1.3,3.6,0.151,,3,-0.7,2.3
4,Reed Tellinghuisen,34,34,1018,11.3,0.528,0.514,0.629,0.259,302,5.4,12.9,9.2,7.2,0.6,1.5,15.4,16.9,,1.1,1.4,2.5,0.099,,1,0.5,1.5
5,Keaton Moffitt,33,11,768,13.6,0.539,0.521,0.083,0.389,215,6.5,14.8,10.7,15.4,1.9,0.7,19,13.7,,1.1,1.3,2.3,0.121,,0.4,2.6,3
6,Ian Theisen,34,34,588,15.7,0.625,0.578,0.237,0.467,202,7.7,14.9,11.4,5.8,0.6,3.8,17.5,17,,1.3,0.9,2.2,0.15,,0.8,1.5,2.2
7,Jake Bittle,26,26,664,14.2,0.516,0.465,0.386,0.332,238,6.3,14.2,10.3,15.6,2.4,0.5,19.6,20,,0.8,1.1,1.9,0.114,,0.7,1.8,2.6
8,Tevin King,34,2,485,10.4,0.486,0.432,0.147,0.768,134,4.6,9.7,7.2,9.9,3.2,0.7,19.8,16.7,,0.2,0.9,1,0.086,,-2,2.2,0.2
9,Connor Devine,26,0,215,18.1,0.624,0.641,0,0.795,69,10.3,12,11.2,6.2,0.5,7.5,11.5,14.1,,0.6,0.4,0.9,0.172,,1,3.5,4.5
10,Lane Severyn,27,0,273,7.8,0.524,0.5,0.69,0.19,56,6.4,15.2,10.9,8.8,0.9,1.2,24.7,11.1,,0.2,0.4,0.6,0.083,,-0.7,1.2,0.5
11,Beau Brown,1,0,0,,,,,,,,,,,,,,,,0,0,0,,,-3.8,1.3,-2.5
12,Logan Doyle,6,0,15,8.5,0.297,0.286,0,0.429,5,7.8,44.9,26.7,0,3.9,0,10.6,31.4,,-0.1,0,0,-0.014,,-17.3,-6,-23.3
13,Skyler Flatten,1,0,0,,,,,,,,,,,,,,,,0,0,0,,,-3.8,1.3,-2.5
14,Cory Jacobsen,9,0,43,-4.7,0.112,0,1,0.25,2,0,2.6,1.3,3.6,1.4,0,10.1,11.6,,-0.1,0,-0.1,-0.067,,-6.8,-1,-7.8
