Rk,Player▲,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Luke Appel,34,1,595,21.6,0.638,0.621,0.067,0.362,303,5.7,18.5,12.7,13.5,0.5,2.2,16,24.8,,1.9,0.7,2.6,0.173,,1,-0.5,0.5
2,Alex Arians,34,34,892,14.2,0.618,0.571,0.368,0.316,273,0.7,15.6,8.9,11.7,1.6,0.9,16.1,14.7,,1.7,1,2.8,0.124,,0.4,0.2,0.6
3,Matt Dentlinger,34,14,521,18.9,0.655,0.615,0.008,0.451,194,6.6,14.3,10.8,7,0.7,4.2,11.9,16.3,,1.6,0.6,2.2,0.169,,1,0.1,1.1
4,Charlie Easley,34,23,852,16.8,0.672,0.658,0.516,0.217,266,4.2,11.2,8,7.6,2.5,1.2,11.4,13.5,,2.3,1,3.3,0.156,,2.5,0.5,3
5,Aaron Fiegen,12,0,41,17.7,0.667,0.667,0,0,15,6.4,18.8,13.1,8.4,2.7,0,25,19.7,,0.1,0.1,0.1,0.114,,1.3,1.9,3.2
6,Noah Freidel,17,9,395,20.6,0.582,0.558,0.586,0.315,214,2.7,9.2,6.2,8.4,1.1,1.7,11.1,29.8,,1.1,0.4,1.4,0.146,,3.9,-2.1,1.8
7,Jaylon Gentry,12,0,43,19,0.605,0.605,0.947,0,21,0,5.1,2.8,15.8,2.6,0,13.6,25.8,,0.1,0,0.2,0.141,,-4.6,-5.3,-9.9
8,Zeke Mayo,34,20,914,15.7,0.61,0.579,0.516,0.175,326,2.6,9.7,6.5,12,1.6,0.1,13.1,16.9,,2.2,0.8,3,0.133,,2,-0.9,1.1
9,Matthew Mims,33,2,520,12.5,0.705,0.689,0.796,0.194,135,0.8,7.8,4.6,6.5,1.4,0.2,14.4,12.1,,1.1,0.4,1.5,0.115,,0.8,-1,-0.2
10,Baylor Scheierman,34,34,1124,25.5,0.652,0.622,0.463,0.326,572,2,24.2,14.1,22.7,2.3,0.5,13.5,21.8,,4.7,1.7,6.4,0.228,,6.3,1.3,7.5
11,Douglas Wilson,33,33,817,28.7,0.609,0.577,0.014,0.583,547,12.9,13.9,13.4,11.6,1.8,2.5,13.5,31.9,,3.6,1,4.7,0.229,,3.2,-1,2.1
12,David Wingett,16,0,111,22,0.593,0.6,0.771,0.229,51,9.5,15.8,12.9,15.7,3,4.9,17.1,21.2,,0.3,0.2,0.5,0.182,,0.4,0.3,0.7
