Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Phillip Russell,33,33,1068,20.2,0.558,0.49,0.503,0.474,617,2.5,7.9,5.1,31.4,2.5,0.3,15,28.4,,3,1.3,4.2,0.159,,2.2,-1.5,0.7
2,Chris Harris,34,32,1078,15.5,0.518,0.444,0.469,0.526,489,1.6,15.8,8.5,11.9,1.7,0.5,11.9,25.4,,1.6,1.3,2.9,0.108,,0.7,-1.5,-0.8
3,Nate Johnson,35,35,660,16.2,0.642,0.649,0.007,0.399,224,10.5,11.3,10.9,6.3,0.8,5.1,15.4,15.1,,1.4,0.8,2.3,0.137,,-2,-0.5,-2.6
4,Dylan Branson,31,26,752,11.9,0.568,0.538,0.453,0.352,222,4.3,17.1,10.6,13.9,2,0.9,20.2,14.8,,0.8,1.1,1.9,0.101,,-2.2,-0.1,-2.3
5,Israel Barnes,27,6,756,12.8,0.502,0.498,0.428,0.171,264,4.7,8.2,6.4,9.4,1.4,1.2,7.6,19.1,,0.9,0.7,1.7,0.09,,-0.6,-1.9,-2.5
6,Josh Earley,31,0,529,17.5,0.58,0.586,0,0.345,207,8.9,25,16.8,0.8,0.4,1.4,12.5,20.9,,0.9,0.7,1.6,0.118,,-0.9,-2.7,-3.6
7,Kobe Clark,19,15,571,13.2,0.435,0.417,0.364,0.205,162,9.2,24.2,16.5,15.4,2.7,4.4,19.9,15.2,,0.2,1.1,1.3,0.089,,-2.1,1.8,-0.3
8,Adam Larson,33,3,446,13.2,0.585,0.577,0.762,0.177,135,2.3,12.6,7.3,1.7,0.6,2.9,4.7,15.9,,0.8,0.5,1.3,0.115,,0.8,-1.4,-0.6
9,Aquan Smart,31,25,775,9.3,0.478,0.413,0.343,0.448,245,2,12.5,7.2,15.7,3.4,1.6,23.5,19.7,,-0.3,1.2,1,0.05,,-5.2,0.5,-4.7
10,Evan Eursher,24,0,209,7.2,0.473,0.432,0.75,0.273,44,2.1,9.5,5.7,4.1,2.3,0.5,13.9,13.2,,0,0.3,0.3,0.053,,-2.8,0,-2.8
11,Josh Mitchell,16,0,100,12.8,0.637,0.667,0,0.571,31,7.8,14,10.9,3.9,1.1,3.3,20.8,16.1,,0.1,0.1,0.3,0.102,,-9.1,-1.2,-10.3
12,Mason Hanback,9,0,49,14.7,0.863,0.889,0,0.333,12,0,7.2,3.5,0,0,6.7,16.1,12.1,,0.1,0,0.2,0.124,,-2.8,0,-2.8
13,Tevin Gowins,17,0,134,4.1,0.613,0.618,0.412,0.118,22,4.2,7.9,6,5,2,0,38,10.3,,-0.1,0.1,0.1,0.028,,-7,-0.6,-7.6
