Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jordan McLaughlin,34,34,1100,19.3,0.58,0.552,0.384,0.299,474,1.7,10.2,6.1,25.9,2.8,0.4,17.1,20.5,,2.5,1.4,4,0.144,,5.2,2,7.1
2,Nikola Jovanovic,34,34,877,19.8,0.565,0.536,0.044,0.51,381,9.2,19,14.3,2.8,0.7,2.9,11.4,22.3,,2,1.2,3.2,0.146,,1,0.5,1.4
3,Julian Jacobs,31,31,960,18,0.541,0.498,0.168,0.456,417,3.6,12.6,8.3,30.3,2.2,1.3,19.9,20.6,,1.9,1.3,3.1,0.131,,3.3,2.8,6.1
4,Elijah Stewart,34,18,897,15.1,0.575,0.554,0.538,0.231,299,3.2,11,7.3,7.2,1.3,2.7,9.1,16.8,,1.8,1,2.9,0.128,,4,2,6.1
5,Bennie Boatwright,33,32,805,16.9,0.531,0.492,0.544,0.336,355,6.9,15.2,11.2,7.5,0.9,3.1,11.2,23.6,,1.6,1,2.6,0.132,,3.5,0.9,4.4
6,Katin Reinhardt,34,18,913,15.6,0.553,0.535,0.489,0.14,345,2.7,8.1,5.5,9.5,2.1,0.5,12.1,20.7,,1.5,1,2.5,0.108,,3.6,0.7,4.4
7,Chimezie Metu,34,2,628,16.7,0.522,0.518,0.006,0.471,217,9.5,11.1,10.3,5,1.7,8.2,14.7,18.5,,0.7,1,1.7,0.107,,0,5.5,5.5
8,Darion Clark,26,0,289,13.6,0.458,0.448,0,0.552,85,16.4,26.2,21.5,4.5,1,3.6,23.1,15.6,,0.1,0.5,0.6,0.086,,-2.2,2.8,0.7
9,Malik Marquetti,27,0,198,12.7,0.465,0.427,0.417,0.396,57,6.1,9.2,7.7,9.8,2.5,2.4,9.5,15.1,,0.2,0.3,0.5,0.099,,1.4,2.6,4.1
10,Malik Martin,27,0,179,11.8,0.486,0.446,0.108,0.703,48,6.2,16.9,11.8,3.6,1.8,4.8,12.4,14.9,,0.1,0.3,0.4,0.099,,-1.6,3.5,1.9
11,Strahinja Gavrilovic,18,1,46,17.7,0.616,0.533,0.267,0.4,18,0,8.8,4.6,0,3.6,2.1,18.3,22.5,,0.1,0.1,0.1,0.111,,-1.1,0,-1
12,Samer Dhillon,6,0,8,8.2,1,1,0,0,1,0,0,0,0,0,0,0,5.9,,0,0,0,0.103,,3.3,-1.3,2
