Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,Ray'Sean Taylor,G,33,33,1066,23.2,0.571,0.561,0.401,602,1.7,13.7,7.7,25.1,3.6,0.2,13.2,30.2,3.1,2.4,5.5,0.207,3.2,0.9,4.1,
2,Brian Taylor,G,33,33,1035,15.4,0.583,0.291,0.336,385,2.9,11.2,7.1,18.4,1.6,0.8,16.9,19.7,1.7,1.9,3.6,0.138,-0.4,-0.5,-0.9,
3,Ring Malith,F,33,33,1024,15.2,0.506,0.407,0.339,369,6.7,18.5,12.6,8.6,1.6,2.7,12,20.7,1.2,2.2,3.5,0.135,-1,-0.5,-1.5,
4,Desmond Polk,G,33,33,984,6.9,0.437,0.511,0.121,199,3,9,6,6.1,1.7,1.3,12.9,13.8,-0.1,1.7,1.6,0.064,-4.5,-0.4,-4.9,
5,Myles Thompson,F,33,1,609,11.6,0.441,0.05,0.391,192,9.3,14.6,11.9,8.7,1.6,2.3,12.4,19.9,0,1.2,1.3,0.083,-3.5,-0.6,-4.2,
6,Arnas Sakenis,F,25,16,411,19,0.544,0,0.53,124,12.1,13.9,13,7.7,1.1,12.3,12.6,14.5,0.7,1,1.7,0.161,-1.5,2.2,0.7,
7,Jordan Pickett,G,33,0,384,11.4,0.53,0.526,0.227,108,2.8,9.4,6.1,10.5,1.7,0.3,7.7,15.2,0.6,0.7,1.2,0.13,-3.7,-0.9,-4.6,
8,Declan Dillon,G,32,0,383,12.4,0.489,0.157,0.2,102,7.4,14.6,11,22.5,2.5,0,19.9,12.5,0.4,0.8,1.2,0.129,-3.9,0.6,-3.3,
9,Kyle Thomas,F,23,16,333,18.2,0.562,0.075,0.327,134,9.4,15.1,12.3,10.8,0.7,8,14.5,21.7,0.5,0.7,1.3,0.152,-3.1,0.1,-2.9,
10,Darrion Baker,F,10,0,151,17.5,0.573,0.22,0.537,59,11.5,19.6,15.5,9.3,1.6,3.8,17.6,20.7,0.2,0.4,0.6,0.156,-2.7,1.2,-1.4,
11,Eddiean Tirado,G,14,0,80,6.3,0.445,0.727,0.045,16,0,5.5,2.7,2.3,2.2,0,4.3,14.7,0,0.1,0.1,0.069,-4.4,0.6,-3.8,
12,Cham Okey,G,12,0,72,15,0.45,0.567,0,25,6,22.8,14.4,8.2,2.5,1.6,6.3,22.2,0.1,0.2,0.2,0.128,-8.2,-3.9,-12.1,
13,Jo Valrie,F,3,0,54,22.3,0.456,0.174,0.304,26,22.1,18.3,20.2,8.4,2.2,2.1,7.1,26.2,0.1,0.1,0.2,0.153,2.8,-1.1,1.7,
14,Jordan Hamilton,G,8,0,43,11.2,0.455,0.25,0.063,12,2.5,10.2,6.3,0,5.5,0,10.8,21.5,0,0.1,0.1,0.074,-26.4,-5.4,-31.7,
15,Raynard Horry,G,5,0,22,15.8,0.429,0.286,0,8,0,15,7.4,44.6,2.7,0,0,15.9,0.1,0,0.1,0.179,-8.2,-0.9,-9.1,
,Team Totals,,33,33,6651,,0.525,0.365,0.322,,,,,,,,,,8.5,13.6,22.1,0.133,-1.8,0,-1.8,
