Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Semi Ojeleye,35,35,1195,26.4,0.621,0.572,0.399,0.508,593,8.2,15,11.8,9.3,0.8,1.6,8.6,25.8,,5.5,2.2,7.7,0.257,,7.9,0.2,8.1
2,Sterling Brown,35,34,1143,21.8,0.583,0.546,0.387,0.313,463,6,16.9,11.7,17.9,2.8,2.2,14.6,21.9,,3.3,2.7,6,0.211,,5.4,4.3,9.6
3,Shake Milton,35,35,1239,19.1,0.582,0.555,0.557,0.261,459,1.5,11.7,6.9,23.9,2.2,1.2,13.9,19.4,,3.5,2.4,5.9,0.192,,5.6,2.3,7.9
4,Ben Moore,35,35,1131,21.5,0.579,0.562,0.018,0.451,418,10.1,18,14.3,14.7,1.7,4.5,13.8,19,,3.1,2.6,5.7,0.201,,3.5,5.5,9
5,Jarrey Foster,34,32,1005,19.4,0.6,0.598,0.295,0.311,343,9.9,10.7,10.3,13.9,1.3,3.7,13.4,16.9,,2.8,1.9,4.7,0.187,,5.3,3.7,9
6,Ben Emelogu,35,3,725,8.4,0.423,0.412,0.539,0.158,172,4,11,7.7,15.3,2.3,0.6,17.6,15.7,,0.2,1.4,1.6,0.09,,-0.1,2.4,2.3
7,Dashawn McDowell,29,0,231,7,0.459,0.469,0.125,0.906,50,7,7.8,7.4,10.2,1.6,1.2,26.5,13.8,,0,0.4,0.4,0.068,,-1.8,2.1,0.3
8,Harry Froling,10,0,146,11.3,0.515,0.527,0.27,0.27,43,10.3,15.4,12.9,7.8,1.7,1.8,25.1,20.2,,0,0.3,0.3,0.083,,-1.5,2,0.5
9,Tom Wilson,10,0,61,5.7,0.473,0.5,0.933,0.267,16,2,16.6,9.7,14.4,1,0,25.1,20.8,,-0.1,0.1,0.1,0.04,,-1.9,-0.4,-2.3
10,Leo Kontopoulos,19,0,34,-3.4,0.336,0.3,0.1,0.4,8,3.7,9.9,6.9,5.2,0,0,20.1,23.2,,-0.1,0,0,-0.042,,-9.7,-2.3,-12
11,James Pyle,12,0,17,15.2,0.583,0.583,0.5,0,5,7.3,19.8,13.9,0,3.7,0,25,24.9,,0,0,0,0.088,,-3.2,-2.6,-5.8
12,Jonathan Wilfong,22,1,73,-1.1,0.308,0.308,0.385,0,8,0,13.8,7.3,6.9,0.9,0,29.4,12.3,,-0.1,0.1,0,-0.003,,-6.3,1.2,-5.1
