Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Shamorie Ponds,32,32,1120,27,0.579,0.523,0.377,0.386,652,3.1,10.5,6.8,29.2,4.1,1,10.6,27.1,,4.2,1.6,5.8,0.206,,7.8,1.4,9.2
2,LJ Figueroa,33,31,1051,21,0.584,0.578,0.344,0.18,446,5.4,16.9,11.1,10.7,3.1,0.8,9.6,21.4,,2.5,1.5,4,0.152,,4,1.3,5.3
3,Marvin Clark,33,32,994,13.9,0.552,0.521,0.69,0.234,336,2.9,17.5,10.2,7.7,1.6,2.6,11.8,18.5,,1.3,1.2,2.6,0.103,,1.9,0.9,2.7
4,Mustapha Heron,30,29,950,16.1,0.565,0.524,0.339,0.366,411,3.4,13.5,8.5,7.9,1.7,0.8,14.3,24.4,,1.4,1,2.4,0.101,,0.9,-0.9,0
5,Justin Simon,33,32,1082,14.2,0.507,0.485,0.129,0.316,375,3.5,13.8,8.6,17.2,2.4,2.4,17.1,19,,0.9,1.4,2.2,0.083,,-0.7,2.6,1.8
6,Mikey Dixon,14,1,243,12.8,0.55,0.56,0.448,0.239,77,1.9,6.6,4.2,11,2,0.5,11.8,17.5,,0.3,0.2,0.5,0.079,,0.7,-1.3,-0.6
7,"Bryan Trimble, Jr.",32,3,527,4.5,0.5,0.493,0.946,0.027,70,0.4,8.9,4.6,3.8,1,2.1,13.8,8.3,,0,0.4,0.5,0.035,,-1.2,0.6,-0.6
8,Sedee Keita,21,3,288,7.7,0.429,0.395,0.023,0.465,52,3.9,10.7,7.3,5.5,1.7,8.5,16,10.9,,0,0.4,0.4,0.049,,-4.1,5.4,1.3
9,Greg Williams Jr.,28,1,236,9.3,0.577,0.538,0.375,0.45,59,4.3,8.7,6.5,7.7,1.9,2.6,23.6,13.5,,0.2,0.2,0.4,0.066,,-1.4,1.1,-0.3
10,Josh Roberts,19,1,111,12.4,0.401,0.423,0,0.115,29,14.2,14.4,14.3,3,1.5,7.7,3.5,12.9,,0.1,0.2,0.3,0.093,,-2.6,3.1,0.5
11,Marcellus Earlington,15,0,58,25.3,0.495,0.5,0.321,0.25,32,21.4,23.6,22.5,0,1,8.4,6,28.9,,0.1,0.1,0.2,0.156,,-1.9,-5.2,-7.1
12,Jay Camus,4,0,6,-14.5,0,0,0.5,0,0,0,0,0,0,0,0,0,16.8,,0,0,0,-0.246,,-14.3,-4.9,-19.2
13,Justin Cole,5,0,9,22.9,0.633,0.667,0,0.667,5,0,0,0,23.7,0,0,0,22.1,,0,0,0,0.19,,2.4,-9.4,-7
14,Brandon Lawrence,1,0,2,7.4,0,,,,0,0,0,0,0,27.6,0,0,23.9,,0,0,0,-0.146,,-12.3,18.7,6.3
