Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Chasson Randle,36,36,1263,20.3,0.596,0.548,0.38,0.485,614,1.9,9.9,6,13.6,1.7,0.2,13.5,27,,3.4,1.5,4.9,0.155,,5.4,0,5.4
2,Anthony Brown,36,35,1206,16.6,0.61,0.564,0.391,0.452,427,3.3,13.9,8.8,12.4,1.5,0.4,16.2,18.7,,2.5,1.6,4,0.134,,4,1.8,5.8
3,Josh Huestis,36,36,1266,17.3,0.51,0.488,0.223,0.295,413,8.8,18.4,13.7,6.8,1,5.9,9.8,18,,1.9,2.1,4,0.126,,1.4,4.7,6.1
4,Dwight Powell,36,36,1167,19.7,0.527,0.475,0.103,0.557,537,7.3,17.3,12.5,20.4,2.4,2.8,17.8,26,,1.8,2,3.8,0.131,,2,4.5,6.5
5,Stefan Nastic,36,35,709,16.1,0.602,0.58,0.006,0.657,262,5.5,11.3,8.5,12,0.6,5.1,16.9,19.6,,1.4,0.9,2.3,0.129,,1.2,3.1,4.4
6,John Gage,34,1,390,11.4,0.528,0.49,0.786,0.173,107,4.4,11.4,8,5.3,1.8,3.1,12.4,16.2,,0.4,0.6,1,0.101,,1.9,1.8,3.8
7,Robbie Lemons,35,1,440,6.8,0.469,0.449,0.652,0.203,72,3,6.8,5,4.8,1.9,0.2,9.6,9.9,,0.2,0.5,0.7,0.064,,0.5,1.5,2.1
8,Marcus Allen,33,0,286,8.8,0.39,0.389,0.27,0.254,67,7.7,7.2,7.4,11,2.5,0.8,12.4,14.7,,0,0.4,0.4,0.053,,-0.8,2.1,1.3
9,Aaron Bright,7,0,135,12,0.554,0.482,0.643,0.679,44,0,6.8,3.5,21.7,0.9,0,15.9,17,,0.2,0.1,0.4,0.106,,2.2,-1.8,0.4
10,Grant Verhoeven,32,0,182,4.6,0.474,0.375,0,0.813,29,7.4,14.4,11,6.6,1,0.6,24,8.3,,0.1,0.2,0.3,0.068,,-1.6,2.3,0.7
11,Malcolm Allen,16,0,74,6.7,0.571,0.556,0.111,0.556,12,1.6,3.1,2.4,2.4,0.8,0,8.1,8.7,,0.1,0.1,0.1,0.067,,-0.6,0,-0.6
12,Rosco Allen,1,0,7,2.6,0,0,0,0,0,0,0,0,0,8.5,0,0,7.4,,0,0,0,-0.015,,-5.4,7.7,2.3
13,Wade Morgan,8,0,13,9.1,0.128,0,1,2,1,0,26.4,13.6,12.4,9.2,0,0,15.6,,0,0,0,0.005,,-2.8,7.8,5
14,Jack Ryan,6,0,19,8.4,0.75,0.75,1,0,3,0,24.1,12.4,18.6,3.1,0,50,11,,0,0,0,0.07,,-1,3.5,2.4
15,Schuyler Rimmer,14,0,69,-4.3,0.284,0.333,0,0.778,7,1.8,13.2,7.7,0,0,1.6,28.9,13.1,,-0.2,0.1,-0.1,-0.071,,-10,-0.6,-10.6
