Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Thomas Walkup,34,34,943,29.1,0.629,0.584,0.129,0.61,543,11.1,18.2,14.7,28.3,2.5,0.7,14.8,26.2,,4.7,2,6.7,0.282,,7.2,2,9.2
2,Jacob Parker,34,34,922,24.3,0.646,0.601,0.407,0.401,424,7.9,17.7,12.8,12,2.4,1.7,13.1,22.8,,3.6,1.9,5.5,0.24,,5.4,1,6.4
3,Ty Charles,34,21,747,20.5,0.608,0.56,0.387,0.427,296,10,18.8,14.4,14.7,2.3,0.8,14.6,18.8,,2.4,1.6,4,0.212,,4,1.3,5.3
4,Clide Geffrard,33,3,524,21.2,0.592,0.562,0.32,0.479,253,9.1,14,11.5,11.6,2.2,3.5,18.5,27.9,,1.2,1.1,2.3,0.177,,1.2,0.6,1.7
5,Trey Pinkney,34,34,885,8.7,0.471,0.396,0.375,0.688,183,1,7.4,4.2,23.5,3.1,0,28.6,10.1,,0.7,1.6,2.3,0.106,,-1.1,0.7,-0.5
6,Tanner Clayton,32,9,508,17.5,0.54,0.518,0.156,0.22,138,11.1,15.9,13.5,7.3,1.4,11,9.7,13.1,,1.1,1.2,2.2,0.176,,0.2,6.4,6.6
7,Jared Johnson,31,20,418,22.8,0.621,0.591,0.602,0.247,218,2.4,11.5,6.9,20.3,2.5,1.4,16.1,29.7,,1.4,0.8,2.2,0.208,,4.7,-1.5,3.3
8,Demetrious Floyd,34,0,497,15.8,0.581,0.584,0.644,0.094,198,0.8,8.1,4.4,18.7,0.8,0,13.4,23.2,,1.2,0.7,1.8,0.148,,2.3,-3.9,-1.6
9,Dallas Cameron,34,14,649,9.5,0.558,0.5,0.47,0.6,168,1.9,7.2,4.6,12.7,1.7,0.9,22.9,14.8,,0.7,1,1.7,0.103,,-0.9,-0.2,-1.1
10,Connor Brooks,28,1,267,11,0.535,0.5,0.396,0.479,68,5.2,8.1,6.6,12.7,3.5,0.9,25.3,14.8,,0.2,0.5,0.7,0.108,,-0.9,1.4,0.5
11,Bobby King,32,0,238,11.7,0.555,0.558,0,0.628,70,15.2,12.8,14,7.4,1,7.2,30.9,17,,0.1,0.5,0.6,0.097,,-2.8,3.4,0.6
12,Justin Dotson,19,0,102,14.1,0.463,0.424,0.364,0.515,37,2.5,21.1,11.7,14.5,5.8,3.3,22.6,26.1,,-0.1,0.3,0.3,0.1,,-4.6,4.4,-0.3
13,Jaxon Holden,17,0,67,4.3,0.548,0.429,0.643,0.5,16,0,5.7,2.8,2.5,0.9,0,18.8,15.9,,0.1,0.1,0.1,0.088,,-2.7,-3.1,-5.8
14,Jason Martin,13,0,26,9.7,0.5,0.5,0.5,0,6,9.6,14.6,12.1,7,0,0,14.3,13.5,,0,0,0.1,0.101,,-1.1,-2.4,-3.4
15,Caleb Johnston,18,0,31,2.3,0.633,0.667,0.333,0.667,4,0,8.2,4.1,5.3,0,0,33.6,9.6,,0,0,0,0.042,,-3.8,-1.9,-5.7
