Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jalen Blackmon,34,34,1179,21.6,0.582,0.533,0.506,0.28,647,2.2,6.7,4.5,11,1.4,0.3,9.1,30.3,,3.9,0.6,4.5,0.152,,3.6,-3.7,-0.1
2,Aubin Gateretse,34,32,825,27.3,0.713,0.727,0.009,0.563,391,15,21.1,18.2,6.9,1.1,6.5,17.3,21.4,,3.1,1.1,4.3,0.206,,2.2,-0.6,1.7
3,Stephan Swenson,34,34,1130,18.3,0.508,0.465,0.345,0.264,543,2.8,13,8.2,33.2,2.8,0.3,16.2,25.2,,2.3,1.2,3.5,0.124,,0.6,-1.6,-1
4,Alec Oglesby,33,33,1116,13.3,0.592,0.562,0.659,0.207,330,2.9,12,7.7,6.5,1,0.8,9.6,15.5,,2.2,0.8,2.9,0.105,,0.8,-2.1,-1.3
5,Treyton Thompson,34,13,559,14.7,0.584,0.592,0.333,0.298,162,9.1,18.6,14.1,7.2,1,3.4,16.7,14.5,,0.9,0.6,1.5,0.106,,-1.2,-1.3,-2.5
6,Josh Smith,14,11,315,19.5,0.6,0.582,0.152,0.494,113,7.3,21.4,14.7,6.4,1.1,2,10.1,17.8,,0.8,0.4,1.1,0.144,,1.8,-1.2,0.5
7,Tristan Gross,34,13,656,8.3,0.565,0.556,0.698,0.095,132,2.8,8.3,5.7,5.8,1.2,0.3,12.9,11,,0.7,0.4,1,0.062,,-1.9,-2.1,-4
8,Giancarlo Valdez,20,0,156,16.2,0.642,0.577,0.423,0.731,51,4.7,12.8,8.9,17.1,1.1,1.3,10.2,12.9,,0.5,0.1,0.6,0.159,,-1.7,-2.1,-3.8
9,Cyncier Harrison,23,0,329,8.9,0.49,0.403,0.472,0.431,86,0.4,3.4,1.9,10.5,2.5,0,14.7,16,,0.2,0.2,0.4,0.048,,-3.7,-1,-4.7
10,Naeem Lewis,19,0,79,25.1,0.715,0.7,0.4,0.25,29,3.1,9.8,6.6,11.9,6,0,4.3,15.3,,0.3,0.1,0.4,0.222,,-1,1.6,0.6
11,Finley Sheridan,15,0,95,18.5,0.669,0.667,0.333,0.143,35,11.5,24.5,18.3,17.3,1.9,0,21.1,15.5,,0.3,0.1,0.4,0.164,,-4.5,1.4,-3
12,Landen Babusiak,3,0,15,34.8,0.432,0.5,0,0.333,7,16.2,29.5,23.2,27.6,7.9,7,0,24,,0,0,0.1,0.235,,-0.6,-3.2,-3.8
13,Alex Doyle,26,0,255,4.2,0.337,0.323,0.646,0.104,40,2.9,13.5,8.4,7.4,0.9,2.5,9,11.2,,-0.1,0.2,0.1,0.019,,-4.6,-1.3,-5.9
14,Jackson Huxtable,5,0,21,33.2,0.601,0.625,0.417,0.083,10,0,0,0,0,8.5,5,0,30.7,,0.1,0,0.1,0.195,,-5.1,-1.3,-6.5
15,Bruce Kanno,11,0,61,11.3,0.502,0.538,0,0.154,16,8,16.3,12.4,8.6,1,3.4,12.5,13.5,,0.1,0.1,0.1,0.08,,-9.3,-1,-10.2
16,Isaac Jones,8,0,34,5.7,0.418,0.364,0.455,0.182,10,3.6,16.3,10.2,4.9,0,0,14.3,21.2,,0,0,0,-0.001,,-3.4,-2.1,-5.5
