Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jameel Warney,33,33,1086,36.4,0.634,0.63,0,0.412,606,15.3,21.4,18.4,10.6,1.7,9.7,7.8,25.6,,5.3,2.9,8.3,0.304,,5.7,5.7,11.4
2,Carson Puriefoy,33,33,1113,16.1,0.536,0.494,0.523,0.315,464,2.1,8.5,5.3,16.4,2.1,1.3,15,24,,2,2.1,4.1,0.147,,1.1,0,1.1
3,Ahmad Walker,33,33,962,16.1,0.517,0.461,0.251,0.544,387,6.3,19.5,13,24.6,2,0.9,23.8,22.1,,1.1,2.1,3.2,0.133,,-1.1,2.4,1.3
4,Lucas Woodhouse,31,16,821,14.8,0.641,0.615,0.723,0.203,225,1,9.9,5.4,21.7,2.2,0.1,19.3,12.2,,1.7,1.5,3.2,0.156,,1.7,0.2,1.9
5,Rayshaun McGrew,32,32,885,16,0.496,0.498,0.01,0.252,319,7.9,16.2,12.1,8.3,1.3,1.2,10.5,21.3,,1.2,1.7,2.9,0.132,,-2.6,0.5,-2.2
6,Bryan Sekunda,25,16,500,13.9,0.557,0.55,0.742,0.057,162,2.5,6.4,4.5,11.8,1.2,0.2,9.4,17.9,,1,0.8,1.8,0.142,,1.8,-1.9,-0.1
7,Tyrell Sturdivant,33,1,390,16.6,0.489,0.461,0.011,0.311,121,15.3,18.8,17.1,8.1,2.9,2.5,15.6,15.5,,0.6,1,1.6,0.16,,-1.5,3.2,1.7
8,Roland Nyama,31,1,305,12.4,0.57,0.528,0.549,0.366,88,3.7,13.1,8.4,7,1,2.1,13.5,15.7,,0.5,0.6,1.1,0.14,,-1,-0.1,-1.1
9,Kameron Mitchell,26,0,229,4,0.374,0.375,0.583,0.083,33,2,5.3,3.7,9.3,2.3,0,17.6,9.8,,-0.1,0.4,0.3,0.059,,-4,0.5,-3.5
10,Jakub Petras,21,0,91,15,0.513,0.5,0,0.15,24,9.9,15.9,12.9,7.4,1.3,3.5,8.5,12.8,,0.2,0.2,0.3,0.152,,-2.3,1.9,-0.3
11,Deshaun Thrower,27,0,232,4.3,0.346,0.287,0.441,0.221,53,1.5,7.2,4.3,8.9,1.3,0.5,7.4,17.3,,-0.1,0.4,0.3,0.049,,-5.8,-1.6,-7.4
12,Tim Donohoe,3,0,11,-1.7,0.3,0.3,0.8,0,2,0,0,0,0,0,0,0,22.5,,0,0,0,-0.017,,-7,-6.9,-13.9
