Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Q,Tyus Battle,31,31,1124,18.4,0.531,0.479,0.295,0.409,500,2.1,8.2,5.1,15.9,1.9,1,9.5,25.3,,2.6,1.4,4.1,0.145,,3.7,0.6,4.3
2,Elijah Hughes,33,33,1072,16.7,0.56,0.534,0.635,0.244,392,2.3,12.7,7.5,9.6,2.3,3.3,13.4,21.7,,1.7,1.8,3.5,0.132,,3.9,2.8,6.7
3,Oshae Brissett,33,33,1083,16.2,0.472,0.428,0.293,0.414,417,7.5,18.1,12.8,11.9,1.8,3.4,12.7,23.4,,1.1,2,3.1,0.115,,0.7,3.5,4.1
4,Paschal Chukwu,32,27,642,18.7,0.696,0.716,0,0.985,155,13.6,16.4,15,2.4,2.2,12.4,24,10.3,,1.2,1.4,2.6,0.163,,1.6,9.2,10.8
5,Marek Dolezaj,33,6,714,13.8,0.613,0.615,0.297,0.462,158,6.1,12.4,9.2,13.9,3.5,3.1,25.5,10.7,,0.8,1.4,2.2,0.125,,2.2,5.9,8
6,Frank Howard,29,28,779,12.4,0.496,0.471,0.622,0.166,264,1.4,6.7,4.1,22.4,3.3,0.7,18.5,21,,0.5,1.2,1.7,0.087,,2.1,1.2,3.3
7,Buddy Boeheim,31,4,507,16,0.541,0.519,0.707,0.168,198,4,7.1,5.5,13.1,2,0.6,11.2,22.6,,1,0.6,1.6,0.127,,4.6,-0.7,3.9
8,Bourama Sidibe,29,1,293,12.2,0.448,0.463,0,1.049,65,11.1,18.3,14.7,3.2,3,6.7,12.8,12.3,,0.2,0.7,0.9,0.119,,-1.6,6.2,4.6
9,Robert Braswell,12,0,55,28.1,0.734,0.708,0.167,1,25,4.1,16.3,10.2,20.3,6.5,2.5,28.3,23,,0.1,0.2,0.3,0.215,,4.1,6.3,10.4
10,Jalen Carey,24,2,301,8.7,0.468,0.419,0.311,0.541,91,2.2,12.2,7.2,16.7,3.2,1.9,30.1,22.6,,-0.4,0.5,0.1,0.014,,-4.2,3,-1.2
11,Antonio Balandi,9,0,10,-3,,,,,0,0,33.5,16.8,0,0,14,100,10.2,,-0.1,0,0,-0.106,,-17.4,8.7,-8.6
12,Ray Featherston,4,0,4,-1.3,0,0,1,0,1,0,0,0,42.1,0,0,0,12.8,,0,0,0,-0.068,,-7.4,-10.6,-18
13,Ky Feldman,8,0,10,15.5,0.75,0.75,1,0,2,0,22.3,11.2,0,0,0,0,10.2,,0,0,0,0.16,,1.9,-4,-2.1
14,Brendan Paul,8,0,8,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.016,,-3.5,1.9,-1.6
16,Adrian Autry,9,0,12,-21.9,0,0,0.8,0.2,1,0,9.3,4.7,14,5,0,26.8,31.9,,-0.1,0,-0.1,-0.393,,-19,0.6,-18.3
