Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Shizz Alston Jr.,32,32,1176,21.3,0.562,0.504,0.55,0.309,625,1.6,7,4.3,28.5,2.4,0.5,12.8,27.5,,3.4,1.4,4.8,0.162,,6.6,-0.8,5.9
2,Nate Pierre-Louis,32,32,1094,17,0.54,0.502,0.259,0.474,408,3.9,15.2,9.4,11.4,2.7,1,11.9,20.5,,1.8,1.7,3.5,0.128,,1.6,2.3,3.8
3,J.P. Moorman,32,9,735,13.5,0.562,0.547,0.527,0.193,194,4.4,16,10.1,13.4,1.8,1.4,11.4,12.6,,1.2,1.1,2.3,0.124,,2,2.3,4.3
4,Ernest Aflakpui,29,26,633,15.9,0.602,0.596,0,0.518,188,12.8,23.9,18.2,3.8,1.5,1.8,18.4,13.8,,1.1,1.1,2.2,0.138,,-0.3,1.8,1.5
5,Quinton Rose,32,32,1111,15.7,0.483,0.453,0.302,0.259,491,1.5,11.2,6.2,15.5,3.5,0.7,12.9,28.4,,0.5,1.8,2.2,0.081,,-0.6,1.3,0.7
6,De'Vondre Perry,32,20,633,10,0.494,0.45,0.583,0.308,145,3.9,15.1,9.3,9.3,2.6,2.2,18.4,13.4,,0.2,1,1.3,0.081,,-0.7,3.2,2.5
7,Damion Moore,25,5,265,19.4,0.669,0.66,0,0.404,80,12.2,14.5,13.3,5.7,1.7,4.7,11.1,12,,0.7,0.4,1.1,0.173,,2.2,3.3,5.5
8,Justyn Hamilton,27,4,337,14.7,0.58,0.586,0.037,0.358,106,8.9,10,9.4,4.6,1.7,2.4,12.1,16.1,,0.6,0.4,1,0.122,,0.1,1.1,1.2
9,Alani Moore,31,0,475,10.7,0.507,0.464,0.643,0.286,133,2.1,6.1,4.1,14.5,2.6,0,15.3,15.9,,0.4,0.6,1,0.081,,0.5,-0.1,0.4
10,Quentin Jackson,10,0,35,-0.4,0.417,0.417,0.5,0,4,0,3.3,1.6,0,0,3.3,25,11.5,,-0.1,0,0,-0.031,,-6.6,-0.3,-7
11,Anto Keshgegian,2,0,2,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.015,,-4.4,1.2,-3.2
12,Tim Waddington,2,0,2,54,1.053,,,,2,0,0,0,0,0,0,0,23.9,,0,0,0,0.656,,18,-6.5,11.4
13,Jasen West,2,0,2,-8.2,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.027,,-4.4,1.2,-3.2
