Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Santiago Vescovi,30,30,988,17.9,0.561,0.535,0.725,0.22,355,2.1,14,8,17.7,3.4,0.3,11.7,20.1,,2.3,2.7,5,0.202,,4.4,5.6,10
2,Zakai Zeigler,30,15,-864,17.7,0.511,0.466,0.586,0.257,353,1.3,9.5,5.4,36.2,4.1,0.9,17.8,22.4,,1.7,2.4,4.1,0.189,,3.3,5.7,9
3,Olivier Nkamhoua,33,33,844,18,0.561,0.54,0.162,0.252,328,7,15.4,11.2,16.8,1.1,3.2,15.5,22.1,,1.6,2.1,3.7,0.177,,3,3.9,6.8
4,Julian Phillips,29,25,724,17.5,0.546,0.448,0.234,0.63,266,8.8,14.2,11.5,11.5,1.5,3.1,13.7,19.4,,1.7,1.8,3.5,0.195,,2.6,3.8,6.4
5,Jonas Aidoo,32,9,575,17.7,0.531,0.511,0.127,0.172,162,11.1,19.6,15.3,10,1.6,8.6,14.2,14.9,,0.9,1.7,2.7,0.185,,1.3,5.5,6.8
6,Tyreke Key,30,15,725,11.7,0.502,0.453,0.607,0.355,234,3.4,8.7,6,11.1,1.7,0.2,11.7,19.8,,1,1.6,2.6,0.145,,0.8,2.7,3.5
7,Josiah-Jordan James,21,11,509,17.1,0.509,0.477,0.579,0.164,194,4.2,17.7,11,14.1,2.7,0.5,9.9,23.2,,1,1.4,2.4,0.187,,3.3,4.1,7.4
8,Jahmai Mashack,33,10,577,13.9,0.477,0.452,0.243,0.331,167,7.9,7.9,7.9,16.1,4.9,2.3,20.3,17.3,,0.4,1.7,2.1,0.143,,-0.2,6.8,6.6
9,Uros Plavsic,31,17,406,19.5,0.6,0.657,0,0.49,142,12.9,16.9,14.9,12,1.9,3.2,16.6,18.8,,0.8,1.1,1.9,0.187,,1.1,4.3,5.5
10,Tobe Awaka,31,0,330,21.3,0.577,0.6,0,0.52,113,19.6,22.5,21,5.5,1.1,4,11.4,16.2,,0.9,0.9,1.8,0.218,,2.7,2.3,4.9
11,B.J. Edwards,14,0,58,13.8,0.612,0.583,0.417,0.333,17,3.9,11.8,7.9,19.4,1,2.2,26.5,16.5,,0.1,0.1,0.2,0.138,,0,2.5,2.5
12,Colin Coyne,4,0,6,35,1,1,0,0,1,0,19,9.5,0,0,43.5,0,8.5,,0,0,0,0.27,,7.9,16.2,24.2
13,Alec Kegler,2,0,3,-21.4,0,0,0,0,0,0,0,0,0,0,0,0,16.9,,0,0,0,-0.152,,-24.8,-4.6,-29.3
14,Isaiah Sulack,3,0,6,19.1,0.606,0.5,0,0.5,4,18.9,0,9.5,35.5,0,0,28.8,29.4,,0,0,0,0.172,,-1.5,-2.1,-3.6
15,Kent Gilbert,6,0,11,-13.3,0,0,0.75,0,1,10.3,20.8,15.5,14.3,5.5,0,33.3,27.7,,-0.1,0,-0.1,-0.221,,-21.3,0.9,-20.4
