Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Zakai Zeigler,G,33,33,1119,20.2,0.563,0.538,0.492,532.0,1.9,8.4,5.3,41.2,3.5,1.0,19.9,23.5,3.0,2.2,5.2,0.188,5.2,4.7,10.0,
2.0,Chaz Lanier,G,34,34,1056,19.2,0.563,0.557,0.168,484.0,1.9,11.8,7.1,7.5,1.7,0.5,6.5,28.2,2.8,1.8,4.6,0.174,5.9,2.8,8.6,
3.0,Jahmai Mashack,G,34,34,958,13.5,0.572,0.326,0.514,220.0,5.7,11.7,8.9,9.4,3.4,2.5,15.6,11.6,1.4,2.1,3.5,0.144,1.1,6.8,7.9,
4.0,Jordan Gainey,G,34,1,943,17.2,0.536,0.485,0.435,368.0,3.5,10.3,7.1,13.1,2.4,1.9,7.9,21.7,2.3,1.8,4.1,0.172,3.2,4.7,7.9,
5.0,Felix Okpara,C,34,34,869,16.4,0.612,0.006,0.331,240.0,11.2,17.0,14.3,2.4,0.6,8.7,15.8,14.4,1.4,1.8,3.3,0.15,0.7,4.4,5.1,
6.0,Igor Milicic Jr.,G,33,33,857,19.7,0.578,0.456,0.319,335.0,9.1,21.4,15.6,15.9,1.6,3.7,13.9,20.2,2.1,2.0,4.1,0.191,3.9,4.8,8.7,
7.0,Cade Phillips,F,34,0,510,19.7,0.613,0.01,0.612,169.0,14.3,12.6,13.4,7.6,1.0,7.8,10.1,15.1,1.4,1.0,2.4,0.185,2.5,4.5,7.0,
8.0,Darlinstone Dubar,G,29,1,293,13.9,0.488,0.592,0.204,100.0,7.2,14.8,11.2,9.4,1.5,2.6,10.0,21.3,0.3,0.6,0.9,0.123,1.9,3.7,5.6,
9.0,Bishop Boswell,G,26,0,101,2.2,0.228,0.5,0.2,15.0,6.1,11.0,8.7,22.2,3.0,0.0,52.3,11.9,-0.2,0.2,0.0,-0.006,-5.5,5.1,-0.4,
10.0,Cameron Carr,G,4,0,42,24.3,0.774,0.625,1.125,18.0,2.9,13.2,8.4,18.1,0.0,6.1,7.5,16.5,0.2,0.1,0.3,0.272,5.0,4.1,9.1,
11.0,J.P. Estrella,F,3,0,31,26.1,0.671,0.0,0.333,12.0,12.0,17.9,15.1,7.2,0.0,8.3,0.0,17.6,0.1,0.1,0.2,0.252,4.6,4.3,8.8,
12.0,Grant Hurst,G,7,0,10,18.4,0.444,0.333,0.0,6.0,0.0,11.1,5.8,41.0,6.1,0.0,10.0,52.2,0.0,0.0,0.0,0.047,-11.3,1.9,-9.4,
13.0,Campbell Duncan,G,4,0,5,19.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.155,2.5,2.8,5.4,
14.0,Gavin Paull,G,4,0,5,-2.0,0.0,0.0,0.0,0.0,0.0,44.4,23.4,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,-0.018,-13.3,1.6,-11.7,
,Team Totals,,34,34,6799,,0.565,0.43,0.354,,,,,,,,,,14.9,13.6,28.5,0.167,3.2,4.6,7.8,
