Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Timmy Allen,32,32,934,22.7,0.56,0.512,0.052,0.477,407,11.2,16.2,13.7,16,2.7,1.8,15.2,23.8,,2.5,2.2,4.7,0.202,,4.9,3.4,8.3
2,Courtney Ramey,32,30,964,13.1,0.529,0.498,0.512,0.24,280,1.9,12.4,7.2,10.5,1.9,0.9,11.7,18.1,,1.4,1.9,3.3,0.136,,2.2,2.9,5.1
3,Christian Bishop,32,21,642,21.9,0.625,0.6,0.044,0.6,230,15.3,19,17.2,8.1,1.5,5.4,19.1,17.9,,1.7,1.5,3.2,0.2,,3.7,3,6.7
4,Andrew Jones,31,18,803,16.8,0.523,0.488,0.559,0.222,300,0.9,12.2,6.6,13.8,2.7,0.9,10.4,23.7,,1.5,1.7,3.2,0.157,,3.4,3.3,6.7
5,Marcus Carr,32,30,979,13.2,0.504,0.453,0.426,0.348,351,1.1,7,4.1,21.2,1.9,0.4,15,22.2,,1.4,1.7,3.1,0.125,,1.2,1.7,2.9
6,Tre Mitchell,24,17,0,22.9,0.566,0.525,0.286,0.311,201,8.3,17.8,13,16.6,2.4,4.3,15.9,26.3,,1.1,1.1,2.2,0.195,,4.3,3.9,8.2
7,Brock Cunningham,32,3,367,15,0.619,0.585,0.377,0.302,84,8.7,14.7,11.7,9.2,3.9,1,14.2,10.3,,0.8,0.9,1.7,0.186,,0.8,5.6,6.4
8,Jase Febres,29,6,388,11.2,0.516,0.49,0.745,0.184,99,3.2,9.8,6.5,5.6,1.6,2.5,9.4,16.2,,0.5,0.7,1.2,0.127,,1.4,2.5,3.9
9,Devin Askew,32,3,481,8.1,0.469,0.453,0.391,0.313,82,0.8,7.1,4,16.6,3.4,0.7,24.6,10.9,,0.1,1,1.1,0.087,,-1.8,4.8,3
10,Dylan Disu,24,0,262,17.8,0.522,0.494,0.185,0.16,88,9.4,26.6,18,7.6,2.6,8.3,20.2,22.3,,0.2,0.8,1,0.147,,-0.8,5.2,4.3
11,Tristen Licon,16,0,67,15.3,0.524,0.524,0.476,0,18,1.8,10.9,6.4,3.2,4.6,0,4.5,17.6,,0.1,0.2,0.3,0.154,,-1.2,4.6,3.4
12,Avery Benson,16,0,61,5.1,0.101,0,0.25,0.5,6,8.1,8,8,13.6,1,0,0,4.3,,0,0.1,0.1,0.077,,-2,2.1,0.1
13,Jaylon Tyson,8,0,55,13,0.426,0.4,0.267,0.2,14,4.5,15.6,10,11,4.5,4.4,15.4,18.9,,0,0.2,0.1,0.107,,-5.5,5.3,-0.3
