Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Tre Johnson,G,32,32,1106,19.6,0.555,0.425,0.25,579.0,1.0,8.9,5.0,16.7,1.6,1.0,9.4,29.2,2.9,1.2,4.0,0.145,6.4,1.4,7.8,
2.0,Arthur Kaluma,F,32,31,940,20.2,0.566,0.304,0.371,396.0,6.7,22.6,14.9,11.9,1.9,3.5,12.7,21.9,2.0,1.7,3.7,0.158,4.6,3.2,7.8,
3.0,Kadin Shedrick,F,34,34,898,19.3,0.609,0.107,0.77,315.0,12.0,14.3,13.2,4.2,1.5,6.9,11.6,15.7,2.3,1.4,3.7,0.164,3.0,2.7,5.7,
4.0,Jordan Pope,G,34,31,876,16.2,0.57,0.536,0.211,349.0,1.4,7.4,4.5,12.9,2.3,0.0,8.7,21.4,2.0,1.0,2.9,0.134,2.8,2.1,4.9,
5.0,Tramon Mark,G,28,24,745,14.4,0.511,0.397,0.32,270.0,1.0,14.4,7.9,10.9,1.9,1.9,7.5,21.1,1.1,1.0,2.1,0.113,1.8,2.6,4.5,
6.0,Julian Larry,G,34,4,692,10.2,0.558,0.361,0.445,198.0,1.2,7.1,4.2,24.6,2.1,0.3,27.2,14.6,0.6,0.7,1.3,0.075,-1.0,1.5,0.4,
7.0,Jayson Kent,G,26,3,450,13.4,0.549,0.349,0.5,152.0,11.6,10.4,11.0,4.8,1.7,1.7,16.5,17.9,0.6,0.5,1.1,0.099,1.5,1.3,2.8,
8.0,Chendall Weaver,G,19,9,385,16.6,0.564,0.233,0.5,134.0,9.8,18.3,14.2,11.6,1.8,1.7,13.1,16.3,0.8,0.6,1.4,0.144,1.7,2.2,3.9,
9.0,Ze'Rik Onyema,F,34,0,347,16.5,0.617,0.0,0.603,111.0,8.5,19.6,14.3,6.7,2.0,4.7,15.5,15.2,0.7,0.6,1.3,0.15,-0.5,3.8,3.2,
10.0,Devon Pryor,F,23,2,278,13.1,0.582,0.286,0.286,78.0,7.7,10.9,9.3,7.0,1.3,0.8,11.2,13.2,0.5,0.3,0.8,0.116,1.5,1.3,2.8,
11.0,Nic Codie,F,19,0,103,16.8,0.747,0.1,0.15,30.0,9.2,10.8,10.0,3.6,0.0,3.2,12.3,12.1,0.3,0.1,0.4,0.142,1.7,-0.2,1.5,
12.0,Jamie Vinson,F,9,0,43,27.3,0.772,0.083,0.167,16.0,5.5,20.8,13.4,5.0,1.4,7.6,0.0,15.4,0.2,0.1,0.3,0.24,4.0,3.5,7.5,
13.0,Cole Bott,F,6,0,22,13.1,0.513,1.0,2.0,6.0,5.4,5.1,5.2,20.3,2.7,0.0,0.0,9.1,0.1,0.0,0.1,0.162,-3.1,3.1,0.0,
14.0,Preston Clark,F,4,0,14,5.3,0.101,0.75,0.5,3.0,25.4,23.9,24.6,10.6,4.2,0.0,16.8,21.7,0.0,0.0,0.0,-0.058,-7.9,-3.3,-11.2,
,Team Totals,,34,34,6899,,0.564,0.354,0.366,,,,,,,,,,13.8,9.2,23.0,0.134,2.8,2.2,4.9,
