Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Wade Taylor,34,32,975,23.8,0.585,0.506,0.545,0.494,547,1.6,9.3,5.5,31.9,3.7,0.3,15.8,29.4,,3.6,1.7,5.3,0.216,,6.9,3.8,10.8
2,Tyrece Radford,34,34,1051,18.4,0.526,0.446,0.362,0.541,455,7.1,13.1,10.2,16.5,1.7,1.2,12.5,23.4,,2.7,1.6,4.3,0.162,,4.8,1.8,6.6
3,Dexter Dennis,33,33,937,14.8,0.51,0.467,0.514,0.309,290,5.1,17.8,11.6,8.9,1.6,2.9,9.7,17.7,,1.6,1.7,3.3,0.139,,3,2.8,5.8
4,Henry Coleman,34,30,919,16.7,0.574,0.532,0.009,0.514,310,9.8,14.6,12.3,7.4,1.9,0.6,16.2,17.9,,1.7,1.5,3.2,0.14,,2.4,2,4.4
5,Julius Marble,34,29,710,17.4,0.545,0.532,0.03,0.481,279,8.5,14.9,11.8,4.3,1.3,2.7,11.2,22.8,,1.4,1.1,2.5,0.142,,1.2,1.5,2.7
6,Andersson Garcia,33,1,540,14,0.595,0.532,0.127,0.841,136,14.5,15.5,15.1,8.9,2.1,1.7,22.8,10.6,,1,1,1.9,0.143,,1.1,3,4.1
7,Solomon Washington,30,4,372,16.5,0.579,0.515,0.221,0.515,106,12.5,14.9,13.7,5.3,2.4,5.4,15.1,13.5,,0.8,0.7,1.5,0.161,,1.1,3.4,4.5
8,Andre Gordon,34,6,524,5.6,0.424,0.405,0.536,0.143,89,1.8,10,6,14.6,1.7,0,23.1,11.2,,-0.1,0.7,0.6,0.048,,-2.1,2.2,0.1
9,Hayden Hefner,31,1,342,8.1,0.549,0.512,0.616,0.279,95,0.3,7,3.7,9.4,1.2,1.6,21.1,18.2,,0.2,0.4,0.6,0.067,,-1.6,1,-0.6
10,Manny Obaseki,19,0,270,11,0.524,0.464,0.157,0.41,97,1.3,10.5,6,15.1,1.5,1.5,20.8,23.3,,0.1,0.4,0.5,0.078,,-2,0.4,-1.6
11,Khalen Robinson,18,0,101,12.4,0.567,0.524,0.429,0.81,34,2.4,10.1,6.3,19.8,3.5,0,25.6,19.5,,0.1,0.2,0.3,0.105,,-3.2,2.6,-0.5
12,Javonte Brown,7,0,22,34.7,0.545,0.545,0,0,12,32.5,25.8,29,13.9,0,12.2,8.3,27.5,,0.1,0,0.1,0.248,,5.5,-0.6,4.9
13,Erik Pratt,9,0,33,6,0.383,0.375,0.75,0.125,12,0,3.4,1.8,12.7,1.8,0,5.6,27.4,,0,0,0,0.045,,-1.9,-3.1,-5
14,Davin Watkins,2,0,3,31.6,0.526,,,,1,0,0,0,0,19.8,0,0,15.9,,0,0,0,0.279,,1.6,24.7,26.3
