Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Zhuric Phelps,G,31,27,871,14.4,0.451,0.31,0.324,415.0,4.0,16.1,9.7,17.6,3.7,0.6,16.0,31.7,0.2,1.8,1.9,0.089,0.7,3.8,4.5,
2.0,Wade Taylor IV,G,28,28,861,17.5,0.526,0.592,0.388,434.0,0.6,11.3,5.7,29.4,2.4,0.3,15.0,27.4,2.2,1.3,3.5,0.162,4.9,3.6,8.4,
3.0,Andersson Garcia,G,32,9,774,17.3,0.619,0.398,0.619,214.0,10.7,17.9,14.1,12.1,2.5,3.7,19.5,11.7,1.5,1.5,3.1,0.159,3.6,5.4,8.9,
4.0,Henry Coleman III,F,32,24,700,20.8,0.597,0.006,0.474,248.0,13.9,14.3,14.1,4.8,2.6,0.4,10.7,16.0,1.9,1.2,3.1,0.176,5.0,3.5,8.5,
5.0,Solomon Washington,F,30,23,675,13.0,0.445,0.383,0.421,163.0,10.9,15.0,12.8,7.0,2.2,7.6,14.5,13.2,0.5,1.3,1.9,0.111,0.4,4.9,5.3,
6.0,Pharrel Payne,F,32,14,634,23.3,0.616,0.0,0.867,280.0,13.2,14.3,13.7,4.9,0.8,7.6,13.8,21.4,1.8,1.0,2.8,0.178,4.7,3.1,7.8,
7.0,Jace Carter,G,31,6,543,9.5,0.437,0.578,0.459,117.0,6.2,14.8,10.2,5.1,2.4,1.3,10.8,13.1,0.3,0.9,1.2,0.088,-0.4,4.1,3.7,
8.0,Manny Obaseki,G,32,13,518,9.7,0.457,0.209,0.393,198.0,2.2,9.4,5.6,15.1,0.9,2.7,13.7,24.3,0.3,0.7,1.0,0.078,-1.2,2.2,1.0,
9.0,Hayden Hefner,G,30,16,457,11.2,0.506,0.621,0.21,129.0,4.6,7.1,5.8,7.7,2.2,2.7,12.2,16.3,0.6,0.7,1.2,0.107,0.7,3.9,4.6,
10.0,C.J. Wilcher,G,32,0,336,14.3,0.631,0.925,0.113,113.0,0.3,8.0,3.9,6.7,1.1,0.8,9.7,17.6,0.9,0.4,1.3,0.152,5.3,2.6,7.9,
11.0,Chris McDermott,F,7,0,45,18.9,0.455,0.0,0.5,13.0,20.9,15.5,18.4,8.0,1.3,6.1,9.2,11.6,0.1,0.1,0.2,0.15,3.9,0.5,4.4,
12.0,Jaelyn Lee,G,6,0,29,7.5,0.333,0.556,0.0,6.0,7.2,12.0,9.5,6.7,0.0,4.8,0.0,14.9,0.0,0.0,0.0,0.062,-4.2,-0.1,-4.3,
13.0,Rob Dockery,G,1,0,7,2.2,0.25,0.0,0.0,3.0,15.0,0.0,7.9,30.0,0.0,0.0,0.0,27.4,0.0,0.0,0.0,0.011,-5.1,1.0,-4.0,
,Team Totals,,32,32,6450,,0.517,0.376,0.417,,,,,,,,,,10.2,11.0,21.2,0.131,2.4,3.8,6.2,
