Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Isaac Mushila,33,31,892,28.5,0.649,0.571,0.131,0.702,470,13.7,27.5,20.6,8.5,2.9,0.4,13.5,22.7,,3.8,1.8,5.6,0.25,,4,-1.4,2.7
2,Terrion Murdix,31,30,858,25.2,0.565,0.508,0.113,0.392,465,5.4,12.6,9,37.8,4.6,0.9,15.7,24.2,,3,1.6,4.6,0.213,,3.5,2.3,5.8
3,Trey Tennyson,33,32,930,17.7,0.604,0.567,0.601,0.224,431,1.3,8.4,4.8,8.7,1.4,0.5,11.9,25.1,,2.5,0.9,3.4,0.148,,3.4,-2.1,1.3
4,Ross Williams,32,4,710,16.1,0.581,0.558,0.764,0.148,269,1.6,9.3,5.4,10.5,2.1,0,8.9,19.8,,1.7,0.8,2.5,0.144,,1.4,-1.7,-0.3
5,De'Lazarus Keys,31,23,633,15.1,0.5,0.477,0.028,0.193,215,12.7,19.1,15.9,10.1,1.3,1.8,13.9,16.9,,1,0.9,1.9,0.119,,-1.3,-1.4,-2.7
6,Jalen Jackson,33,31,847,11.2,0.509,0.465,0.166,0.46,258,2.8,10.2,6.4,18.8,3,0.9,23,16.7,,0.5,1.2,1.7,0.081,,-3.8,0.1,-3.7
7,Simeon Fryer,26,13,577,8.1,0.574,0.541,0.494,0.247,114,4.3,9.9,7.1,7.5,1.2,2.6,22.8,10.2,,0.4,0.6,1.1,0.074,,-3.5,-0.5,-4
8,Owen Dease,21,0,292,12.7,0.514,0.466,0.466,0.364,103,5.4,13.2,9.3,9,2.1,1.3,12.7,19.4,,0.4,0.4,0.8,0.112,,-1.5,-1.1,-2.6
9,Jordan Roberts,18,0,156,24.8,0.607,0.59,0.582,0.328,83,8,14.9,11.4,11.8,2.9,0,10.4,26.5,,0.6,0.2,0.8,0.204,,4.1,-2.7,1.4
10,Jourdyn Grandberry,26,0,201,9.5,0.51,0.484,0.459,0.262,64,1.1,10.4,5.7,10.4,3.1,1.9,19.9,20.4,,0,0.3,0.3,0.067,,-4.2,1.5,-2.7
11,Jaren Marshall,15,0,62,13,0.507,0.5,0.125,0.75,15,3.7,1.9,2.8,20.5,3.6,0,15.6,9.9,,0.1,0.1,0.2,0.107,,-0.5,3,2.5
12,Tyrese Nickelson,24,0,285,6.4,0.412,0.362,0.217,0.304,69,2,8.2,5,12.1,2,0.9,17.7,16.1,,-0.1,0.3,0.2,0.032,,-5.4,-0.9,-6.3
13,Connor Kern,16,0,62,10.3,0.355,0.364,0,0.318,19,14.6,26.3,20.4,0,1.8,10.1,13.6,22.6,,-0.1,0.1,0.1,0.039,,-8,-5.5,-13.6
14,Jasman Sangha,14,1,145,5.6,0.437,0.4,0.029,0.371,38,7.8,11.2,9.5,5.8,1.2,2.6,19.5,16.9,,0,0.2,0.1,0.04,,-9.8,-2.5,-12.3
15,Aaron Harden,1,0,1,-59,,,,,0,0,0,0,0,0,0,100,47.9,,0,0,0,-0.965,,-34.2,-9.3,-43.5
