Rk,Player▲,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Damion Baugh,29,28,893,14.1,0.506,0.477,0.357,0.346,330,1.8,14.1,8,28.3,2.6,0.7,24.2,22.6,,0.5,1.6,2.1,0.094,,1.3,2.4,3.7
2,JaKobe Coles,32,0,283,13.5,0.483,0.459,0.43,0.174,86,6.6,18.7,12.7,9,2.3,5,18.4,20.1,,0.1,0.6,0.7,0.104,,-0.6,3.9,3.3
3,Xavier Cork,31,2,417,14.3,0.599,0.592,0,0.276,105,12.4,11.3,11.9,5.1,1,6,22.5,13.3,,0.5,0.7,1.2,0.115,,0,3.1,3.2
4,Cole Despie,2,0,3,-10,0,0,0,0,0,0,38.4,19.4,0,0,0,0,16.6,,0,0,0,-0.128,,-16.7,-0.8,-17.5
5,Souleymane Doumbia,28,0,144,9.5,0.565,0.595,0.095,0.381,28,9.8,9.6,9.7,2.5,0.4,6.8,28.7,12.1,,0,0.2,0.2,0.064,,-3.4,2.6,-0.8
6,Maxwell Evans,4,1,76,6,0.35,0.325,0.6,0.15,19,3.1,9.1,6.1,25.7,2.4,1.4,24.6,18.7,,-0.1,0.1,0,0.025,,-3.1,1.9,-1.2
7,Francisco Farabello,32,6,612,12.5,0.594,0.551,0.803,0.256,149,1.2,13.2,7.2,12.4,1.8,0.2,16,12.7,,1.1,0.9,2,0.129,,2.1,3.3,5.4
8,Darius Ford,1,0,2,75.5,1,1,0,0,1,58.7,0,29.1,0,0,0,0,25,,0,0,0,0.469,,29.8,5.2,35
9,Eddie Lampkin,31,30,652,19.6,0.594,0.599,0,0.415,209,16.2,17.1,16.7,7.1,1.7,2.3,15.4,15.4,,1.5,1.2,2.7,0.163,,3.5,2.3,5.8
10,Mike Miles,29,29,969,15.3,0.483,0.436,0.355,0.334,428,1,11.3,6.2,24.5,2.3,0.7,14.9,27.3,,1.4,1.5,3,0.122,,2,2,4
11,Emanuel Miller,32,32,890,17.8,0.532,0.511,0.156,0.269,313,10.6,15.8,13.2,6.8,1.3,3,12.4,19.9,,1.7,1.5,3.2,0.144,,2.7,2,4.7
12,Chuck O'Bannon,32,23,760,17.3,0.53,0.498,0.513,0.338,269,6.2,13.8,10,7.4,2.1,2.8,10.3,20.4,,1.6,1.3,2.9,0.155,,4,2.9,6.9
13,Micah Peavy,32,9,670,11.3,0.472,0.451,0.164,0.333,203,8.6,14.1,11.4,10.2,1.7,2.7,20.3,19.8,,0.2,1.1,1.3,0.077,,-1.3,2.6,1.3
14,Shahada Wells,7,0,51,0.8,0.361,0.361,0.611,0,13,6.9,11.3,9.1,7.4,0,0,21.7,22.5,,-0.1,0.1,0,-0.029,,-6.3,-1.2,-7.5
15,Harrison Young,3,0,3,-62.2,0,0,0.5,0,0,0,0,0,0,0,0,0,66.6,,-0.1,0,-0.1,-0.806,,-47.4,-23.5,-70.9
