Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Emanuel Miller,33,33,1072,21.7,0.58,0.525,0.201,0.41,508,7.5,13.9,10.7,15.5,1.9,1.4,9.6,22.4,,3.5,1.6,5.1,0.191,,5.9,1.8,7.7
2,Micah Peavy,33,33,967,15.5,0.522,0.506,0.271,0.271,365,6,13.6,9.7,16.5,2.6,0.9,14,20.3,,1.4,1.6,3,0.124,,1.8,2.4,4.2
3,Jameer Nelson,33,21,823,18.1,0.539,0.493,0.359,0.407,366,1,11.3,6.1,24,4.6,1.9,17.6,24.6,,1.2,1.7,2.9,0.139,,1.7,4.5,6.2
4,JaKobe Coles,30,11,613,19.6,0.572,0.548,0.261,0.23,265,6.2,15.8,11,13,1.8,2.3,9.9,22.2,,1.5,1,2.6,0.166,,3.7,1.9,5.7
5,Trey Tennyson,33,15,809,11.8,0.574,0.552,0.638,0.147,256,1.1,9.9,5.5,12.8,2.1,0.7,17,17.8,,1,1.1,2.1,0.104,,1.1,2.1,3.2
6,Chuck O'Bannon,30,2,433,17.8,0.575,0.529,0.492,0.402,161,7.5,13.1,10.2,9.6,1.4,3.1,4.6,16.9,,1.3,0.7,2,0.18,,3.9,2,5.9
7,Ernest Udeh,28,28,481,18.7,0.594,0.597,0,1.323,140,16.6,20.4,18.5,3,3.4,5.1,16.5,12.1,,0.9,1.1,2,0.168,,1.8,3.1,4.9
8,Avery Anderson,33,17,744,12.5,0.494,0.445,0.294,0.298,274,0.9,11.1,6,25.1,3.6,1.5,21,21.3,,0.4,1.3,1.7,0.093,,-1.5,3.4,1.9
9,Xavier Cork,33,5,413,15,0.633,0.617,0,0.319,136,10.9,12.3,11.6,9.1,0.7,3.5,22.3,16.2,,0.6,0.6,1.2,0.115,,1,1.4,2.4
10,Essam Mostafa,29,0,286,19.2,0.548,0.517,0,0.55,97,18.2,20.2,19.2,6.5,1.8,5,11.7,14.4,,0.7,0.5,1.2,0.17,,1.6,1.4,3
11,Cole Despie,8,0,9,2.2,0.339,0,0.5,1,2,0,0,0,15.8,0,0,0,15.8,,0,0,0,0.063,,-9.1,-1.9,-11
12,Darius Ford,8,0,14,1.4,0.357,0.357,0.571,0,5,0,16.9,8.3,12.8,4,0,22.2,31,,-0.1,0,0,-0.064,,-11.6,-2.4,-14
13,Tyler Lundblade,6,0,28,0.5,0.42,0.3,1,0.4,5,0,8.4,4.2,5.4,2,0,33.5,15.4,,-0.1,0,0,-0.022,,-8.8,-2.8,-11.6
14,Trey Stuart,8,0,9,-5.4,0,0,0.5,0,1,0,0,0,15.8,0,0,0,10.7,,0,0,0,-0.077,,-8.4,-3.8,-12.2
