Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Michael Weathers,22,22,687,23,0.576,0.521,0.227,0.454,354,2.5,14.6,8.7,23.2,3.8,3.8,19,26.2,,1.6,1.7,3.3,0.193,,2.4,2.4,4.7
2,John Walker,22,20,566,22.3,0.623,0.613,0.136,0.407,247,8.9,12.9,11,9.8,1.2,4.7,15.2,20.3,,1.6,1.1,2.7,0.19,,1.3,-0.9,0.4
3,Joirdon Karl Nicholas,24,17,566,21.8,0.559,0.553,0.005,0.346,259,12.3,18.4,15.5,6.8,1.3,5.3,14.5,23.1,,1.2,1.3,2.5,0.178,,-0.4,-1.1,-1.5
4,Galen Alexander,24,20,602,14.6,0.542,0.514,0.401,0.412,219,4.5,15.3,10,7.7,2.1,2,17.4,20.2,,0.7,1.3,2,0.13,,-0.2,-0.5,-0.8
5,Justin Hopkins,24,6,677,12,0.532,0.463,0.387,0.533,200,5.2,10,7.7,7.3,1.6,0.3,16.1,15.3,,0.9,1.1,2,0.118,,-1.1,-1.3,-2.3
6,Jordan Gilliam,24,20,611,9,0.452,0.404,0.446,0.315,155,1.6,10.8,6.3,18.8,2,1.8,21.9,14.5,,0.1,1.1,1.3,0.082,,-3.9,-0.5,-4.4
7,Yahuza Rasas,23,10,435,10.9,0.466,0.436,0.135,0.256,138,8.1,18.2,13.3,4.6,1.2,1.2,19,19.6,,0,0.9,0.9,0.08,,-3,-2.1,-5.1
8,John Jones,23,5,324,6,0.426,0.387,0.651,0.179,96,1.3,4.4,2.9,11.2,1.7,0.3,14.2,19.1,,0,0.5,0.5,0.06,,-4.9,-2.4,-7.3
9,Chris Baldwin,15,0,126,11,0.444,0.375,0.273,0.591,55,11.9,20.1,16.1,13.1,0.4,4.3,25.2,27.6,,-0.1,0.3,0.2,0.049,,-4.5,-2.5,-7
10,Quinton Brigham,19,0,116,4.7,0.331,0.276,0.379,0.31,23,3.7,10.5,7.2,5.7,2.3,0,10.7,14.8,,-0.1,0.2,0.1,0.042,,-8.3,-1.5,-9.7
11,Ashton McClelland,9,0,42,8.1,0.426,0.4,0.733,0.2,12,0,9.7,5,4.3,2.6,0,5.7,19.2,,0,0.1,0.1,0.09,,-9,0.1,-9
12,Andrew Malveaux,5,0,12,-0.2,0,0,0.75,0,1,8.9,16.9,13,12.4,4.5,0,0,15.4,,0,0,0,-0.054,,-9.9,1.5,-8.4
13,Ja'Mare Redus,7,0,61,-0.3,0.252,0.2,0.2,0.4,5,0,5,2.6,12.5,1.8,0,40.2,7.5,,-0.1,0.1,0,0.003,,-7.7,-2.3,-9.9
