Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Toddrick Gotcher,32,31,926,18.9,0.587,0.542,0.608,0.304,338,4.1,10.1,7.2,15.7,2.1,1.4,8,18.2,,2.7,0.9,3.6,0.157,,7.1,1.6,8.6
2,Zach Smith,32,32,1046,18,0.553,0.519,0.094,0.515,327,6.8,19.5,13.4,10.9,1.6,5.1,14.7,16.9,,1.7,1.5,3.2,0.123,,2,5.4,7.4
3,Aaron Ross,32,1,693,20.5,0.615,0.54,0.411,0.519,298,5.4,19.2,12.5,8.4,0.7,1.5,11.6,22.7,,2.2,0.8,3,0.171,,4.8,-0.1,4.7
4,Justin Gray,31,12,730,18.9,0.624,0.575,0.299,0.523,259,8,10.9,9.5,7.4,2.1,2.7,13.9,18,,1.9,0.8,2.7,0.147,,4.7,2.5,7.2
5,Keenan Evans,32,31,802,15.5,0.536,0.457,0.241,0.638,295,2.6,11.1,7,22.8,2.4,1.4,18.3,20.6,,1.2,0.9,2.1,0.106,,2.2,2,4.2
6,Devaugntah Williams,32,20,837,14.8,0.5,0.45,0.375,0.322,333,4.7,9.2,7.1,13.1,1.9,1,13.2,24.9,,1,0.8,1.8,0.084,,1.9,0.4,2.3
7,Norense Odiase,20,17,379,17.2,0.531,0.514,0.007,0.286,162,10.5,15.9,13.3,12,0.9,4.2,17.6,26.5,,0.4,0.4,0.8,0.088,,-0.1,2.1,2
8,Matthew Temple,25,16,314,10,0.518,0.514,0.068,0.342,90,7.1,9.2,8.2,11,1.1,3.3,18.3,17.2,,0.2,0.3,0.5,0.065,,-0.3,2.1,1.8
9,Devon Thomas,32,0,392,8.6,0.472,0.45,0.214,0.314,90,1.6,10,5.9,21.2,2.4,0.3,25.8,14.4,,0,0.4,0.4,0.038,,-1.4,1.4,-0.1
10,Donovan Ham,6,0,8,10.9,1,1,0,0,1,0,0,0,0,0,0,0,6.5,,0,0,0,0.098,,3.5,-1.8,1.7
11,Jordan Jackson,23,0,131,4.8,0.353,0.379,0.333,0.242,28,3.8,11.5,7.8,10.4,0.9,1.7,14,17,,-0.1,0.1,0,-0.012,,-3.8,0.5,-3.3
12,Isaiah Manderson,4,0,44,4.8,0.483,0.455,0.091,0.273,11,5.6,13.1,9.5,0,0,0,24.4,19.4,,0,0,0,-0.016,,-6.6,-4,-10.5
13,Andrew Sorrells,6,0,11,-14,0,0,1,0,0,0,10.5,5.4,0,0,0,33.3,14.2,,-0.1,0,-0.1,-0.202,,-12.3,-2.2,-14.5
14,Rokas Ulvydas,9,0,23,0.9,0.256,0,0,2,2,5.4,5,5.2,0,0,29.7,43.5,15.6,,-0.1,0,-0.1,-0.089,,-12.6,15.6,3
15,C.J. Williamson,21,0,139,3,0.378,0.341,0.463,0.341,37,2.7,11.6,7.3,11.1,2.6,0.8,22.7,23.1,,-0.3,0.2,-0.1,-0.037,,-4.9,0.7,-4.2
