Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,Chance McMillian,G,30,30,891.9,19.6,0.682,0.576,0.275,374,3.6,10.7,7.2,10.2,1.3,0.4,9,17.8,3.4,1.4,4.8,0.193,7.2,2.6,9.7,
2,Elijah Hawkins,G,31,30,957,15.2,0.493,0.588,0.296,365,1.5,10.9,6.3,33.6,3.2,0.6,17.6,18.6,1.9,1.7,3.6,0.152,2.9,4.3,7.2,
3,Christian Anderson,G,31,3,919,15.8,0.61,0.675,0.296,310,1.8,9.8,5.9,12.8,2.7,0.2,11.3,17.3,2.2,1.5,3.7,0.162,3.8,4.2,8,
4,Darrion Williams,F,30,30,803.7,20.8,0.546,0.331,0.274,444,6.2,14.4,10.4,23.7,2.4,1.5,13.3,26,2.5,1.6,4.1,0.184,5.7,3.4,9.1,
5,JT Toppin,F,29,29,767,32.6,0.592,0.131,0.332,476,14.5,26.1,20.4,10.4,2,5.4,9.2,32.7,3.2,1.8,5,0.26,8.7,3.1,11.8,
6,Kevin Overton,G,32,1,712,13.8,0.551,0.539,0.316,242,4.4,15.3,9.9,7.5,1.4,0.8,10.9,19.2,1.3,1.1,2.4,0.136,1.5,1.9,3.4,
7,Federiko Federiko,C,31,6,615,17.6,0.685,0,0.615,178,13.8,13.5,13.7,6.6,1.3,4.4,16.4,11.7,1.5,1.1,2.6,0.168,3.3,3.6,6.9,
8,Kerwin Walton,G,33,33,594,10.1,0.572,0.835,0.108,162,2.6,4.9,3.8,4.8,0.5,1.1,7.8,15.6,1,0.6,1.6,0.109,2.7,0.8,3.5,
9,Devan Cambridge,G,6,2,106,13.6,0.69,0.318,0.182,29,7.9,15.3,11.7,3.3,1.1,0,20.1,14.5,0.2,0.2,0.3,0.127,0.6,0,0.6,
10,Eemeli Yalaho,F,8,1,90,15,0.61,0.333,0.389,27,8,16.7,12.4,11.3,1.3,1.2,15.8,14.5,0.2,0.2,0.3,0.145,2.1,2.8,4.8,
11,Leon Horner,F,8,0,22,5.2,0.25,0.25,0,3,10.9,15.8,13.4,0,2.7,4.9,20,11.7,0,0,0,0.03,-5.1,1,-4.1,
12,Jack Francis,G,10,0,21,0,0.333,0.667,0,4,17.1,11,14,0,0,0,40,12.2,0,0,0,-0.011,-6.5,-1.5,-8.1,
13,Corbin Green,F,8,0,13,18.1,0.526,,,3,18.4,17.8,18.1,11,4.6,8.4,51.3,7.7,0,0,0,0.142,4.7,6.6,11.3,
,Team Totals,,33,33,6700,,0.585,0.446,0.297,,,,,,,,,,17.2,11.4,28.6,0.171,4.5,3,7.5,
