Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jordon Varnado,37,37,1068,25.5,0.586,0.559,0.174,0.38,566,8.2,19.5,14,10.6,1,5.4,11.8,27.3,,3.4,1.6,5,0.186,,1.9,0.8,2.7
2,Wesley Person,37,34,1160,18.1,0.607,0.558,0.622,0.407,491,2,7.3,4.7,9.6,1,0.2,9.8,21.2,,3.5,0.9,4.4,0.151,,4.3,-3.2,1.1
3,Jeremy Hollimon,37,2,807,21,0.598,0.552,0.37,0.439,409,4.1,8.9,6.6,14.9,1.4,0.8,13.2,25.8,,2.5,0.8,3.3,0.162,,3.2,-2.7,0.5
4,DeVon Walker,37,36,1011,16,0.537,0.491,0.098,0.542,327,9.2,16.9,13.1,10.9,1.7,2.6,15.9,15.6,,1.7,1.4,3.2,0.125,,0.1,1.8,1.9
5,Juan Davis Jr.,37,21,739,15.8,0.638,0.614,0.578,0.249,236,6.4,15.8,11.2,2.5,1.2,1.8,14.1,16,,1.6,0.9,2.4,0.132,,1.5,-1.6,-0.1
6,Kevin Baker,37,33,895,12.9,0.498,0.468,0.81,0.253,321,1.4,10.2,5.9,22.3,2.7,0,17.1,19.9,,1,1.1,2.1,0.095,,1.5,-1.4,0.1
7,Alex Hicks,37,16,561,15.1,0.53,0.49,0.098,0.346,187,8.6,21.9,15.4,4.4,1.5,4.6,18.7,19.2,,0.5,0.9,1.4,0.1,,-3.7,0.9,-2.9
8,Daniel Peace,37,3,542,8.6,0.48,0.395,0.129,1.081,132,2.3,7.4,4.9,24.2,4.2,0,36.5,13.4,,-0.1,0.8,0.7,0.053,,-3.4,0.6,-2.8
9,Shawn Hopkins,19,2,113,18.1,0.563,0.548,0.69,0.119,48,10.2,19.6,15,8.8,1,2,13.6,22.4,,0.3,0.2,0.4,0.142,,2,-2.4,-0.4
10,B.J. Miller,36,0,327,6.5,0.417,0.396,0.458,0.313,58,1.4,11.9,6.7,14.6,2.4,1,26.6,11.3,,-0.1,0.4,0.3,0.035,,-3.8,0.6,-3.3
11,Jaro Moravek,22,1,129,11.9,0.449,0.444,0.611,0.111,37,9.8,19.8,14.9,7,0.9,2.6,11.7,16.4,,0.1,0.2,0.3,0.085,,-1.6,-1.1,-2.6
12,Aaron Ariri,13,0,57,15.9,0.524,0.545,0.091,1.182,22,22.2,11.7,16.8,3.2,0,6,18.9,18.3,,0.1,0.1,0.2,0.113,,-1.1,-1.1,-2.3
13,Whit Moreman,10,0,17,3.7,0.352,0.333,0,0.556,7,6.8,6.5,6.6,0,0,6.7,15,38.7,,-0.1,0,-0.1,-0.12,,-17.3,-6.8,-24.1
