Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Tayton Conerway,G,33,33,1003,23.6,0.542,0.341,0.299,505.0,7.2,9.7,8.5,35.1,5.7,1.6,17.0,25.7,2.5,2.4,4.9,0.196,4.0,4.3,8.4,
2.0,Myles Rigsby,F,32,28,899,17.0,0.58,0.297,0.699,363.0,5.2,10.8,8.0,10.2,3.1,2.5,17.8,22.1,1.7,1.8,3.5,0.154,-0.4,1.4,1.0,
3.0,Thomas Dowd,F,33,32,833,20.2,0.558,0.615,0.36,313.0,11.2,18.9,15.1,7.7,2.3,2.3,8.5,18.7,2.2,1.8,4.1,0.195,2.9,0.3,3.2,
4.0,Jackson Fields,F,33,32,716,17.2,0.586,0.313,0.462,247.0,9.8,14.3,12.1,5.8,1.6,4.1,13.6,17.6,1.5,1.4,2.9,0.16,-0.2,0.6,0.4,
5.0,Marcus Rigsby Jr.,G,33,29,710,9.6,0.487,0.676,0.221,226.0,3.5,11.0,7.3,15.2,1.9,2.2,19.8,20.3,0.2,1.2,1.4,0.081,-3.1,0.1,-3.0,
6.0,Victor Valdes,F,33,3,556,11.9,0.479,0.57,0.383,164.0,3.3,11.3,7.3,20.9,3.3,2.2,20.9,16.9,0.4,1.1,1.5,0.107,-1.8,2.3,0.4,
7.0,Cooper Campbell,G,33,3,542,13.1,0.547,0.62,0.225,164.0,2.7,8.1,5.5,14.2,2.1,0.0,11.3,16.1,1.0,0.8,1.8,0.133,-0.3,0.5,0.2,
8.0,Theo Seng,F,29,1,420,16.1,0.559,0.648,0.287,140.0,5.4,18.9,12.2,7.1,1.6,3.2,11.5,18.3,0.8,0.9,1.6,0.157,0.4,0.2,0.6,
9.0,Jerrell Bellamy,F,31,0,316,23.0,0.583,0.081,0.485,129.0,12.9,11.2,12.0,2.1,1.9,8.1,9.0,20.8,0.9,0.6,1.5,0.19,0.2,-0.1,0.1,
10.0,Kerrington Kiel,F,29,2,246,5.7,0.386,0.426,0.213,46.0,5.5,13.4,9.5,8.5,2.9,1.4,25.8,13.9,-0.2,0.5,0.3,0.042,-6.1,1.6,-4.5,
11.0,Randarius Jones,C,28,1,243,18.0,0.61,0.0,0.771,80.0,14.0,9.5,11.7,5.7,1.7,7.3,18.6,16.3,0.4,0.5,0.9,0.144,-2.1,1.3,-0.7,
12.0,Braydon Whitaker,G,14,1,47,5.0,0.614,0.727,0.545,15.0,4.8,9.4,7.1,4.1,0.0,0.0,33.6,21.8,0.0,0.1,0.0,0.025,-6.4,-3.7,-10.0,
13.0,Kameryn Mitchell,G,14,0,37,-6.2,0.152,0.5,0.5,5.0,9.2,17.9,13.6,4.5,1.6,0.0,33.6,19.8,-0.2,0.1,-0.1,-0.133,-15.6,-1.3,-16.9,
14.0,Jackson Porch,G,14,0,33,15.0,0.486,0.643,0.214,14.0,3.4,13.4,8.5,20.4,1.8,0.0,11.5,26.0,0.0,0.1,0.1,0.122,-11.8,-7.2,-18.9,
,Team Totals,,33,33,6601,,0.545,0.447,0.387,,,,,,,,,,11.1,13.2,24.3,0.147,-0.1,1.2,1.2,
