Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,James Woodard,34,34,1101,20.9,0.581,0.526,0.454,0.481,494,5.4,15,10.2,11.8,1.7,0.6,9.2,22.9,,3.3,1.9,5.2,0.188,,5.2,0.8,6
2,Shaquille Harrison,34,34,1026,14.9,0.526,0.464,0.129,0.687,348,2.7,11.5,7.2,21.1,3.5,0.9,20.2,19,,0.9,2,2.9,0.114,,0,3.6,3.6
3,Rashad Smith,28,24,698,21.2,0.556,0.547,0.021,0.6,316,8.5,13.4,11,10.4,1.7,3.9,11.2,24.5,,1.5,1.3,2.8,0.161,,1.3,2.6,3.9
4,Rashad Ray,34,0,716,15.5,0.568,0.513,0.219,0.569,241,1.3,10.1,5.7,23.7,2.8,0.2,16.4,17.1,,1.2,1.3,2.5,0.139,,1.2,1.4,2.6
5,Tim Peete,34,33,757,12.6,0.545,0.507,0.381,0.396,192,3.6,13,8.3,14.5,2.8,0.7,19.9,13.7,,0.6,1.4,2.1,0.109,,0.2,3.2,3.4
6,D'Andre Wright,34,21,583,15.2,0.529,0.473,0.085,0.574,246,10,15.7,12.9,5.6,1,3.5,16.7,24.8,,0.6,1.1,1.7,0.116,,-2.3,0.9,-1.4
7,Brandon Swannegan,34,0,452,15.2,0.507,0.491,0,0.528,141,10.9,14.6,12.8,3.6,0.8,13,14.6,17.6,,0.4,1,1.4,0.123,,-3.2,6.9,3.7
8,Lew Evans,34,22,699,6.6,0.442,0.423,0.612,0.235,178,5.3,17.1,11.2,5.8,0.9,0.8,15.7,17.4,,-0.2,1.2,1,0.059,,-2.5,0.4,-2
9,Patrick Swilling,20,0,452,10.6,0.499,0.487,0.698,0.164,151,0.7,8.9,4.8,11.1,1.4,0.5,12.7,21.9,,0.2,0.6,0.9,0.076,,0.4,-0.9,-0.5
10,Stevie Repichowski,27,0,197,14,0.517,0.481,0.821,0.244,77,2.9,2.8,2.8,4.3,1.5,1.1,4.4,23.3,,0.4,0.2,0.6,0.126,,3,-3.1,-0.1
11,Marquel Curtis,10,1,121,9.2,0.343,0.324,0.189,0.297,35,8.4,12,10.2,14.6,1.9,1.9,8.7,19.3,,-0.1,0.2,0.2,0.052,,-3.3,1.8,-1.5
12,Nick Wood,9,0,12,16.6,0.678,0.5,0.667,1,6,9.4,0,4.7,0,0,0,18.4,22.8,,0,0,0.1,0.169,,2.9,-5.9,-3
13,Tarekeyi Edogi,13,0,17,-0.4,0.5,0.5,0,0,2,6.6,39.4,23.1,0,0,13.3,60,14.8,,-0.1,0.1,0,-0.017,,-15.6,4.8,-10.8
14,Barrett Hunter,10,1,18,5.5,0.303,0.25,0,0.5,4,0,6.2,3.1,20.1,6.5,0,28.8,19.5,,-0.1,0,0,-0.029,,-8.9,3.4,-5.5
15,Riley Kemmer,2,0,1,17.8,,,,,0,0,100,56,0,0,0,,0,,0,0,0,0.212,,-15.5,-2.6,-18.1
