Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jaime Jaquez,34,34,1122,25.1,0.54,0.505,0.198,0.264,572,9.2,20.1,14.6,14.3,2.6,2.3,10.3,27.5,,3.4,3,6.4,0.228,,6.5,4,10.5
2,Jaylen Clark,30,29,-915,23.4,0.55,0.523,0.256,0.312,376,7.4,16.2,11.7,11.4,5.1,1.1,9.5,21.6,,2.4,2.8,5.2,0.226,,5.1,6.8,11.9
3,Tyger Campbell,34,34,1083,18,0.495,0.451,0.35,0.238,485,1.8,7.9,4.8,27,2.2,0,10.5,24.4,,2.5,2.2,4.7,0.175,,4.2,2.9,7.2
4,David Singleton,34,13,948,15.6,0.605,0.575,0.668,0.22,273,2.3,9.1,5.7,6.4,2.4,0.8,6.2,14.6,,2.3,2,4.4,0.184,,3.8,4.3,8
5,Adem Bona,32,31,490.6666667,20.7,0.659,0.669,0,0.53,246,11.5,16.3,13.9,5.8,1.5,9.2,18.2,15.9,,1.7,2,3.7,0.202,,1.2,5.1,6.3
6,Amari Bailey,27,25,705,15.3,0.538,0.521,0.199,0.207,268,3.6,13.5,8.5,14.1,2.4,1.6,19.7,23.7,,0.6,1.7,2.2,0.126,,1,3.4,4.4
7,Dylan Andrews,33,0,349,11.8,0.507,0.495,0.385,0.188,108,2.7,9,5.8,16.4,1.7,0.4,14,17.6,,0.4,0.7,1.1,0.13,,-0.4,3.1,2.7
8,Kenneth Nwuba,32,3,363,6.9,0.572,0.577,0,0.231,45,7.7,8.9,8.3,4.6,0.8,5.4,29.4,5.7,,0.2,0.8,1,0.106,,-2.6,4.9,2.3
9,Mac Etienne,29,0,198,12.3,0.366,0.364,0,0.424,41,14.1,21.9,17.9,4.8,1.8,8.7,9.2,11.2,,0.1,0.6,0.7,0.143,,-2.5,5,2.5
10,Abramo Canka,21,0,112,11.1,0.519,0.5,0.346,0.077,30,9.3,6.4,7.9,6,2.1,1.1,18.2,14.9,,0.1,0.2,0.3,0.119,,-0.5,2.4,1.9
11,Will McClendon,24,0,227,3.4,0.241,0.2,0.578,0.222,34,2,12.7,7.3,13.3,2.1,0,7.4,12,,-0.2,0.5,0.3,0.056,,-4.6,4.2,-0.4
12,Logan Cremonesi,8,0,18,-8.3,0.256,0,0,2,1,0,0,0,8,0,0,50.6,11.1,,-0.1,0,0,-0.067,,-10.7,0.9,-9.8
13,Evan Manjikian,2,0,-3,45,0.75,0.75,1,0,2,0,40.1,19.7,0,0,0,0,33.7,,0,0,0,0.347,,18.6,3.5,22.1
14,Russell Stong,10,1,20,5,0.271,0,0.6,1,4,5.8,36.1,20.7,0,0,0,0,18.7,,0,0.1,0,0.07,,-7.2,0,-7.2
