Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Kobe Johnson,F,32,32,929,16.6,0.573,0.495,0.257,293.0,7.7,18.3,12.8,17.8,3.4,1.1,17.2,15.2,1.7,2.0,3.7,0.159,3.4,4.8,8.2,
2.0,Skyy Clark,G,32,32,840,15.2,0.58,0.538,0.254,266.0,3.6,10.4,6.9,18.6,3.0,0.5,13.7,15.7,1.7,1.5,3.1,0.149,2.7,4.2,6.9,
3.0,Tyler Bilodeau,F,31,31,812,21.1,0.576,0.269,0.275,379.0,6.9,15.0,10.8,12.1,2.0,1.9,8.9,25.6,2.2,1.4,3.7,0.181,5.4,2.4,7.8,
4.0,Dylan Andrews,G,30,27,743,9.7,0.467,0.456,0.097,233.0,1.8,6.3,4.0,23.7,1.5,0.4,17.5,19.1,0.3,0.9,1.3,0.068,0.5,0.7,1.2,
5.0,Eric Dailey Jr.,F,31,31,739,21.5,0.602,0.327,0.315,322.0,6.2,15.5,10.7,12.1,3.3,0.9,9.1,23.0,2.2,1.5,3.6,0.197,4.9,3.6,8.4,
6.0,Sebastian Mack,G,32,1,679,16.2,0.545,0.294,0.58,301.0,1.8,11.3,6.4,15.9,2.6,0.2,13.8,26.0,1.2,1.1,2.3,0.136,1.7,2.6,4.3,
7.0,Lazar Stefanovic,G,32,5,529,11.4,0.542,0.539,0.172,147.0,5.5,8.6,7.0,8.9,1.8,0.0,11.5,15.3,0.8,0.7,1.5,0.114,1.3,2.0,3.3,
8.0,Aday Mara,C,31,1,390,28.7,0.598,0.0,0.523,197.0,17.1,22.3,19.6,15.7,0.9,16.2,13.3,24.8,1.2,0.9,2.2,0.222,5.5,5.1,10.6,
9.0,Trent Perry,G,30,0,343,14.6,0.537,0.415,0.598,116.0,6.0,13.2,9.5,10.4,3.0,1.2,13.2,18.2,0.6,0.6,1.2,0.145,1.4,3.5,5.0,
10.0,William Kyle III,F,30,0,301,16.7,0.63,0.0,0.788,89.0,9.7,13.8,11.7,8.4,1.2,8.8,16.4,14.6,0.5,0.6,1.1,0.141,0.9,3.7,4.6,
11.0,Dominick Harris,G,11,0,81,-2.5,0.223,0.692,0.077,12.0,3.0,8.0,5.4,2.0,3.0,0.0,10.0,19.1,-0.2,0.1,-0.1,-0.055,-9.1,1.0,-8.0,
12.0,Jack Seidler,G,6,0,14,-1.5,0.25,0.5,0.0,2.0,0.0,9.3,4.5,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,-0.034,-7.1,-0.6,-7.7,
,Team Totals,,32,32,6400,,0.558,0.36,0.329,,,,,,,,,,12.1,11.5,23.6,0.147,2.8,3.2,5.9,
