Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jakob Poeltl,36,36,1093,31.1,0.665,0.646,0,0.674,597,11.9,22.1,17.4,13.9,1.1,5,13.7,25.7,,4.9,1.9,6.8,0.251,,6.8,4.4,11.2
2,Lorenzo Bonam,36,33,959,18.8,0.591,0.554,0.203,0.299,374,2.9,10.6,7.1,21.3,2.2,1.9,16.2,20,,2.2,1.3,3.5,0.147,,3.4,2.7,6.2
3,Jordan Loveridge,36,36,1108,14.4,0.57,0.533,0.699,0.301,378,1.6,12,7.3,10.1,1.1,0.4,10.8,19.2,,2.2,1.2,3.4,0.124,,4.3,0.5,4.8
4,Brandon Taylor,36,36,1184,13.4,0.541,0.505,0.656,0.23,374,0.9,6.9,4.1,20.7,3,0.1,19.7,17.6,,1.4,1.5,2.9,0.099,,3.1,1.7,4.8
5,Kyle Kuzma,36,35,867,18.4,0.56,0.544,0.173,0.363,379,9.4,17.6,13.8,12,0.8,1.8,17,25,,1.5,1.2,2.6,0.122,,1.4,1.5,2.8
6,Dakarai Tucker,36,0,667,13,0.608,0.59,0.745,0.2,171,2.3,12.1,7.6,6.5,1.3,2.3,14.1,14.4,,1,0.8,1.8,0.108,,3,2,5
7,Brekkott Chapman,36,1,484,15.9,0.509,0.473,0.287,0.426,176,10,14.2,12.3,13.4,1.7,4,15.3,19.7,,0.8,0.7,1.5,0.126,,1.6,3.6,5.1
8,Chris Reyes,35,0,294,15.9,0.581,0.526,0.07,0.754,96,11.3,19.3,15.6,4.8,1.4,2.3,19.7,17,,0.5,0.5,0.9,0.128,,0,1.9,1.9
9,Gabe Bealer,16,0,105,27.9,0.615,0.593,0.442,0.442,55,9.7,13.3,11.6,6.2,1.1,2.8,3.7,26.7,,0.5,0.1,0.6,0.233,,7,-1.5,5.5
10,Isaiah Wright,29,1,375,6.6,0.524,0.5,0.654,0.25,75,0,8.6,4.7,18.6,0.9,1,29.2,11.4,,0.1,0.4,0.5,0.051,,-0.6,0.7,0.1
11,Kenneth Ogbe,5,2,62,16.9,0.625,0.559,0.706,0.471,21,0,8.6,4.7,2.9,2.9,0,4.6,18.3,,0.2,0.1,0.3,0.17,,4.8,-0.4,4.4
12,Jake Connor,6,0,28,32.7,0.944,0.944,0.556,0,14,0,3.8,2.1,34.1,2.1,0,10,18.6,,0.2,0,0.2,0.295,,13.7,-3.9,9.8
13,Austin Montgomery,8,0,36,37,0.82,0.808,0.077,0.462,22,17.7,20.8,19.4,14.2,0,2.7,20.2,28.6,,0.2,0,0.2,0.273,,9.6,0.3,10
14,Austin Eastman,11,0,33,10.1,0.36,0.25,1,0.333,8,3.9,16.2,10.6,23.7,1.8,2.9,22.3,14.1,,0,0.1,0.1,0.069,,-0.2,3,2.8
15,Brandon Miller,3,0,6,-13.2,,,,,0,0,0,0,0,0,0,100,8.7,,0,0,0,-0.157,,-10.3,2.3,-8
