Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Neemias Queta,28,28,831,30.8,0.592,0.557,0.007,0.474,413,11,26.8,19,18,2.1,13,15.2,24.6,,2.8,2.8,5.6,0.27,,5.3,6.6,11.9
2,Justin Bean,28,28,754,24,0.576,0.537,0.172,0.27,319,12.5,19.7,16.1,14.2,2.8,1.4,12.7,20.3,,2.4,2,4.3,0.23,,4.1,3.3,7.4
3,Marco Anthony,27,27,858,13.5,0.482,0.452,0.256,0.374,286,5.4,12.1,8.8,17.6,1.7,1.4,15.6,18.8,,1.1,1.8,2.8,0.132,,0.4,2.4,2.8
4,Brock Miller,26,26,728,10.2,0.532,0.522,0.716,0.101,194,1.4,5.7,3.5,5.9,1,0,7.2,15.7,,1.2,1.2,2.3,0.128,,0.5,1.2,1.7
5,Rollie Worster,25,24,695,13.2,0.502,0.461,0.371,0.249,246,3.3,12.2,7.8,23.8,2,1,20.7,20.2,,0.7,1.5,2.2,0.127,,-0.9,2.6,1.7
6,Steven Ashworth,28,2,535,13.7,0.539,0.472,0.596,0.348,188,1.5,9.4,5.5,24.4,1.7,0.2,18,18.2,,1.1,1,2.1,0.156,,0.1,1.7,1.8
7,Alphonso Anderson,28,4,454,14.8,0.508,0.473,0.375,0.25,174,6.7,12,9.4,8,1.4,0.3,10.9,22.6,,0.8,0.9,1.7,0.15,,0.9,0.7,1.6
8,Sean Bairstow,25,1,292,11.1,0.556,0.539,0.342,0.211,83,1.2,9.5,5.4,11.9,1.8,1.2,20.8,17.6,,0.2,0.6,0.8,0.109,,-2.3,1.6,-0.8
9,Trevin Dorius,25,0,189,18.2,0.52,0.537,0,0.415,57,16.2,23.6,19.9,6.7,4.3,7.6,25.7,17,,0.1,0.7,0.8,0.159,,-4.5,4.6,0
10,Max Shulga,22,0,157,9,0.453,0.421,0.526,0.158,39,6.5,23.4,15,8.7,3.3,0,28.1,17.6,,-0.1,0.4,0.3,0.08,,-4.5,2.7,-1.7
11,Karson Stastny,7,0,10,20.3,1.5,1.5,1,0,2,0,0,0,17.5,0,0,0,4.9,,0,0,0.1,0.213,,7.1,2.5,9.6
12,Kuba Karwowski,4,0,6,29.1,0.5,0.5,0,0,2,18.9,0,9.4,0,0,40.1,0,16.2,,0,0,0,0.248,,-0.7,7.1,6.4
13,Liam McChesney,3,0,10,10.3,0.25,0.25,0.75,0,2,11.3,22.3,16.8,0,5.8,0,0,19.4,,0,0,0,0.08,,-6.4,9.6,3.2
14,Zahar Vedischev,5,0,21,3.7,0.423,0.423,0.846,0,9,0,15.9,8,9.9,0,0,18.8,37,,0,0,0,-0.022,,-8.4,-5.5,-13.9
15,Matthew Wickizer,9,0,11,-12.2,0,,,,0,0,40.5,20.4,0,0,0,80.8,10.9,,-0.1,0,0,-0.117,,-15.6,1.1,-14.5
16,Szymon Zapala,13,0,49,3.8,0.395,0.333,0,1,19,27.7,9.1,18.3,6.9,1.2,4.9,38.3,28.5,,-0.1,0.1,0,-0.032,,-13.4,-3.6,-17
