Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Mason Falslev,G,33,33,1060,21.9,0.575,0.343,0.272,481.0,4.5,18.8,11.7,21.8,4.3,0.5,13.7,23.7,2.6,2.0,4.7,0.176,5.0,3.1,8.1,
2.0,Ian Martinez,G,33,33,973,22.4,0.618,0.56,0.462,514.0,3.5,10.9,7.2,17.1,1.9,1.3,11.6,26.5,3.7,1.1,4.9,0.2,6.7,0.2,6.9,
3.0,Dexter Akanno,G,33,13,834,14.0,0.619,0.588,0.304,248.0,4.4,11.5,8.0,6.6,1.6,0.0,9.4,14.9,1.9,0.9,2.7,0.131,3.2,-0.1,3.1,
4.0,Drake Allen,G,31,11,654,17.1,0.545,0.415,0.404,263.0,2.8,8.1,5.5,31.2,3.3,2.4,18.4,19.4,1.4,0.9,2.3,0.14,2.9,2.0,5.0,
5.0,Deyton Albury,G,33,22,611,18.7,0.625,0.16,0.628,247.0,4.4,11.2,7.8,16.5,2.8,0.9,15.1,19.8,1.6,0.8,2.5,0.161,3.1,1.9,5.0,
6.0,Aubin Gateretse,F,32,31,569,18.9,0.722,0.043,0.53,197.0,13.0,16.3,14.7,5.4,0.9,5.3,19.6,16.0,1.4,0.8,2.2,0.154,1.4,0.6,2.1,
7.0,Karson Templin,F,33,2,560,22.0,0.58,0.237,0.497,248.0,14.1,21.5,17.8,8.5,1.8,5.1,9.3,21.4,1.7,1.0,2.7,0.193,2.7,0.8,3.5,
8.0,Tucker Anderson,F,33,8,555,12.7,0.508,0.708,0.163,179.0,4.4,9.5,7.0,7.1,1.5,2.6,5.9,18.6,0.9,0.6,1.5,0.11,1.9,-0.1,1.8,
9.0,Jordy Barnes,G,32,0,369,11.8,0.486,0.547,0.019,88.0,2.0,6.2,4.1,29.1,5.6,0.0,31.9,10.8,0.3,0.6,0.9,0.101,-1.1,3.7,2.6,
10.0,Isaac Johnson,C,29,12,255,16.3,0.537,0.549,0.198,96.0,7.6,15.1,11.4,5.6,2.8,3.1,10.8,22.2,0.4,0.4,0.8,0.129,1.0,0.5,1.4,
11.0,Isaac Davis,F,19,0,110,17.4,0.755,0.059,1.176,41.0,11.0,14.2,12.6,7.6,0.5,0.0,13.1,14.1,0.4,0.1,0.5,0.196,-0.1,-0.4,-0.5,
12.0,Jaxon Smith,G,11,0,27,14.6,0.541,0.917,0.167,11.0,0.0,4.5,2.2,6.6,0.0,0.0,0.0,24.3,0.1,0.0,0.1,0.139,5.3,-3.3,2.1,
13.0,Braden Housley,G,3,0,23,24.7,1.333,0.667,0.0,6.0,5.3,5.2,5.3,15.0,5.2,0.0,0.0,6.6,0.1,0.0,0.1,0.254,11.3,10.1,21.4,
,Team Totals,,33,33,6600,,0.593,0.425,0.375,,,,,,,,,,16.6,9.4,26.0,0.157,3.3,1.3,4.6,
